alpha_mismatch_max,dataset,fold,matched_pairs,mean_euclidean_norm_mismatch,mean_whitened_norm_mismatch,per_anchor_count_match,random_mask_count,rows,seed,structured_mask_count
0.0,OpenBMI,0,1025,0.0,0.0,True,1025,19200,0,1025
0.0,OpenBMI,0,2864,0.0,0.0,True,2864,19200,1,2864
0.0,OpenBMI,0,3687,0.0,0.0,True,3687,19200,2,3687
0.0,OpenBMI,1,3798,0.0,0.0,True,3798,19200,0,3798
0.0,OpenBMI,1,4189,0.0,0.0,True,4189,19200,1,4189
0.0,OpenBMI,1,2555,0.0,0.0,True,2555,19200,2,2555
0.0,OpenBMI,2,1465,0.0,0.0,True,1465,19200,0,1465
0.0,OpenBMI,2,4061,0.0,0.0,True,4061,19200,1,4061
0.0,OpenBMI,2,3414,0.0,0.0,True,3414,19200,2,3414
0.0,OpenBMI,3,2517,0.0,0.0,True,2517,19200,0,2517
0.0,OpenBMI,3,2734,0.0,0.0,True,2734,19200,1,2734
0.0,OpenBMI,3,3950,0.0,0.0,True,3950,19200,2,3950
0.0,OpenBMI,4,4321,0.0,0.0,True,4321,19200,0,4321
0.0,OpenBMI,4,1551,0.0,0.0,True,1551,19200,1,1551
0.0,OpenBMI,4,3071,0.0,0.0,True,3071,19200,2,3071
0.0,WBCIC,0,7399,0.0,0.0,True,7399,38384,0,7399
0.0,WBCIC,0,9525,0.0,0.0,True,9525,38384,1,9525
0.0,WBCIC,0,1609,0.0,0.0,True,1609,38384,2,1609
0.0,WBCIC,1,10100,0.0,0.0,True,10100,39992,0,10100
0.0,WBCIC,1,6217,0.0,0.0,True,6217,39992,1,6217
0.0,WBCIC,1,9021,0.0,0.0,True,9021,39992,2,9021
0.0,WBCIC,2,6136,0.0,0.0,True,6136,40000,0,6136
0.0,WBCIC,2,1378,0.0,0.0,True,1378,40000,1,1378
0.0,WBCIC,2,3104,0.0,0.0,True,3104,40000,2,3104
0.0,WBCIC,3,6404,0.0,0.0,True,6404,39992,0,6404
0.0,WBCIC,3,5987,0.0,0.0,True,5987,39992,1,5987
0.0,WBCIC,3,7097,0.0,0.0,True,7097,39992,2,7097
0.0,WBCIC,4,9056,0.0,0.0,True,9056,38384,0,9056
0.0,WBCIC,4,6322,0.0,0.0,True,6322,38384,1,6322
0.0,WBCIC,4,7292,0.0,0.0,True,7292,38384,2,7292
