dataset,method,q,lambda_T,fold,seed,BA,macro_F1,subjects
OpenBMI,ERM,0.5,0.5,0,0,0.51375,0.5005744160123822,8
OpenBMI,ERM,0.5,0.5,0,1,0.6575,0.6177962190898855,8
OpenBMI,ERM,0.5,0.5,0,2,0.735,0.7306908804833646,8
OpenBMI,ERM,0.5,0.5,1,0,0.73125,0.7202942667194995,8
OpenBMI,ERM,0.5,0.5,1,1,0.77625,0.7675126574354145,8
OpenBMI,ERM,0.5,0.5,1,2,0.505,0.4079860113366845,8
OpenBMI,ERM,0.5,0.5,2,0,0.55375,0.5216824409149005,8
OpenBMI,ERM,0.5,0.5,2,1,0.7225,0.7108081487057931,8
OpenBMI,ERM,0.5,0.5,2,2,0.73,0.722295414138756,8
OpenBMI,ERM,0.5,0.5,3,0,0.6375,0.6189944465679329,8
OpenBMI,ERM,0.5,0.5,3,1,0.6825,0.6602580632479085,8
OpenBMI,ERM,0.5,0.5,3,2,0.6875,0.6859803136708644,8
OpenBMI,ERM,0.5,0.5,4,0,0.7275,0.7132062655032656,8
OpenBMI,ERM,0.5,0.5,4,1,0.6525,0.6403713949396311,8
OpenBMI,ERM,0.5,0.5,4,2,0.7012499999999999,0.6817000617529606,8
OpenBMI,Mixup,0.5,0.5,0,0,0.52,0.5077104433344374,8
OpenBMI,Mixup,0.5,0.5,0,1,0.65875,0.6220539037819379,8
OpenBMI,Mixup,0.5,0.5,0,2,0.73625,0.7319688651083887,8
OpenBMI,Mixup,0.5,0.5,1,0,0.73,0.7190153551251509,8
OpenBMI,Mixup,0.5,0.5,1,1,0.77625,0.7675126574354145,8
OpenBMI,Mixup,0.5,0.5,1,2,0.50375,0.40881434276044293,8
OpenBMI,Mixup,0.5,0.5,2,0,0.5675,0.5376655760831293,8
OpenBMI,Mixup,0.5,0.5,2,1,0.72375,0.7125744895114148,8
OpenBMI,Mixup,0.5,0.5,2,2,0.73125,0.7243911822267645,8
OpenBMI,Mixup,0.5,0.5,3,0,0.6387499999999999,0.6218155941010173,8
OpenBMI,Mixup,0.5,0.5,3,1,0.69,0.6695778723110798,8
OpenBMI,Mixup,0.5,0.5,3,2,0.6900000000000001,0.6884680588439412,8
OpenBMI,Mixup,0.5,0.5,4,0,0.72625,0.7126704641190363,8
OpenBMI,Mixup,0.5,0.5,4,1,0.67,0.6579098499144957,8
OpenBMI,Mixup,0.5,0.5,4,2,0.71,0.6918035704138853,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,0,0,0.52125,0.5067703729566653,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,0,1,0.64875,0.6021950531727549,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,0,2,0.73625,0.7320983100555015,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,1,0,0.73375,0.7248646543327742,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,1,1,0.77625,0.7673028390295008,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,1,2,0.5,0.3815500948405355,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,2,0,0.56875,0.5314184246222143,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,2,1,0.7,0.6836699238768991,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,2,2,0.71875,0.7075292384190628,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,3,0,0.6225,0.5909299763351504,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,3,1,0.66875,0.639930882786193,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,3,2,0.6875,0.6857241139418727,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,4,0,0.73125,0.7179664080366525,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,4,1,0.66375,0.650875029848474,8
OpenBMI,R1-TaskProtected-Bures,0.5,0.5,4,2,0.7,0.6784497757509478,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,0,0,0.5175000000000001,0.504154179778886,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,0,1,0.6475,0.6028174922534966,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,0,2,0.735,0.730750999196113,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,1,0,0.7275,0.7166045006943236,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,1,1,0.77625,0.7674989314491655,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,1,2,0.49875,0.38456818445744934,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,2,0,0.55875,0.524427541019612,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,2,1,0.71,0.6957949324560764,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,2,2,0.72125,0.711229694097377,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,3,0,0.62875,0.6011529740760602,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,3,1,0.66875,0.640772192527436,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,3,2,0.68875,0.6870294361547987,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,4,0,0.73,0.716263522121835,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,4,1,0.6599999999999999,0.6474204992946273,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.25,4,2,0.7,0.6791025552868497,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,0,0,0.52,0.5055139973191015,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,0,1,0.64875,0.6021950531727549,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,0,2,0.73625,0.7320983100555015,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,1,0,0.73375,0.7248646543327742,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,1,1,0.775,0.7661223937889003,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,1,2,0.5,0.3815500948405355,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,2,0,0.56875,0.5314184246222143,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,2,1,0.69875,0.682382902236259,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,2,2,0.71875,0.7075292384190628,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,3,0,0.6225,0.5909299763351504,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,3,1,0.6675,0.6383058291611394,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,3,2,0.685,0.6830250249342974,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,4,0,0.73125,0.7179664080366525,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,4,1,0.66375,0.650875029848474,8
OpenBMI,R2-LowRank-Local-OT,0.25,0.5,4,2,0.7,0.6784497757509478,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,0,0,0.52,0.5035913402471598,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,0,1,0.64,0.5891342328255993,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,0,2,0.73875,0.7346140330890707,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,1,0,0.735,0.7261222687124517,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,1,1,0.7775,0.768549963741972,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,1,2,0.5025,0.3784893260322454,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,2,0,0.57125,0.531530231155327,8
