dataset,method,mean_delta_BA_pp,median_delta_BA_pp,positive_seeds,minimum_delta_BA_pp,maximum_delta_BA_pp,catastrophic_cells
OpenBMI,B2_TWO_TRAJECTORY_MEAN,-0.14285714285715198,-1.4285714285714346,1,-1.7142857142857237,2.7142857142857024,0
OpenBMI,B3_TSEG,0.14285714285713716,0.0,2,-0.14285714285714457,0.5714285714285561,0
WBCIC,B2_TWO_TRAJECTORY_MEAN,-7.86666666666667,-0.8000000000000118,1,-25.2,2.400000000000002,1
WBCIC,B3_TSEG,-5.666666666666671,0.6000000000000005,2,-20.40000000000002,2.8000000000000025,1
