dataset,seed,method,selected_epoch,val_BA,val_NLL,selection_scope
OpenBMI,0,B0_SUBJECT_BALANCED_ERM,37,0.7539999999999999,0.6323312222957611,source_validation_only
OpenBMI,0,B2_TWO_TRAJECTORY_MEAN,50,0.7520000000000001,0.5822202384471893,source_validation_only
OpenBMI,0,B3_TSEG,35,0.738,0.596478545665741,source_validation_only
OpenBMI,1,B0_SUBJECT_BALANCED_ERM,37,0.7539999999999999,0.6374341070652008,source_validation_only
OpenBMI,1,B2_TWO_TRAJECTORY_MEAN,27,0.728,0.5942484617233277,source_validation_only
OpenBMI,1,B3_TSEG,32,0.722,0.5918144106864929,source_validation_only
OpenBMI,2,B0_SUBJECT_BALANCED_ERM,33,0.734,0.6176535665988923,source_validation_only
OpenBMI,2,B2_TWO_TRAJECTORY_MEAN,28,0.734,0.5913126707077027,source_validation_only
OpenBMI,2,B3_TSEG,52,0.7620000000000001,0.5777485311031342,source_validation_only
WBCIC,0,B0_SUBJECT_BALANCED_ERM,31,0.7033333333333335,0.6502582480510076,source_validation_only
WBCIC,0,B2_TWO_TRAJECTORY_MEAN,27,0.695,0.68180384238561,source_validation_only
WBCIC,0,B3_TSEG,9,0.6783333333333333,0.6859187036752701,source_validation_only
WBCIC,1,B0_SUBJECT_BALANCED_ERM,36,0.6966666666666667,0.6313175161679586,source_validation_only
WBCIC,1,B2_TWO_TRAJECTORY_MEAN,22,0.6966666666666667,0.6880007088184357,source_validation_only
WBCIC,1,B3_TSEG,37,0.695,0.6672078967094421,source_validation_only
WBCIC,2,B0_SUBJECT_BALANCED_ERM,17,0.7050000000000001,0.7087712635596594,source_validation_only
WBCIC,2,B2_TWO_TRAJECTORY_MEAN,25,0.6983333333333333,0.6989787220954895,source_validation_only
WBCIC,2,B3_TSEG,31,0.6999999999999998,0.6820454547802607,source_validation_only
