dataset,seed,method,selected_epoch,held_BA,Macro_F1,NLL
OpenBMI,0,B0_SUBJECT_BALANCED_ERM,37,78.71428571428571,78.09762524324968,0.45886469951697756
OpenBMI,0,B2_TWO_TRAJECTORY_MEAN,50,81.42857142857142,81.00811177128506,0.38884191640785765
OpenBMI,0,B3_TSEG,35,78.57142857142857,78.01890781547561,0.45640244654246737
OpenBMI,1,B0_SUBJECT_BALANCED_ERM,37,77.57142857142858,77.00847636636425,0.4756972725902285
OpenBMI,1,B2_TWO_TRAJECTORY_MEAN,27,76.14285714285714,75.44472876194945,0.4858443524156298
OpenBMI,1,B3_TSEG,32,77.57142857142858,77.00573562407925,0.46962627342769075
OpenBMI,2,B0_SUBJECT_BALANCED_ERM,33,77.85714285714286,77.27402685149615,0.4605798210416521
OpenBMI,2,B2_TWO_TRAJECTORY_MEAN,28,76.14285714285714,75.63865757339731,0.48795310088566374
OpenBMI,2,B3_TSEG,52,78.42857142857142,77.912399482744,0.44638891730989727
WBCIC,0,B0_SUBJECT_BALANCED_ERM,31,74.70000000000002,74.66581775964414,0.4666836306452751
WBCIC,0,B2_TWO_TRAJECTORY_MEAN,27,73.9,73.88035434718255,0.47820638716220853
WBCIC,0,B3_TSEG,9,54.29999999999999,41.85042975003297,0.6943502426147461
WBCIC,1,B0_SUBJECT_BALANCED_ERM,36,75.2,75.18452321476822,0.4783084265887737
WBCIC,1,B2_TWO_TRAJECTORY_MEAN,22,50.0,33.33333333333333,0.7070034742355347
WBCIC,1,B3_TSEG,37,75.8,75.78920465139876,0.47173513025045394
WBCIC,2,B0_SUBJECT_BALANCED_ERM,17,72.5,72.15969997347185,0.5729445695877076
WBCIC,2,B2_TWO_TRAJECTORY_MEAN,25,74.9,74.84728806058006,0.48692527413368225
WBCIC,2,B3_TSEG,31,75.3,75.22150229596865,0.4774015128612518
