dataset,outer_fold,opt_seed,method,phase,epochs,wall_clock_sec,forward_count,backward_count,optimizer_steps
OpenBMI,0,0,B0_SUBJECT_BALANCED_ERM,selection,37,37.318478300003335,3105,3105,3105
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,50,139.39914630004205,12180,10150,2030
OpenBMI,0,0,B3_TSEG,selection,35,136.52550300001167,9030,10535,1505
OpenBMI,0,1,B0_SUBJECT_BALANCED_ERM,selection,37,45.24239269993268,3105,3105,3105
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,27,84.02063429995906,7350,6125,1225
OpenBMI,0,1,B3_TSEG,selection,32,126.94960339996032,8400,9800,1400
OpenBMI,0,2,B0_SUBJECT_BALANCED_ERM,selection,33,41.24914850003552,2829,2829,2829
OpenBMI,0,2,B2_TWO_TRAJECTORY_MEAN,selection,28,86.42095219995826,7560,6300,1260
OpenBMI,0,2,B3_TSEG,selection,52,190.75782219995745,12600,14700,2100
WBCIC,0,0,B0_SUBJECT_BALANCED_ERM,selection,31,52.90046340005938,3900,3900,3900
WBCIC,0,0,B2_TWO_TRAJECTORY_MEAN,selection,27,111.28070560004562,10500,8750,1750
WBCIC,0,0,B3_TSEG,selection,9,71.4175464999862,5100,5950,850
WBCIC,0,1,B0_SUBJECT_BALANCED_ERM,selection,36,59.36306959996,4400,4400,4400
WBCIC,0,1,B2_TWO_TRAJECTORY_MEAN,selection,22,95.32993819995318,9000,7500,1500
WBCIC,0,1,B3_TSEG,selection,37,189.26332349993754,13500,15750,2250
WBCIC,0,2,B0_SUBJECT_BALANCED_ERM,selection,17,33.75778719992377,2500,2500,2500
WBCIC,0,2,B2_TWO_TRAJECTORY_MEAN,selection,25,104.88589090004098,9900,8250,1650
WBCIC,0,2,B3_TSEG,selection,31,163.91812380007468,11700,13650,1950
OpenBMI,0,0,B0_SUBJECT_BALANCED_ERM,refit,37,44.597129999892786,3145,3145,3145
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,refit,50,139.3682921999134,12300,10250,2050
OpenBMI,0,0,B3_TSEG,refit,35,129.1785663999617,8610,10045,1435
OpenBMI,0,1,B0_SUBJECT_BALANCED_ERM,refit,37,44.589739299961366,3145,3145,3145
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,refit,27,75.19147780002095,6642,5535,1107
OpenBMI,0,1,B3_TSEG,refit,32,118.01915149996057,7872,9184,1312
OpenBMI,0,2,B0_SUBJECT_BALANCED_ERM,refit,33,39.77220150001813,2805,2805,2805
OpenBMI,0,2,B2_TWO_TRAJECTORY_MEAN,refit,28,77.96123060001992,6888,5740,1148
OpenBMI,0,2,B3_TSEG,refit,52,192.0759415999055,12792,14924,2132
WBCIC,0,0,B0_SUBJECT_BALANCED_ERM,refit,31,49.03107640007511,3689,3689,3689
WBCIC,0,0,B2_TWO_TRAJECTORY_MEAN,refit,27,97.19173889991362,9234,7695,1539
WBCIC,0,0,B3_TSEG,refit,9,42.915379599900916,3078,3591,513
WBCIC,0,1,B0_SUBJECT_BALANCED_ERM,refit,36,56.8089997000061,4284,4284,4284
WBCIC,0,1,B2_TWO_TRAJECTORY_MEAN,refit,22,79.19231730001047,7524,6270,1254
WBCIC,0,1,B3_TSEG,refit,37,176.44756969995797,12654,14763,2109
WBCIC,0,2,B0_SUBJECT_BALANCED_ERM,refit,17,26.90787650004495,2023,2023,2023
WBCIC,0,2,B2_TWO_TRAJECTORY_MEAN,refit,25,89.97495830000844,8550,7125,1425
WBCIC,0,2,B3_TSEG,refit,31,147.794721400016,10602,12369,1767
