dataset,method,stage,subject_role,sessions_used,labels_used,row_count
OpenBMI,B0_SUBJECT_BALANCED_ERM,selection_training,source_selection,1;2,True,4400
OpenBMI,B0_SUBJECT_BALANCED_ERM,source_validation,source_validation,2,True,500
OpenBMI,B0_SUBJECT_BALANCED_ERM,refit_training,source_refit,1;2,True,5400
OpenBMI,B0_SUBJECT_BALANCED_ERM,held_evaluation,held_subject,2,False,700
OpenBMI,B2_TWO_TRAJECTORY_MEAN,selection_training,source_selection,1;2,True,4400
OpenBMI,B2_TWO_TRAJECTORY_MEAN,source_validation,source_validation,2,True,500
OpenBMI,B2_TWO_TRAJECTORY_MEAN,refit_training,source_refit,1;2,True,5400
OpenBMI,B2_TWO_TRAJECTORY_MEAN,held_evaluation,held_subject,2,False,700
OpenBMI,B2_TWO_TRAJECTORY_MEAN,episodic_pseudo_unseen_training,source_pseudo_unseen,1;2,True,5400
OpenBMI,B3_TSEG,selection_training,source_selection,1;2,True,4400
OpenBMI,B3_TSEG,source_validation,source_validation,2,True,500
OpenBMI,B3_TSEG,refit_training,source_refit,1;2,True,5400
OpenBMI,B3_TSEG,held_evaluation,held_subject,2,False,700
OpenBMI,B3_TSEG,episodic_pseudo_unseen_training,source_pseudo_unseen,1;2,True,5400
WBCIC,B0_SUBJECT_BALANCED_ERM,selection_training,source_selection,0;1,True,6397
WBCIC,B0_SUBJECT_BALANCED_ERM,source_validation,source_validation,2,True,600
WBCIC,B0_SUBJECT_BALANCED_ERM,refit_training,source_refit,0;1,True,7597
WBCIC,B0_SUBJECT_BALANCED_ERM,held_evaluation,held_subject,2,False,1000
WBCIC,B2_TWO_TRAJECTORY_MEAN,selection_training,source_selection,0;1,True,6397
WBCIC,B2_TWO_TRAJECTORY_MEAN,source_validation,source_validation,2,True,600
WBCIC,B2_TWO_TRAJECTORY_MEAN,refit_training,source_refit,0;1,True,7597
WBCIC,B2_TWO_TRAJECTORY_MEAN,held_evaluation,held_subject,2,False,1000
WBCIC,B2_TWO_TRAJECTORY_MEAN,episodic_pseudo_unseen_training,source_pseudo_unseen,0;1,True,7597
WBCIC,B3_TSEG,selection_training,source_selection,0;1,True,6397
WBCIC,B3_TSEG,source_validation,source_validation,2,True,600
WBCIC,B3_TSEG,refit_training,source_refit,0;1,True,7597
WBCIC,B3_TSEG,held_evaluation,held_subject,2,False,1000
WBCIC,B3_TSEG,episodic_pseudo_unseen_training,source_pseudo_unseen,0;1,True,7597
