model,method,fold,seed,subject_id,BA,macro_F1,CE,trials,future_session,coverage_ge2,median_valid_candidates,semantic_pass_rate,bank_stability
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,13,0.86,0.859873886497848,0.2532206941891004,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,18,0.6100000000000001,0.6085909273384182,0.720849522456121,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,27,0.6399999999999999,0.6382273138378052,0.766317992149958,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,36,0.995,0.9949998749968748,0.0384552668261189,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,44,0.8400000000000001,0.8397435897435898,0.3393847744767144,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,45,0.915,0.914519170333124,0.1963120645017261,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,2,0.71,0.7092731829573935,0.6648073550464523,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,11,0.845,0.8446854881134297,0.3278317999496526,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,13,0.905,0.9049786201895428,0.2029359997046228,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,18,0.69,0.6892230576441103,0.6662968430598596,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,27,0.625,0.5943204868154158,0.8593705268560597,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,36,0.985,0.984996624240454,0.0726299686019605,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,44,0.845,0.8449961249031226,0.3597777189871883,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,45,0.8899999999999999,0.8896025692492975,0.2101699430771557,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,2,0.765,0.7647117719206027,0.6460068620843546,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,11,0.835,0.8349628666449951,0.3408658126046042,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,13,0.89,0.8899889988998899,0.2326835855210974,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,18,0.61,0.61,0.7172820652463199,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,27,0.6699999999999999,0.6694711538461539,0.6688360913371373,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,36,0.99,0.99,0.032878985174819,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,44,0.825,0.8249956248906223,0.3921540680074059,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,45,0.92,0.9198717948717948,0.2040779948567753,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,9,0.6,0.5951007186962243,0.8571682499861992,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,22,0.76,0.7596153846153846,0.5481363294149099,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,25,0.975,0.9749943737340904,0.0640833995022075,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,26,0.765,0.7649941248531213,0.458244823029223,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,29,0.815,0.8149953748843721,0.4315539041335235,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,34,0.5449999999999999,0.5444419413781882,1.0188518294274405,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,35,0.945,0.9449656035021888,0.117220414851763,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,49,0.81,0.8087761674718197,0.3882678530566309,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,1,9,0.61,0.6096486838154338,0.7726531402099366,200,2,0.9640183530548176,24.0,0.9576491185703936,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,1,22,0.7749999999999999,0.7740453415681253,0.4923696592791073,200,2,0.9640183530548176,24.0,0.9576491185703936,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,1,25,0.97,0.96999699969997,0.0959474834804901,200,2,0.9640183530548176,24.0,0.9576491185703936,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,1,26,0.8200000000000001,0.8199279711884754,0.4384415078559051,200,2,0.9640183530548176,24.0,0.9576491185703936,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,1,29,0.865,0.8631906969673937,0.3231247503782414,200,2,0.9640183530548176,24.0,0.9576491185703936,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,1,34,0.5800000000000001,0.5796216594935442,1.1224692905899534,200,2,0.9640183530548176,24.0,0.9576491185703936,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,1,35,0.96,0.96,0.1337023830033068,200,2,0.9640183530548176,24.0,0.9576491185703936,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,1,49,0.8,0.7940479868190712,0.444724641390107,200,2,0.9640183530548176,24.0,0.9576491185703936,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,2,9,0.5800000000000001,0.5772946859903382,0.8204899040221076,200,2,0.9640151515151516,24.0,0.9530066287878788,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,2,22,0.78,0.7777777777777778,0.5240862678813815,200,2,0.9640151515151516,24.0,0.9530066287878788,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,2,25,0.97,0.97,0.0778767256805805,200,2,0.9640151515151516,24.0,0.9530066287878788,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,2,26,0.78,0.7785829307568438,0.46076991345667,200,2,0.9640151515151516,24.0,0.9530066287878788,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,2,29,0.925,0.924908012315086,0.2082121533830469,200,2,0.9640151515151516,24.0,0.9530066287878788,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,2,34,0.575,0.5741376286981137,1.1489959181526102,200,2,0.9640151515151516,24.0,0.9530066287878788,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,2,35,0.955,0.9549898727213624,0.1255695311516284,200,2,0.9640151515151516,24.0,0.9530066287878788,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,2,49,0.855,0.8543847756772364,0.2716317629518569,200,2,0.9640151515151516,24.0,0.9530066287878788,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,0,6,0.915,0.9149808706959066,0.2227194269147673,200,2,0.9783060235402724,24.0,0.9732671743980305,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,0,23,0.985,0.984996624240454,0.0516094936044729,200,2,0.9783060235402724,24.0,0.9732671743980305,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,0,24,0.912405303030303,0.9126735333631886,0.2323894725726684,195,2,0.9783060235402724,24.0,0.9732671743980305,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,0,30,0.86,0.859873886497848,0.3279484785625498,200,2,0.9783060235402724,24.0,0.9732671743980305,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,0,31,0.61,0.5768229166666666,0.9296996672206322,200,2,0.9783060235402724,24.0,0.9732671743980305,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,0,38,0.495,0.4943806162549122,1.061120871633718,200,2,0.9783060235402724,24.0,0.9732671743980305,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,0,41,0.85,0.8487750781328763,0.3207282306640362,200,2,0.9783060235402724,24.0,0.9732671743980305,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,0,42,0.725,0.7224955220868337,0.6463997819769233,200,2,0.9783060235402724,24.0,0.9732671743980305,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,1,6,0.905,0.9049786201895428,0.2696013396300383,200,2,0.9598267981717584,24.0,0.955346403656483,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,1,23,0.98,0.9799919967987194,0.0430890675909679,200,2,0.9598267981717584,24.0,0.955346403656483,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,1,24,0.9537563131313131,0.9538267252492832,0.139227521347446,195,2,0.9598267981717584,24.0,0.955346403656483,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,1,30,0.8,0.7992773986350863,0.4325806431503771,200,2,0.9598267981717584,24.0,0.955346403656483,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,1,31,0.625,0.5989197572127597,0.8916707707742821,200,2,0.9598267981717584,24.0,0.955346403656483,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,1,38,0.5449999999999999,0.5440767554297452,0.912500661435876,200,2,0.9598267981717584,24.0,0.955346403656483,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,1,41,0.845,0.844965117151359,0.3355205970925932,200,2,0.9598267981717584,24.0,0.955346403656483,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,1,42,0.705,0.7049926248156204,0.6023678269789103,200,2,0.9598267981717584,24.0,0.955346403656483,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,2,6,0.895,0.8949343339587242,0.221597881080668,200,2,0.962989665945686,24.0,0.9560502283105022,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,2,23,0.96,0.9599358974358976,0.086720692541234,200,2,0.962989665945686,24.0,0.9560502283105022,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,2,24,0.8923611111111112,0.892296362536493,0.2141974205534653,195,2,0.962989665945686,24.0,0.9560502283105022,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,2,30,0.815,0.8147730970438787,0.3844692651366867,200,2,0.962989665945686,24.0,0.9560502283105022,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,2,31,0.605,0.6045155315261195,0.8004857473391795,200,2,0.962989665945686,24.0,0.9560502283105022,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,2,38,0.545,0.5389019786678828,0.9086904549843507,200,2,0.962989665945686,24.0,0.9560502283105022,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,2,41,0.8200000000000001,0.8197115384615384,0.4035224320672629,200,2,0.962989665945686,24.0,0.9560502283105022,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,2,42,0.7,0.6989160979526294,0.572462948188983,200,2,0.962989665945686,24.0,0.9560502283105022,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,0,7,0.8400000000000001,0.8389694041867954,0.3450897761149029,200,2,0.9681560108615156,24.0,0.9609150004114212,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,0,12,0.765,0.7645231593977806,0.5263398249262342,200,2,0.9681560108615156,24.0,0.9609150004114212,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,0,14,0.53,0.529811924769908,1.0509542168461818,200,2,0.9681560108615156,24.0,0.9609150004114212,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,0,17,0.8400000000000001,0.839421918908069,0.3823654943184981,200,2,0.9681560108615156,24.0,0.9609150004114212,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,0,32,0.64,0.633811412877632,0.6769089423750257,200,2,0.9681560108615156,24.0,0.9609150004114212,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,0,47,0.95,0.94999499949995,0.1359373036496654,200,2,0.9681560108615156,24.0,0.9609150004114212,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,0,48,0.86,0.859775641025641,0.3589158091179099,200,2,0.9681560108615156,24.0,0.9609150004114212,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,0,50,0.92,0.919967987194878,0.155747552458523,200,2,0.9681560108615156,24.0,0.9609150004114212,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,1,7,0.8200000000000001,0.8199279711884754,0.3644569411687959,200,2,0.9647029579915486,24.0,0.9577015494241444,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,1,12,0.735,0.7349403615813558,0.5306270093790549,200,2,0.9647029579915486,24.0,0.9577015494241444,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,1,14,0.5349999999999999,0.534429676353533,1.0268307814427735,200,2,0.9647029579915486,24.0,0.9577015494241444,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,1,17,0.85,0.84998499849985,0.3634223433353863,200,2,0.9647029579915486,24.0,0.9577015494241444,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,1,32,0.6200000000000001,0.6186270574066639,0.7061132145742482,200,2,0.9647029579915486,24.0,0.9577015494241444,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,1,47,0.935,0.9348027784046742,0.1612844479901429,200,2,0.9647029579915486,24.0,0.9577015494241444,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,1,48,0.85,0.8498648783905515,0.3804185189718926,200,2,0.9647029579915486,24.0,0.9577015494241444,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,1,50,0.955,0.954971857410882,0.0900390338850694,200,2,0.9647029579915486,24.0,0.9577015494241444,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,2,7,0.8400000000000001,0.8398558702832549,0.3491820553668262,200,2,0.962671905697446,24.0,0.9552226588081204,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,2,12,0.71,0.7098839535814325,0.5130793546331698,200,2,0.962671905697446,24.0,0.9552226588081204,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,2,14,0.575,0.5737104741844078,0.9215329313474244,200,2,0.962671905697446,24.0,0.9552226588081204,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,2,17,0.8400000000000001,0.839421918908069,0.4285856852318069,200,2,0.962671905697446,24.0,0.9552226588081204,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,2,32,0.655,0.6547842401500938,0.7262234238291859,200,2,0.962671905697446,24.0,0.9552226588081204,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,2,47,0.945,0.944998624965624,0.1494524603816421,200,2,0.962671905697446,24.0,0.9552226588081204,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,2,48,0.87,0.87,0.3484122299721649,200,2,0.962671905697446,24.0,0.9552226588081204,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,2,50,0.955,0.9549988749718744,0.0896907239016839,200,2,0.962671905697446,24.0,0.9552226588081204,1.0
ATCNet-CleanRoom,ERM,0,0,1,0.945,0.9449876222149984,0.1818444176970491,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,0,3,0.8200000000000001,0.8195488721804511,0.3649048989437841,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,0,5,0.8200000000000001,0.8199279711884754,0.3927877749061049,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,0,16,0.5700000000000001,0.5684464070654356,0.8041369975520829,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,0,19,0.945,0.944998624965624,0.1552546834986403,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,0,21,0.895,0.8949973749343734,0.2436037978471654,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,0,28,0.595,0.5789911380233373,0.6717157414277705,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,0,33,0.985,0.9849996249906248,0.1019303423342876,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,0,37,0.815,0.8149583656322672,0.403166546947146,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,1,1,0.925,0.9249831212022706,0.1841351344923455,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,1,3,0.81,0.8099239695878351,0.4062346882514353,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,1,5,0.81,0.81,0.4050906289600909,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,1,16,0.585,0.5849896247406186,0.7911636083224277,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,1,19,0.955,0.9549988749718744,0.130392433247633,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,1,21,0.87,0.8699479791916767,0.2798779307788396,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,1,28,0.635,0.6220651808133364,0.6636486212611985,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,1,33,0.965,0.9649991249781243,0.1106791338188544,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,1,37,0.745,0.742677665935064,0.48834146833871,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,2,1,0.955,0.9549988749718744,0.1637083633902943,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,2,3,0.835,0.8340666247642992,0.3085930830440546,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,2,5,0.815,0.8149583656322672,0.4372564407253301,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,2,16,0.54,0.539585627064358,0.7944463873930607,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,2,19,0.96,0.959983993597439,0.0864980509212973,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,2,21,0.865,0.8648344221671547,0.2770666330439019,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,2,28,0.61,0.5920075321686369,0.5928032574075753,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,2,33,0.97,0.96999699969997,0.1161100609040904,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,0,2,37,0.8200000000000001,0.81998199819982,0.4131639917803547,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,1,0,2,0.705,0.7049926248156204,0.6101552489490529,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,1,0,11,0.8600000000000001,0.8594941790445605,0.3276877285630148,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,1,0,13,0.86,0.859873886497848,0.2478491011737196,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,1,0,18,0.615,0.6128221244500314,0.6872412023994872,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,1,0,27,0.645,0.64349376114082,0.7144315723163563,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,1,0,36,0.995,0.9949998749968748,0.0403042520855913,200,2,1.0,0.0,1.0,1.0
ATCNet-CleanRoom,ERM,1,0,44,0.8400000000000001,0.8397435897435898,0.3316462557163522,200,2,1.0,0.0,1.0,1.0
