dataset,fold,seed,scope,q,lambda_H,hardness_gap,hardness_gap_CI95_L
OpenBMI,0,0,A,0.25,0.25,0.008757334897845326,0.008301254081226023
OpenBMI,0,1,A,0.25,0.25,0.009227167993531146,0.008760764780598855
OpenBMI,0,2,A,0.25,0.25,0.008665281656549126,0.008353667225762485
OpenBMI,1,0,A,0.25,0.25,0.008146825926192957,0.007840353794839527
OpenBMI,1,1,A,0.25,0.25,0.0092596480505261,0.00871285428496752
OpenBMI,1,2,A,0.25,0.25,0.009353113386789595,0.008953807529722331
OpenBMI,2,0,A,0.25,0.25,0.007519280044030065,0.007132862585050955
OpenBMI,2,1,A,0.25,0.25,0.01054726756651883,0.010097574556517944
OpenBMI,2,2,A,0.25,0.25,0.010062919773271813,0.009587162663313062
OpenBMI,3,0,A,0.25,0.25,0.007908226013325333,0.007624316052082371
OpenBMI,3,1,A,0.25,0.25,0.011508360244166715,0.0110517878813057
OpenBMI,3,2,A,0.25,0.25,0.008300946611684831,0.008014058371850333
OpenBMI,4,0,A,0.25,0.25,0.011502880965575876,0.011132194136985588
OpenBMI,4,1,A,0.25,0.25,0.009665507572039456,0.009318236334997149
OpenBMI,4,2,A,0.25,0.25,0.011445458197767868,0.010879639230673442
WBCIC,0,0,A,0.25,0.25,0.007625990478822231,0.007265469343133217
WBCIC,0,1,A,0.25,0.25,0.007993614630211851,0.007678652985747473
WBCIC,0,2,A,0.25,0.25,0.008620684827491431,0.008153059635983518
WBCIC,1,0,A,0.25,0.25,0.010265812428711073,0.009565814432339465
WBCIC,1,1,A,0.25,0.25,0.011864345705813684,0.010950663043875644
WBCIC,1,2,A,0.25,0.25,0.010314514701792073,0.009769945866463526
WBCIC,2,0,A,0.25,0.25,0.006302418338854152,0.00592441934872432
WBCIC,2,1,A,0.25,0.25,0.006666095502518505,0.006170393519370602
WBCIC,2,2,A,0.25,0.25,0.009196222769282454,0.008459141378187993
WBCIC,3,0,A,0.25,0.25,0.00862492653697281,0.008092784688118687
WBCIC,3,1,A,0.25,0.25,0.008059696034238723,0.007552443227512851
WBCIC,3,2,A,0.25,0.25,0.00687729491781745,0.006341222226910161
WBCIC,4,0,A,0.25,0.25,0.008295825768183286,0.007841156771003652
WBCIC,4,1,A,0.25,0.25,0.009125466625448558,0.008730889870245229
WBCIC,4,2,A,0.25,0.25,0.010232439937146731,0.009709449037810448
OpenBMI,0,0,A,0.25,0.5,0.008876003366394658,0.008391146861984167
OpenBMI,0,1,A,0.25,0.5,0.009476992747188879,0.009043700657197415
OpenBMI,0,2,A,0.25,0.5,0.008655031758150585,0.008252724912128851
OpenBMI,1,0,A,0.25,0.5,0.008530277842358781,0.008202712700771072
OpenBMI,1,1,A,0.25,0.5,0.009045056187772767,0.008747624088167498
OpenBMI,1,2,A,0.25,0.5,0.00971532375915909,0.009275791688298101
OpenBMI,2,0,A,0.25,0.5,0.007687081848623364,0.007300496969247946
OpenBMI,2,1,A,0.25,0.5,0.010702876879403128,0.01032952006268557
OpenBMI,2,2,A,0.25,0.5,0.010210096934024014,0.009810541740248908
OpenBMI,3,0,A,0.25,0.5,0.00800984292065817,0.007753399060728455
OpenBMI,3,1,A,0.25,0.5,0.01193396953844012,0.011448918628266847
OpenBMI,3,2,A,0.25,0.5,0.008323751119289093,0.007983375238580004
OpenBMI,4,0,A,0.25,0.5,0.01146143669577184,0.011152728875820073
OpenBMI,4,1,A,0.25,0.5,0.010055792942269425,0.009752286141916896
OpenBMI,4,2,A,0.25,0.5,0.011468162496560172,0.01098382377131626
WBCIC,0,0,A,0.25,0.5,0.007959002496174317,0.007611257757727257
WBCIC,0,1,A,0.25,0.5,0.008451759474924651,0.008060007764008932
WBCIC,0,2,A,0.25,0.5,0.009385815250991721,0.00894221768141359
WBCIC,1,0,A,0.25,0.5,0.010768499190140337,0.010052365040705445
WBCIC,1,1,A,0.25,0.5,0.012354297891634877,0.011295807335009823
WBCIC,1,2,A,0.25,0.5,0.01076017326808953,0.010221610039551974
WBCIC,2,0,A,0.25,0.5,0.006486913748054659,0.006161715819033549
WBCIC,2,1,A,0.25,0.5,0.007048577812513783,0.006514404981691792
WBCIC,2,2,A,0.25,0.5,0.009471786965990943,0.00870432086591449
WBCIC,3,0,A,0.25,0.5,0.008920349622721037,0.008327548125724137
WBCIC,3,1,A,0.25,0.5,0.00836596671667014,0.00789286388537854
WBCIC,3,2,A,0.25,0.5,0.006927306774658935,0.006395232352882349
WBCIC,4,0,A,0.25,0.5,0.008539682390273013,0.008196084079951718
WBCIC,4,1,A,0.25,0.5,0.009662721448531654,0.00920334455479197
WBCIC,4,2,A,0.25,0.5,0.010369242289377028,0.00982898201560512
OpenBMI,0,0,A,0.25,1.0,0.009189261429451106,0.008756932907293104
OpenBMI,0,1,A,0.25,1.0,0.009620712292308126,0.00923275982275807
OpenBMI,0,2,A,0.25,1.0,0.008922340892723953,0.008558047635199932
OpenBMI,1,0,A,0.25,1.0,0.008321444406061964,0.007962296034025094
OpenBMI,1,1,A,0.25,1.0,0.009434131985069313,0.009003911705690896
OpenBMI,1,2,A,0.25,1.0,0.009771859163580846,0.009387068800245797
OpenBMI,2,0,A,0.25,1.0,0.007653643567873244,0.007310082500974979
OpenBMI,2,1,A,0.25,1.0,0.01082569899048319,0.010474974409214773
OpenBMI,2,2,A,0.25,1.0,0.010205656234342905,0.009766444560895765
OpenBMI,3,0,A,0.25,1.0,0.00819430126599504,0.007946029807351103
OpenBMI,3,1,A,0.25,1.0,0.012136066063910758,0.011652178155190079
OpenBMI,3,2,A,0.25,1.0,0.008482060621166602,0.008280631769298571
OpenBMI,4,0,A,0.25,1.0,0.012034693203009489,0.011613960555917463
OpenBMI,4,1,A,0.25,1.0,0.010065722707396828,0.009739943555290361
OpenBMI,4,2,A,0.25,1.0,0.011614718422263956,0.011100102965583966
WBCIC,0,0,A,0.25,1.0,0.008517800118080232,0.008180645814451543
WBCIC,0,1,A,0.25,1.0,0.009111927777417934,0.008672499371513487
WBCIC,0,2,A,0.25,1.0,0.010166085143236091,0.009712120234993278
WBCIC,1,0,A,0.25,1.0,0.011522828981070059,0.010752769000562538
WBCIC,1,1,A,0.25,1.0,0.012784421650810902,0.011639781770959081
WBCIC,1,2,A,0.25,1.0,0.011537152005703856,0.010961231072147712
WBCIC,2,0,A,0.25,1.0,0.006840182488204179,0.006485073627003948
