dataset,fold,seed,scope,q,lambda_H,hardness_gap,hardness_gap_CI95_L
WBCIC,2,1,A,0.25,1.0,0.007214879896637477,0.006616682867814924
WBCIC,2,2,A,0.25,1.0,0.009811488845844719,0.009017930695596975
WBCIC,3,0,A,0.25,1.0,0.009273724621190329,0.008693909101203871
WBCIC,3,1,A,0.25,1.0,0.00866302053581068,0.008152699514501531
WBCIC,3,2,A,0.25,1.0,0.007379205282489516,0.006848664633486529
WBCIC,4,0,A,0.25,1.0,0.008942504155357979,0.00856368587485046
WBCIC,4,1,A,0.25,1.0,0.010603926401075542,0.010133190908540406
WBCIC,4,2,A,0.25,1.0,0.010845106453452677,0.01020494672615206
OpenBMI,0,0,A,0.5,0.25,0.005464498509151569,0.005158390539690862
OpenBMI,0,1,A,0.5,0.25,0.0057773797146778,0.005476387082102735
OpenBMI,0,2,A,0.5,0.25,0.005289470088110089,0.005091467083483542
OpenBMI,1,0,A,0.5,0.25,0.005178570421105336,0.00496183903106822
OpenBMI,1,1,A,0.5,0.25,0.005866273221551418,0.0055173384558430535
OpenBMI,1,2,A,0.5,0.25,0.005837667745135329,0.005578835855934475
OpenBMI,2,0,A,0.5,0.25,0.004615943330034352,0.004373487001799213
OpenBMI,2,1,A,0.5,0.25,0.006613879941576248,0.006304955778721639
OpenBMI,2,2,A,0.5,0.25,0.006128500192273648,0.00581236011120662
OpenBMI,3,0,A,0.5,0.25,0.004898300312662592,0.004699533101107498
OpenBMI,3,1,A,0.5,0.25,0.007033159886482762,0.006742145606816213
OpenBMI,3,2,A,0.5,0.25,0.005078035867810026,0.004862469520880368
OpenBMI,4,0,A,0.5,0.25,0.007155791274435999,0.006883757587690156
OpenBMI,4,1,A,0.5,0.25,0.006007792907383081,0.005816328401560454
OpenBMI,4,2,A,0.5,0.25,0.007016204621238721,0.006657203177491101
WBCIC,0,0,A,0.5,0.25,0.004724303402913031,0.004481851966109988
WBCIC,0,1,A,0.5,0.25,0.004949392930340332,0.004723927349205365
WBCIC,0,2,A,0.5,0.25,0.00537619073695271,0.005088960498112927
WBCIC,1,0,A,0.5,0.25,0.006374592873216666,0.0059372927251682564
WBCIC,1,1,A,0.5,0.25,0.007386632420919939,0.006808096097636901
WBCIC,1,2,A,0.5,0.25,0.006269097085624078,0.005859836181312292
WBCIC,2,0,A,0.5,0.25,0.004025617146555071,0.003758316317249375
WBCIC,2,1,A,0.5,0.25,0.004217632945061827,0.0038982309214089573
WBCIC,2,2,A,0.5,0.25,0.005738000467076696,0.005246566339002416
WBCIC,3,0,A,0.5,0.25,0.005368617704496926,0.00502269817597673
WBCIC,3,1,A,0.5,0.25,0.004985348567714602,0.00465540511222968
WBCIC,3,2,A,0.5,0.25,0.004290827054804934,0.003971453967566457
WBCIC,4,0,A,0.5,0.25,0.005191498205938672,0.004875442698323229
WBCIC,4,1,A,0.5,0.25,0.005665838729527764,0.005373679721517019
WBCIC,4,2,A,0.5,0.25,0.0064572794177560925,0.006093736012582253
OpenBMI,0,0,A,0.5,0.5,0.0055275862882236985,0.005211886029096369
OpenBMI,0,1,A,0.5,0.5,0.005905203694229188,0.005598074046679214
OpenBMI,0,2,A,0.5,0.5,0.005386305770079115,0.0050970566976529345
OpenBMI,1,0,A,0.5,0.5,0.005288816764741068,0.005050237174897388
OpenBMI,1,1,A,0.5,0.5,0.005595885749621374,0.005374727592285603
OpenBMI,1,2,A,0.5,0.5,0.0060195534639643855,0.005732759845341371
OpenBMI,2,0,A,0.5,0.5,0.004760747762122296,0.004495880259152388
OpenBMI,2,1,A,0.5,0.5,0.006726948699842766,0.006443659292243027
OpenBMI,2,2,A,0.5,0.5,0.006137485256658456,0.005877427862449221
OpenBMI,3,0,A,0.5,0.5,0.004969108391964687,0.00482179485873402
OpenBMI,3,1,A,0.5,0.5,0.007166661109509025,0.006871252284653176
OpenBMI,3,2,A,0.5,0.5,0.005192827962111515,0.004969116678645666
OpenBMI,4,0,A,0.5,0.5,0.0070740982493891725,0.006901554161425561
OpenBMI,4,1,A,0.5,0.5,0.006327989938007626,0.006151675432505544
OpenBMI,4,2,A,0.5,0.5,0.007180181269357831,0.0068904062411128085
WBCIC,0,0,A,0.5,0.5,0.00494373802920163,0.0047087231463637125
WBCIC,0,1,A,0.5,0.5,0.0052114161289937315,0.004943821933419346
WBCIC,0,2,A,0.5,0.5,0.005813781265027876,0.005539831773518392
WBCIC,1,0,A,0.5,0.5,0.006687888858764952,0.006185373408310321
WBCIC,1,1,A,0.5,0.5,0.007665391762752977,0.006961116005027053
WBCIC,1,2,A,0.5,0.5,0.00655037167349158,0.006210136396823433
WBCIC,2,0,A,0.5,0.5,0.004120199021964896,0.00391260795660027
WBCIC,2,1,A,0.5,0.5,0.004398818137936222,0.004059080465666128
WBCIC,2,2,A,0.5,0.5,0.005852057452828405,0.005367232158717602
WBCIC,3,0,A,0.5,0.5,0.005563756780222983,0.005205810831560112
WBCIC,3,1,A,0.5,0.5,0.005125850983209449,0.004820755936000642
WBCIC,3,2,A,0.5,0.5,0.004403293757834823,0.0040443919393949165
WBCIC,4,0,A,0.5,0.5,0.005310554225901649,0.005065797961807593
WBCIC,4,1,A,0.5,0.5,0.005954094995448136,0.00564691312039802
WBCIC,4,2,A,0.5,0.5,0.006525481474882622,0.006120145829225834
OpenBMI,0,0,A,0.5,1.0,0.005689194743113367,0.005367863667643536
OpenBMI,0,1,A,0.5,1.0,0.005901567847523837,0.00564568456245754
OpenBMI,0,2,A,0.5,1.0,0.005446427037429952,0.005205495289718151
OpenBMI,1,0,A,0.5,1.0,0.005214274460425369,0.004990613544683553
OpenBMI,1,1,A,0.5,1.0,0.005949334454343179,0.005682306188789763
OpenBMI,1,2,A,0.5,1.0,0.00608210824721953,0.005831329035018502
OpenBMI,2,0,A,0.5,1.0,0.004768531297497547,0.004543104112132617
OpenBMI,2,1,A,0.5,1.0,0.006794719711583976,0.006578143471524976
OpenBMI,2,2,A,0.5,1.0,0.006230016650121292,0.0059270368986015015
OpenBMI,3,0,A,0.5,1.0,0.005039591168615105,0.004865227621956894
OpenBMI,3,1,A,0.5,1.0,0.0073743021185496286,0.0070792831627252365
OpenBMI,3,2,A,0.5,1.0,0.005253986449630497,0.005098895534244618
OpenBMI,4,0,A,0.5,1.0,0.0075534980733364355,0.007278918547251566
OpenBMI,4,1,A,0.5,1.0,0.006262477132424955,0.006092968548391873
OpenBMI,4,2,A,0.5,1.0,0.007181484456180478,0.006856660144816071
WBCIC,0,0,A,0.5,1.0,0.005256773003922241,0.005028038498786227
WBCIC,0,1,A,0.5,1.0,0.005608542289087831,0.005330935404962531
WBCIC,0,2,A,0.5,1.0,0.006393567817987604,0.006062925406090356
WBCIC,1,0,A,0.5,1.0,0.007182714595816663,0.006658135457586404
WBCIC,1,1,A,0.5,1.0,0.007893065170350471,0.007157988131528532
WBCIC,1,2,A,0.5,1.0,0.006997974527541755,0.006532926824288841
WBCIC,2,0,A,0.5,1.0,0.004386258801468333,0.004134271671952116
WBCIC,2,1,A,0.5,1.0,0.00454947294228797,0.0041713617263120124
WBCIC,2,2,A,0.5,1.0,0.00608085918265297,0.005557619758766377
WBCIC,3,0,A,0.5,1.0,0.005782773862751144,0.005405462541528546
WBCIC,3,1,A,0.5,1.0,0.005348891602133043,0.004993113274231548
WBCIC,3,2,A,0.5,1.0,0.004584895010703407,0.0042489494308344256
WBCIC,4,0,A,0.5,1.0,0.005626611686564355,0.005353803772105661
WBCIC,4,1,A,0.5,1.0,0.006567584918809933,0.006227953474974853
WBCIC,4,2,A,0.5,1.0,0.0067114738870770055,0.006288929388491959
OpenBMI,0,0,B,0.25,0.25,0.009300464851172018,0.008813063683938848
OpenBMI,0,1,B,0.25,0.25,0.009264395488788364,0.00884432066764481
OpenBMI,0,2,B,0.25,0.25,0.008339337335661522,0.007864339966589992
OpenBMI,1,0,B,0.25,0.25,0.007983042309642219,0.0076149842938963075
OpenBMI,1,1,B,0.25,0.25,0.00924586230085783,0.00875676402749117
OpenBMI,1,2,B,0.25,0.25,0.00965749732411711,0.00923865218822433
OpenBMI,2,0,B,0.25,0.25,0.00745768992906787,0.007180942044697413
OpenBMI,2,1,B,0.25,0.25,0.010628965117841832,0.010273423143039816
OpenBMI,2,2,B,0.25,0.25,0.009854125033212088,0.009403129942900124
OpenBMI,3,0,B,0.25,0.25,0.0072006375309482075,0.0069831179778105275
OpenBMI,3,1,B,0.25,0.25,0.011331947335798809,0.010903903300644132
OpenBMI,3,2,B,0.25,0.25,0.008120452231627974,0.007795222768993013
OpenBMI,4,0,B,0.25,0.25,0.011073715576018972,0.010685446931045605
OpenBMI,4,1,B,0.25,0.25,0.009600785449912302,0.009366899498015672
OpenBMI,4,2,B,0.25,0.25,0.011237712652105616,0.010854036005001393
WBCIC,0,0,B,0.25,0.25,0.007380761750585679,0.0070009226274972535
WBCIC,0,1,B,0.25,0.25,0.007740142858453432,0.0074127688362981056
WBCIC,0,2,B,0.25,0.25,0.008022858665225716,0.007579254448172268
WBCIC,1,0,B,0.25,0.25,0.01010195158750134,0.009441784813404042
WBCIC,1,1,B,0.25,0.25,0.011249682348820225,0.010402863173026277
WBCIC,1,2,B,0.25,0.25,0.010157682132094219,0.009654252858598705
WBCIC,2,0,B,0.25,0.25,0.0059165237464767866,0.005547197752262762
WBCIC,2,1,B,0.25,0.25,0.007215009040885892,0.006768405382755296
WBCIC,2,2,B,0.25,0.25,0.009378426139325484,0.008794275013916452
WBCIC,3,0,B,0.25,0.25,0.00891356453935762,0.008429209425341684
WBCIC,3,1,B,0.25,0.25,0.008009343229822137,0.007540588770337772
WBCIC,3,2,B,0.25,0.25,0.00673839950616773,0.006205755899630421
WBCIC,4,0,B,0.25,0.25,0.008062124603656483,0.007673752128783033
WBCIC,4,1,B,0.25,0.25,0.008575030973257873,0.008156245195312247
WBCIC,4,2,B,0.25,0.25,0.009902401143489276,0.009308921984512252
OpenBMI,0,0,B,0.25,0.5,0.009873135020278747,0.00944645281365572
OpenBMI,0,1,B,0.25,0.5,0.00928683297192137,0.008970136865578713
OpenBMI,0,2,B,0.25,0.5,0.008643410627150114,0.008191549417904412
OpenBMI,1,0,B,0.25,0.5,0.008190164756723966,0.00784866639677843
OpenBMI,1,1,B,0.25,0.5,0.009619257987603966,0.009150132826495877
OpenBMI,1,2,B,0.25,0.5,0.010324032188938214,0.009947863157005394
OpenBMI,2,0,B,0.25,0.5,0.007775262156789017,0.007481355438981729
OpenBMI,2,1,B,0.25,0.5,0.011116912318851946,0.010672507567049105
OpenBMI,2,2,B,0.25,0.5,0.010073795984258603,0.009593554566539748
OpenBMI,3,0,B,0.25,0.5,0.00747175940006041,0.007188030369401904
OpenBMI,3,1,B,0.25,0.5,0.012450240418843553,0.011878950176498584
OpenBMI,3,2,B,0.25,0.5,0.008499745246642812,0.008162583993551424
OpenBMI,4,0,B,0.25,0.5,0.01148626217404569,0.01109972653188
OpenBMI,4,1,B,0.25,0.5,0.010385905330675207,0.01003301558046561
OpenBMI,4,2,B,0.25,0.5,0.011501075167225185,0.010998460882791031
WBCIC,0,0,B,0.25,0.5,0.008031190286552274,0.0077108081646632505
WBCIC,0,1,B,0.25,0.5,0.008354890604132558,0.008025848558218519
WBCIC,0,2,B,0.25,0.5,0.008752706061532738,0.008262711143049084
WBCIC,1,0,B,0.25,0.5,0.01012148316346535,0.009438665823208979
WBCIC,1,1,B,0.25,0.5,0.011761613560437844,0.010857945102604807
WBCIC,1,2,B,0.25,0.5,0.010765710382284794,0.010308262644370778
WBCIC,2,0,B,0.25,0.5,0.006327392636449318,0.005954851131412214
WBCIC,2,1,B,0.25,0.5,0.007842324546018374,0.0073889101052392265
WBCIC,2,2,B,0.25,0.5,0.00978633188404494,0.00918828456921373
WBCIC,3,0,B,0.25,0.5,0.009267278015701007,0.008684526222999606
WBCIC,3,1,B,0.25,0.5,0.008711873540034274,0.008216105921148985
WBCIC,3,2,B,0.25,0.5,0.0069794462958335315,0.006463199763249985
WBCIC,4,0,B,0.25,0.5,0.008565134136440396,0.008159790899004442
WBCIC,4,1,B,0.25,0.5,0.008796070749386006,0.008355994082049779
WBCIC,4,2,B,0.25,0.5,0.010072328934907355,0.009615157098050433
OpenBMI,0,0,B,0.25,1.0,0.010308082893663148,0.009803074680244248
OpenBMI,0,1,B,0.25,1.0,0.010343605270890418,0.00981611842339498
OpenBMI,0,2,B,0.25,1.0,0.009755370301701437,0.009293421900579118
OpenBMI,1,0,B,0.25,1.0,0.008840465527752639,0.008468264059667706
OpenBMI,1,1,B,0.25,1.0,0.010226249550565327,0.00968197572692687
OpenBMI,1,2,B,0.25,1.0,0.011077680336056828,0.010595395904745238
OpenBMI,2,0,B,0.25,1.0,0.008116619057161099,0.007687211767342201
OpenBMI,2,1,B,0.25,1.0,0.011832486768789396,0.011459828648983308
OpenBMI,2,2,B,0.25,1.0,0.011049634774153333,0.01045663453257886
OpenBMI,3,0,B,0.25,1.0,0.008064452128177376,0.007746687042826051
OpenBMI,3,1,B,0.25,1.0,0.013655191219899951,0.013054330781434781
OpenBMI,3,2,B,0.25,1.0,0.008703869862680102,0.008346712508561253
OpenBMI,4,0,B,0.25,1.0,0.012693525734181588,0.012170063536551905
OpenBMI,4,1,B,0.25,1.0,0.011208912283128536,0.010854652941503375
OpenBMI,4,2,B,0.25,1.0,0.012520242383443209,0.01210674683152319
WBCIC,0,0,B,0.25,1.0,0.008863520930580559,0.008545931238694968
WBCIC,0,1,B,0.25,1.0,0.009154354624378983,0.008832005110376722
WBCIC,0,2,B,0.25,1.0,0.009333033771287335,0.008814377182024016
WBCIC,1,0,B,0.25,1.0,0.011143115694441128,0.010539779309916272
WBCIC,1,1,B,0.25,1.0,0.012072056732602067,0.011271584235002376
WBCIC,1,2,B,0.25,1.0,0.011872574844973227,0.011381001101877506
WBCIC,2,0,B,0.25,1.0,0.006636024473648341,0.006304034149796931
WBCIC,2,1,B,0.25,1.0,0.00841745802792336,0.00793921605666954
WBCIC,2,2,B,0.25,1.0,0.010047093722310387,0.00953275776628016
WBCIC,3,0,B,0.25,1.0,0.009689151518720872,0.00910002493062103
WBCIC,3,1,B,0.25,1.0,0.009399203746765054,0.00889146165317847
WBCIC,3,2,B,0.25,1.0,0.007485241898908821,0.0069741485877456355
WBCIC,4,0,B,0.25,1.0,0.00940872612015995,0.009048448750105137
WBCIC,4,1,B,0.25,1.0,0.009904302537999433,0.009397568644265178
WBCIC,4,2,B,0.25,1.0,0.01074971112988414,0.010130368099174657
OpenBMI,0,0,B,0.5,0.25,0.005646946915981295,0.00538892817993566
OpenBMI,0,1,B,0.5,0.25,0.005580070898242524,0.005337846951472103
OpenBMI,0,2,B,0.5,0.25,0.00525009926951996,0.004984380043838453
OpenBMI,1,0,B,0.5,0.25,0.0050148147477359975,0.00478430189059605
OpenBMI,1,1,B,0.5,0.25,0.005582727749237302,0.005373940018148487
OpenBMI,1,2,B,0.5,0.25,0.006063248939136946,0.005775363723064658
OpenBMI,2,0,B,0.5,0.25,0.004589082694011524,0.004410909562853722
OpenBMI,2,1,B,0.5,0.25,0.006721509533397979,0.006491226445382907
OpenBMI,2,2,B,0.5,0.25,0.005912213780523093,0.0055329855859630175
OpenBMI,3,0,B,0.5,0.25,0.004455524146762109,0.004247177424053459
OpenBMI,3,1,B,0.5,0.25,0.007150685347237991,0.006832845642067445
OpenBMI,3,2,B,0.5,0.25,0.00511441828082402,0.00493109427336847
OpenBMI,4,0,B,0.5,0.25,0.006929768016238067,0.006749827171754021
OpenBMI,4,1,B,0.5,0.25,0.0061480946085194265,0.005961024206556564
OpenBMI,4,2,B,0.5,0.25,0.007066941411743429,0.006708358414073127
WBCIC,0,0,B,0.5,0.25,0.0045227687773100565,0.004329399175499629
WBCIC,0,1,B,0.5,0.25,0.004807076315299968,0.004595320754966534
WBCIC,0,2,B,0.5,0.25,0.005212667501644751,0.004907327872486516
WBCIC,1,0,B,0.5,0.25,0.006154489389397207,0.0057113976898744
WBCIC,1,1,B,0.5,0.25,0.007101128746310778,0.006543841651385286
WBCIC,1,2,B,0.5,0.25,0.006227614740099482,0.005869409559647965
WBCIC,2,0,B,0.5,0.25,0.003855360847192582,0.0036048868201138473
WBCIC,2,1,B,0.5,0.25,0.004639408543030192,0.004336703509237458
WBCIC,2,2,B,0.5,0.25,0.005784430158687656,0.00537314635661899
WBCIC,3,0,B,0.5,0.25,0.005375302856927202,0.005033172687747251
WBCIC,3,1,B,0.5,0.25,0.004973202063454027,0.004668091693436162
WBCIC,3,2,B,0.5,0.25,0.004238411879033505,0.003936127365260576
WBCIC,4,0,B,0.5,0.25,0.00512014803883625,0.0049003140558384764
WBCIC,4,1,B,0.5,0.25,0.0053144634675837766,0.004973916538149178
WBCIC,4,2,B,0.5,0.25,0.0061068883881429045,0.005770481200892877
OpenBMI,0,0,B,0.5,0.5,0.005800709236723732,0.005475773058759413
OpenBMI,0,1,B,0.5,0.5,0.005841712961276296,0.005592963549872965
OpenBMI,0,2,B,0.5,0.5,0.005429397987605164,0.005210847824446098
OpenBMI,1,0,B,0.5,0.5,0.005135970829546789,0.00494789849492198
OpenBMI,1,1,B,0.5,0.5,0.006062567718312119,0.0057909352741820795
OpenBMI,1,2,B,0.5,0.5,0.00629965423132825,0.006062345563717643
OpenBMI,2,0,B,0.5,0.5,0.004795516942939806,0.004515421224751206
OpenBMI,2,1,B,0.5,0.5,0.00700168704818008,0.006779480771216544
OpenBMI,2,2,B,0.5,0.5,0.006381930752322999,0.0060395206861775805
OpenBMI,3,0,B,0.5,0.5,0.0048025336666905295,0.004593661254477883
OpenBMI,3,1,B,0.5,0.5,0.007469031968230604,0.007120584732869012
OpenBMI,3,2,B,0.5,0.5,0.005268358634397998,0.005091496763457721
OpenBMI,4,0,B,0.5,0.5,0.00714443761682512,0.006894508111574804
OpenBMI,4,1,B,0.5,0.5,0.006336678475273257,0.006074503280256331
OpenBMI,4,2,B,0.5,0.5,0.007376573526412485,0.007093915207434701
WBCIC,0,0,B,0.5,0.5,0.00502633509957405,0.004816960717213545
WBCIC,0,1,B,0.5,0.5,0.005276932913133539,0.005064539565232633
WBCIC,0,2,B,0.5,0.5,0.005388768461262866,0.005079704508937959
WBCIC,1,0,B,0.5,0.5,0.006438630776675497,0.0060131827074651565
WBCIC,1,1,B,0.5,0.5,0.007390447421624262,0.006878745015170984
WBCIC,1,2,B,0.5,0.5,0.006587540658388537,0.006241125442127745
WBCIC,2,0,B,0.5,0.5,0.003915379806080926,0.0037253154156849924
WBCIC,2,1,B,0.5,0.5,0.004759018182567205,0.0044602480335214105
WBCIC,2,2,B,0.5,0.5,0.006168797635072115,0.005744739177677571
WBCIC,3,0,B,0.5,0.5,0.005630882093978665,0.005330737920912292
WBCIC,3,1,B,0.5,0.5,0.005257738083053136,0.004970622633034393
WBCIC,3,2,B,0.5,0.5,0.0044302879379616075,0.00410735757437351
WBCIC,4,0,B,0.5,0.5,0.005398546793776558,0.005068674767170237
WBCIC,4,1,B,0.5,0.5,0.0055404548045616744,0.005259222952690977
WBCIC,4,2,B,0.5,0.5,0.006377088847528053,0.00602334649763295
OpenBMI,0,0,B,0.5,1.0,0.006398892540109367,0.006102263531480755
OpenBMI,0,1,B,0.5,1.0,0.006291180987077947,0.005991567709653702
OpenBMI,0,2,B,0.5,1.0,0.0057292524870797236,0.005425137812293545
OpenBMI,1,0,B,0.5,1.0,0.005595410801609378,0.0053335440693774204
OpenBMI,1,1,B,0.5,1.0,0.00630136930634904,0.006035435814413283
OpenBMI,1,2,B,0.5,1.0,0.006755330334524014,0.006492131674693666
OpenBMI,2,0,B,0.5,1.0,0.004997756921726018,0.004762119896229654
OpenBMI,2,1,B,0.5,1.0,0.007491750777331569,0.007166563876783628
OpenBMI,2,2,B,0.5,1.0,0.00661309939648862,0.006198282923842644
OpenBMI,3,0,B,0.5,1.0,0.004950861298312493,0.004775425056416721
OpenBMI,3,1,B,0.5,1.0,0.008249681990125754,0.007876177230193673
OpenBMI,3,2,B,0.5,1.0,0.005631516777660603,0.0053892259962567916
OpenBMI,4,0,B,0.5,1.0,0.007798897822074637,0.007522583160406174
OpenBMI,4,1,B,0.5,1.0,0.006845249025006067,0.0066165885131633
OpenBMI,4,2,B,0.5,1.0,0.007692645745289555,0.007311410022614165
WBCIC,0,0,B,0.5,1.0,0.00544638399711522,0.005237932674706609
WBCIC,0,1,B,0.5,1.0,0.005875519494748749,0.005634065915517715
WBCIC,0,2,B,0.5,1.0,0.0058525465867602265,0.0055281375051696915
WBCIC,1,0,B,0.5,1.0,0.006779569158492722,0.006326759103158734
WBCIC,1,1,B,0.5,1.0,0.007689631575582886,0.007187261148433872
WBCIC,1,2,B,0.5,1.0,0.007379240015263749,0.006996939161855051
WBCIC,2,0,B,0.5,1.0,0.004162598566572969,0.003936196764668991
WBCIC,2,1,B,0.5,1.0,0.0052589732502998495,0.0049055324737402725
WBCIC,2,2,B,0.5,1.0,0.006496602117194974,0.006104767801428744
WBCIC,3,0,B,0.5,1.0,0.005956971158095835,0.005633760654217022
WBCIC,3,1,B,0.5,1.0,0.005853253539691388,0.005541775326701153
WBCIC,3,2,B,0.5,1.0,0.004705425196369798,0.004380179333859006
WBCIC,4,0,B,0.5,1.0,0.0057662809503826315,0.005507718178911319
WBCIC,4,1,B,0.5,1.0,0.005989255233951009,0.005708805482403415
WBCIC,4,2,B,0.5,1.0,0.006742924849927229,0.00637747462259695
