scope,q,lambda_H,dataset,BA,ERM_BA,delta_BA,valid_candidate_coverage,median_valid_candidates,hardness_gap,hardness_gap_CI95_L,semantic_pass_rate,bank_stability,units,hardness_gap_CI95_U
A,0.25,0.25,OpenBMI,0.7595,0.7595,-7.401486830834377e-18,0.9714332748545365,24.0,0.009510842201761729,0.009236590971758687,0.9700639710688098,1.0,15,0.009817375112657198
A,0.25,0.25,WBCIC,0.795885101010101,0.796070707070707,-0.00018560606060606202,0.9639812023844344,24.0,0.008692637482254519,0.008280379089191442,0.9592413220732416,1.0,15,0.009108770125612321
A,0.25,0.5,OpenBMI,0.7596666666666666,0.7595,0.0001666666666666483,0.9715576929583734,24.0,0.009665766374869687,0.009407667101410798,0.9699649320038751,1.0,15,0.009947383558983969
A,0.25,0.5,WBCIC,0.7961212121212121,0.796070707070707,5.050505050504158e-05,0.9638984319471675,24.0,0.009050925838214218,0.008621921960865827,0.9592419308052716,1.0,15,0.009500926530593775
A,0.25,1.0,OpenBMI,0.75975,0.7595,0.0002499999999999799,0.9714295155065044,24.0,0.00981916175539915,0.00954561456825864,0.9698736448421124,1.0,15,0.010124366473090817
A,0.25,1.0,WBCIC,0.7962087542087541,0.796070707070707,0.00013804713804713338,0.9639254040419228,24.0,0.00956410880513282,0.00911145702872848,0.9591564328087667,1.0,15,0.010047528869112924
A,0.5,0.25,OpenBMI,0.7595,0.7595,-7.401486830834377e-18,0.9714646474035561,24.0,0.005898836994423766,0.0057217282065542005,0.9700639710688098,1.0,15,0.006101394947335886
A,0.5,0.25,WBCIC,0.7960008417508416,0.796070707070707,-6.98653198653254e-05,0.9640269414866627,24.0,0.005414513441905084,0.005150325318351539,0.9592388498979662,1.0,15,0.005700408699356709
A,0.5,0.5,OpenBMI,0.7596666666666666,0.7595,0.0001666666666666483,0.9715571829046358,24.0,0.0059933353191884,0.005826720212913016,0.9699602638248972,1.0,15,0.006188105103618723
A,0.5,0.5,WBCIC,0.7961212121212121,0.796070707070707,5.050505050504158e-05,0.9638839449212772,24.0,0.00562069596386417,0.005346336341211831,0.9592275757617125,1.0,15,0.005915923112859276
A,0.5,1.0,OpenBMI,0.75975,0.7595,0.0002499999999999799,0.9714295155065044,24.0,0.006082843742101076,0.0059110527939806225,0.9698736448421124,1.0,15,0.006281331637379783
A,0.5,1.0,WBCIC,0.7962504208754209,0.796070707070707,0.00017971380471379177,0.9639092242630265,24.0,0.005941727198477424,0.005634820982881873,0.9591555909833557,1.0,15,0.006268220707417982
B,0.25,0.25,OpenBMI,0.7575833333333333,0.7580833333333333,-0.000500000000000019,0.9494788510019296,24.0,0.009382402931857974,0.009147205261987125,0.9654065792186813,0.9999743845478799,15,0.009635476683435699
B,0.25,0.25,WBCIC,0.7928265993265993,0.7930079966329966,-0.0001813973063973314,0.9380127749085934,24.0,0.008521649947883275,0.00814700943283542,0.9579309602790659,0.9999617528210893,15,0.00890226965284442
B,0.25,0.5,OpenBMI,0.7576666666666667,0.7580833333333333,-0.0004166666666666504,0.9486696562483862,24.0,0.009836032084121479,0.009586065744265416,0.9649866847030473,0.999970151907569,15,0.010111961659275767
B,0.25,0.5,WBCIC,0.7926468855218854,0.7930079966329966,-0.00036111111111113056,0.9401273961910389,24.0,0.008972972412241088,0.008601681775996066,0.958098135774717,0.9999544475557921,15,0.00937924956130466
B,0.25,1.0,OpenBMI,0.7566666666666666,0.7580833333333333,-0.0014166666666666587,0.9500675048961136,24.0,0.010632147252637888,0.010331696828770182,0.9654396492433117,0.9999589131489437,15,0.010959597991213314
B,0.25,1.0,WBCIC,0.7935669191919192,0.7930079966329966,0.0005589225589225662,0.9412759298095693,24.0,0.009638956436383638,0.009253895148312917,0.959052084172628,0.9999373052339411,15,0.010033885991545234
B,0.5,0.25,OpenBMI,0.7569166666666667,0.7580833333333333,-0.0011666666666666566,0.9510794325800639,24.0,0.005846687526893832,0.005694359317267283,0.966849954683214,0.9999742802474613,15,0.006012746801148063
B,0.5,0.25,WBCIC,0.7929890572390572,0.7930079966329966,-1.8939393939413723e-05,0.9388298875947761,24.0,0.005313398359129565,0.005070821308017713,0.9589582621641292,0.9999615403588058,15,0.0055627797561663235
B,0.5,0.5,OpenBMI,0.7576666666666667,0.7580833333333333,-0.0004166666666666652,0.9486854067903358,24.0,0.006112938499943139,0.0059244816183171255,0.9650762854659217,0.999969932789718,15,0.006326644606303712
B,0.5,0.5,WBCIC,0.7932811447811449,0.7930079966329966,0.00027314814814814644,0.9400173546311829,24.0,0.005588309120847103,0.005351174235607489,0.9589378301510035,0.9999561785973015,15,0.005841783534459856
B,0.5,1.0,OpenBMI,0.7568333333333332,0.7580833333333333,-0.0012500000000000178,0.9498615685587062,24.0,0.006527151461706372,0.006342299730097398,0.9659126996374828,0.9999583956485355,15,0.0067312071993062056
B,0.5,1.0,WBCIC,0.7934301346801347,0.7930079966329966,0.00042213804713799876,0.942086283819424,24.0,0.006012452156632203,0.005760871919793363,0.9596103951670706,0.9999394062265774,15,0.006267969381993664
