dataset,fold,seed,scope,q,lambda_H,coverage_ge2,median_valid_candidates,semantic_pass_rate
OpenBMI,0,0,A,0.25,0.25,0.9736470588235294,24.0,0.9735686274509803
OpenBMI,0,1,A,0.25,0.25,0.9768102224325603,24.0,0.9757453857075249
OpenBMI,0,2,A,0.25,0.25,0.9709246901811249,24.0,0.9684421671433111
OpenBMI,1,0,A,0.25,0.25,0.9698420296792724,24.0,0.969024254029041
OpenBMI,1,1,A,0.25,0.25,0.9769628584861307,24.0,0.9763947657107038
OpenBMI,1,2,A,0.25,0.25,0.9685966633954858,24.0,0.9693122342165522
OpenBMI,2,0,A,0.25,0.25,0.97148380860319,24.0,0.9680199774448205
OpenBMI,2,1,A,0.25,0.25,0.9802538787023978,24.0,0.9791960507757405
OpenBMI,2,2,A,0.25,0.25,0.9732142857142857,24.0,0.9716282894736842
OpenBMI,3,0,A,0.25,0.25,0.9635897435897436,24.0,0.9608974358974359
OpenBMI,3,1,A,0.25,0.25,0.9566517189835575,24.0,0.9532469689420361
OpenBMI,3,2,A,0.25,0.25,0.97002457002457,24.0,0.9693284193284193
OpenBMI,4,0,A,0.25,0.25,0.9705314009661836,24.0,0.9698067632850241
OpenBMI,4,1,A,0.25,0.25,0.976056338028169,24.0,0.9740805946791864
OpenBMI,4,2,A,0.25,0.25,0.9729098552078468,24.0,0.972267631947688
WBCIC,0,0,A,0.25,0.25,0.9628700451580532,24.0,0.9587096504432179
WBCIC,0,1,A,0.25,0.25,0.963686451289757,24.0,0.9596272643793304
WBCIC,0,2,A,0.25,0.25,0.9676294820717132,24.0,0.9610723771580345
WBCIC,1,0,A,0.25,0.25,0.9666048237476809,24.0,0.9602755875077303
WBCIC,1,1,A,0.25,0.25,0.9751187514137073,24.0,0.9682764080524768
WBCIC,1,2,A,0.25,0.25,0.9699421965317919,24.0,0.9642967244701348
WBCIC,2,0,A,0.25,0.25,0.9580910852713178,24.0,0.9537609011627907
WBCIC,2,1,A,0.25,0.25,0.960860111137956,24.0,0.9572259805105903
WBCIC,2,2,A,0.25,0.25,0.9576832151300236,24.0,0.9506304176516943
WBCIC,3,0,A,0.25,0.25,0.9755478662053056,24.0,0.9722895040369088
WBCIC,3,1,A,0.25,0.25,0.9569711538461538,24.0,0.955488782051282
WBCIC,3,2,A,0.25,0.25,0.9590952839268527,24.0,0.9549446583253128
WBCIC,4,0,A,0.25,0.25,0.9629995066600888,24.0,0.9603169708929452
WBCIC,4,1,A,0.25,0.25,0.9623629112662014,24.0,0.9567651213027584
WBCIC,4,2,A,0.25,0.25,0.9602551521099116,24.0,0.9549394831534183
OpenBMI,0,0,A,0.25,0.5,0.9736346516007532,24.0,0.9735561833019458
OpenBMI,0,1,A,0.25,0.5,0.9768211920529801,24.0,0.9757568590350048
OpenBMI,0,2,A,0.25,0.5,0.9708969465648855,24.0,0.9684716921119593
