comparison,delta_BA,CI95_L,CI95_U,positive_folds
ME-HardSCST-ERM,0.00012154060934549811,-0.0010975609756097597,0.0013817032109715245,4
ME-HardSCST-Mixup,0.0002841422353617566,-0.0008947195532561244,0.001624794694916661,4
ME-HardSCST-V1-RandomTransport,0.0001215406093454954,-0.001018877802414384,0.0013817032109715085,3
ME-HardSCST-Dynamic-ClassConditional-Uniform-NoKL,0.0,-0.0002439024390243769,0.00024390243902438233,2
ME-HardSCST-Factorized-Uniform-NoKL,-5.415722071342227e-18,-0.0002032520325203326,0.00020325203252031637,2
ME-HardSCST-Factorized-HardRandom,0.0,0.0,0.0,0
