scope,q,lambda_H,OpenBMI_delta_BA,WBCIC_delta_BA,minimum_development_delta,mechanism_eligible,development_positive,eligible,coverage_min,hardness_CI95_L_min,semantic_pass_min,bank_stability_min
A,0.5,1.0,0.0002499999999999,0.0001797138047137,0.0001797138047137,True,True,True,0.9639092242630264,0.0056348209828818,0.9591555909833556,1.0
A,0.25,1.0,0.0002499999999999,0.0001380471380471,0.0001380471380471,True,True,True,0.9639254040419228,0.0091114570287284,0.9591564328087668,1.0
A,0.5,0.5,0.0001666666666666,5.050505050504158e-05,5.050505050504158e-05,True,True,True,0.9638839449212772,0.0053463363412118,0.9592275757617124,1.0
A,0.25,0.5,0.0001666666666666,5.050505050504158e-05,5.050505050504158e-05,True,True,True,0.9638984319471676,0.0086219219608658,0.9592419308052716,1.0
A,0.5,0.25,-7.401486830834377e-18,-6.98653198653254e-05,-6.98653198653254e-05,True,False,False,0.9640269414866628,0.0051503253183515,0.9592388498979662,1.0
A,0.25,0.25,-7.401486830834377e-18,-0.000185606060606,-0.000185606060606,True,False,False,0.9639812023844344,0.0082803790891914,0.9592413220732416,1.0
B,0.5,0.5,-0.0004166666666666,0.0002731481481481,-0.0004166666666666,True,False,False,0.9400173546311829,0.0053511742356074,0.9589378301510036,0.9999561785973016
B,0.25,0.5,-0.0004166666666666,-0.0003611111111111,-0.0004166666666666,True,False,False,0.9401273961910388,0.008601681775996,0.958098135774717,0.999954447555792
B,0.25,0.25,-0.0005,-0.0001813973063973,-0.0005,True,False,False,0.9380127749085934,0.0081470094328354,0.957930960279066,0.9999617528210892
B,0.5,0.25,-0.0011666666666666,-1.8939393939413723e-05,-0.0011666666666666,True,False,False,0.938829887594776,0.0050708213080177,0.9589582621641292,0.9999615403588058
B,0.5,1.0,-0.00125,0.0004221380471379,-0.00125,True,False,False,0.942086283819424,0.0057608719197933,0.9596103951670706,0.9999394062265774
B,0.25,1.0,-0.0014166666666666,0.0005589225589225,-0.0014166666666666,True,False,False,0.9412759298095692,0.0092538951483129,0.959052084172628,0.9999373052339412
