subject_id,label,count,rho,eta,norm_b,norm_c,residual_energy,main_effect_energy_fraction,unit
1,0,50,50.0,0.5,0.5471371906184053,0.2964857811894442,0.4416950449896208,0.6777506534283979,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
1,1,50,50.0,0.5,0.5471371906184053,0.2964857811894442,0.3328308026210114,0.8994332946361221,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
10,0,50,50.0,0.5,1.044587255352065,0.781219058774414,1.5893660736433255,0.6865394650979766,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
10,1,50,50.0,0.5,1.044587255352065,0.781219058774414,1.8135654300293569,0.6016670344374049,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
11,0,50,50.0,0.5,0.421128673785542,0.7611752526454147,0.6339956874189193,0.2797327543447216,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
11,1,50,50.0,0.5,0.421128673785542,0.7611752526454147,0.8794785628294415,0.2016528513370519,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
14,0,50,50.0,0.5,0.6775706232071326,0.7276372976630847,1.2980546875352927,0.3536845972992332,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
14,1,50,50.0,0.5,0.6775706232071326,0.7276372976630848,0.6790612852321846,0.6760832334541438,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
21,0,50,50.0,0.5,1.277790892942443,1.305987942132011,5.026602744823905,0.3248216835452043,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
21,1,50,50.0,0.5,1.277790892942443,1.305987942132011,1.6501053973377973,0.9894819862542404,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
22,0,50,50.0,0.5,0.4288410151237967,0.461926128986847,0.4018952900998448,0.4575933602175832,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
22,1,50,50.0,0.5,0.4288410151237967,0.4619261289868471,0.3926654396865186,0.4683493826174955,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
23,0,50,50.0,0.5,0.6321333498292311,0.5696199071276249,0.6813553821934752,0.5864671835128443,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
23,1,50,50.0,0.5,0.6321333498292311,0.5696199071276249,0.766763438931343,0.521141921585681,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
27,0,50,50.0,0.5,0.4906223562049957,0.5623414967840811,0.5680229636442915,0.4237686005928447,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
27,1,50,50.0,0.5,0.4906223562049957,0.5623414967840811,0.5458535471827133,0.4409796320835649,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
28,0,50,50.0,0.5,0.6799778720650165,1.231672011870204,2.1453512164649298,0.215521777016983,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
28,1,50,50.0,0.5,0.6799778720650165,1.231672011870204,1.8134204861799976,0.2549711498363285,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
3,0,50,50.0,0.5,0.7649072199784647,0.7125155028933557,1.8098627347818697,0.323274822963687,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
3,1,50,50.0,0.5,0.7649072199784647,0.7125155028933556,0.3756600592952397,1.5574800692754869,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
30,0,50,50.0,0.5,0.8790577066317925,0.2535351530699425,0.7702607473713318,1.0032219014481578,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
30,1,50,50.0,0.5,0.8790577066317925,0.2535351530699425,0.9037843034905596,0.855007603699568,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
31,0,50,50.0,0.5,0.3645334697802023,0.1814592553987672,0.1259835687923887,1.0547776338117345,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
31,1,50,50.0,0.5,0.3645334697802023,0.1814592553987672,0.2056406551273487,0.646198342967256,source_units\A\q0.25_l0.25\OpenBMI\fold-0\seed-0\bank_audit.csv
