method,BA,CI95_L,CI95_U
ERM,0.800842058799376,0.7584203390613452,0.8417667246653529
Mixup,0.8006794571733596,0.7581591319701075,0.8410171327092058
V1-RandomTransport,0.800842058799376,0.7584843352221401,0.8410573468424078
Dynamic-ClassConditional-Uniform-NoKL,0.8009635994087213,0.7590929647080561,0.8428055940502587
Factorized-Uniform-NoKL,0.8009635994087213,0.7586444937176645,0.8420332363266815
Factorized-HardRandom,0.8009635994087214,0.758685444382853,0.8402046840354765
ME-HardSCST,0.8009635994087214,0.7597954314486326,0.8412901191796008
