model,method,fold,seed,BA,macro_F1,CE,subjects
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,0,0.8233333333333334,0.8210394805757032,0.379461595736411,9
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,1,0.8127777777777777,0.8115328179988904,0.3977892334588708,9
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,2,0.8194444444444444,0.8182741653889668,0.36376881128159055,9
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,0.803125,0.8025551958259801,0.41564293553448123,8
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,0.811875,0.8077595192640957,0.4204775194103689,8
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,0.813125,0.8130002763842573,0.4043481831040642,8
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,0.776875,0.7759854611419237,0.48544085042523716,8
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,1,0.7975,0.7963099174440017,0.477929107023381,8
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,2,0.8025,0.8015094604920948,0.4547040220849853,8
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,0,0.7940506628787879,0.7893748809923358,0.474076927893721,8
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,1,0.7948445391414142,0.7913786244352645,0.4533198035000614,8
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,3,2,0.7790451388888889,0.7779981046978954,0.44901835523647876,8
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,0,0.7931250000000001,0.7920345559825818,0.45403236497586763,8
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,1,0.7875,0.7871936974044982,0.4528990363434205,8
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,4,2,0.79875,0.7984567446305946,0.440769858082988,8
ATCNet-CleanRoom,ERM,0,0,0.8211111111111111,0.8190951112439541,0.36881613346155895,9
ATCNet-CleanRoom,ERM,0,1,0.8111111111111111,0.8093983934911999,0.3843959608301706,9
ATCNet-CleanRoom,ERM,0,2,0.8188888888888889,0.8167127153628688,0.35440514095666215,9
ATCNet-CleanRoom,ERM,1,0,0.805,0.8043782638038849,0.39505326514931943,8
ATCNet-CleanRoom,ERM,1,1,0.81375,0.8097164217803581,0.3998386077403637,8
ATCNet-CleanRoom,ERM,1,2,0.8125,0.8123894361013513,0.3877690796380365,8
ATCNet-CleanRoom,ERM,2,0,0.775,0.7742507443827485,0.46206576815574607,8
ATCNet-CleanRoom,ERM,2,1,0.800625,0.7996772327766613,0.4570361154235215,8
ATCNet-CleanRoom,ERM,2,2,0.800625,0.7994578962272987,0.4331023465102828,8
ATCNet-CleanRoom,ERM,3,0,0.7940506628787879,0.7893748809923358,0.43812167672491076,8
ATCNet-CleanRoom,ERM,3,1,0.7942195391414142,0.7907964442018298,0.42479315963263353,8
ATCNet-CleanRoom,ERM,3,2,0.779676452020202,0.7785248431555094,0.427430492527594,8
ATCNet-CleanRoom,ERM,4,0,0.7937500000000001,0.7926699843181029,0.4326399715443871,8
ATCNet-CleanRoom,ERM,4,1,0.78875,0.7885624486745243,0.4277069891085347,8
ATCNet-CleanRoom,ERM,4,2,0.7975,0.7971972381044379,0.42226103752964617,8
ATCNet-CleanRoom,Factorized-HardRandom,0,0,0.8233333333333334,0.8210394805757032,0.3793476224819355,9
ATCNet-CleanRoom,Factorized-HardRandom,0,1,0.8122222222222222,0.8109721601314075,0.39770859102226663,9
ATCNet-CleanRoom,Factorized-HardRandom,0,2,0.8188888888888889,0.8177418705607227,0.36358033388915495,9
ATCNet-CleanRoom,Factorized-HardRandom,1,0,0.803125,0.8025551958259801,0.41538446324414086,8
ATCNet-CleanRoom,Factorized-HardRandom,1,1,0.811875,0.8077595192640957,0.4201960166563803,8
ATCNet-CleanRoom,Factorized-HardRandom,1,2,0.813125,0.8130002763842573,0.40412197151808865,8
ATCNet-CleanRoom,Factorized-HardRandom,2,0,0.776875,0.775970724297892,0.48530480996959463,8
ATCNet-CleanRoom,Factorized-HardRandom,2,1,0.7975,0.7963099174440017,0.47789906158619744,8
ATCNet-CleanRoom,Factorized-HardRandom,2,2,0.8025,0.8015094604920948,0.4545582268983929,8
ATCNet-CleanRoom,Factorized-HardRandom,3,0,0.7940506628787879,0.7893895371204497,0.4736930670133635,8
ATCNet-CleanRoom,Factorized-HardRandom,3,1,0.7948445391414142,0.7913786244352645,0.45326907578643216,8
ATCNet-CleanRoom,Factorized-HardRandom,3,2,0.7796701388888889,0.7786397487340597,0.4490760576281754,8
ATCNet-CleanRoom,Factorized-HardRandom,4,0,0.7931250000000001,0.7920345559825818,0.4539159364490084,8
ATCNet-CleanRoom,Factorized-HardRandom,4,1,0.788125,0.7878133572484918,0.4527411579248519,8
ATCNet-CleanRoom,Factorized-HardRandom,4,2,0.79875,0.7984567446305946,0.4406276805168753,8
ATCNet-CleanRoom,Factorized-Uniform-NoKL,0,0,0.8233333333333334,0.8210394805757032,0.379417287552302,9
ATCNet-CleanRoom,Factorized-Uniform-NoKL,0,1,0.8122222222222222,0.8109721601314075,0.3977523297292078,9
ATCNet-CleanRoom,Factorized-Uniform-NoKL,0,2,0.82,0.8189026902006519,0.36358540488474067,9
ATCNet-CleanRoom,Factorized-Uniform-NoKL,1,0,0.803125,0.8025551958259801,0.41550090671582723,8
ATCNet-CleanRoom,Factorized-Uniform-NoKL,1,1,0.811875,0.8077595192640957,0.42027939194013425,8
ATCNet-CleanRoom,Factorized-Uniform-NoKL,1,2,0.813125,0.8130002763842573,0.40413372775697753,8
ATCNet-CleanRoom,Factorized-Uniform-NoKL,2,0,0.77625,0.7753610392813772,0.4853175989966327,8
ATCNet-CleanRoom,Factorized-Uniform-NoKL,2,1,0.7975,0.7963099174440017,0.47792831638231653,8
ATCNet-CleanRoom,Factorized-Uniform-NoKL,2,2,0.8025,0.8015094604920948,0.45456709333460865,8
ATCNet-CleanRoom,Factorized-Uniform-NoKL,3,0,0.7940506628787879,0.7893748809923358,0.473844559371002,8
ATCNet-CleanRoom,Factorized-Uniform-NoKL,3,1,0.7948445391414142,0.7913786244352645,0.45323652802919456,8
ATCNet-CleanRoom,Factorized-Uniform-NoKL,3,2,0.7796701388888889,0.7786397487340597,0.44916061384476347,8
ATCNet-CleanRoom,Factorized-Uniform-NoKL,4,0,0.7931250000000001,0.7920345559825818,0.45383566315353974,8
ATCNet-CleanRoom,Factorized-Uniform-NoKL,4,1,0.7875,0.7871936974044982,0.45271655522995874,8
ATCNet-CleanRoom,Factorized-Uniform-NoKL,4,2,0.79875,0.7984567446305946,0.4406604165703986,8
ATCNet-CleanRoom,ME-HardSCST,0,0,0.8233333333333334,0.8210394805757032,0.379395762773995,9
ATCNet-CleanRoom,ME-HardSCST,0,1,0.8122222222222222,0.8109721601314075,0.3977142086905037,9
ATCNet-CleanRoom,ME-HardSCST,0,2,0.8188888888888889,0.8177418705607227,0.36357113255142953,9
ATCNet-CleanRoom,ME-HardSCST,1,0,0.803125,0.8025551958259801,0.4154902413075757,8
ATCNet-CleanRoom,ME-HardSCST,1,1,0.811875,0.8077595192640957,0.42022524033789854,8
ATCNet-CleanRoom,ME-HardSCST,1,2,0.813125,0.8130002763842573,0.40412992408561305,8
ATCNet-CleanRoom,ME-HardSCST,2,0,0.776875,0.775970724297892,0.4853320384121236,8
ATCNet-CleanRoom,ME-HardSCST,2,1,0.7975,0.7963099174440017,0.4779113643152342,8
ATCNet-CleanRoom,ME-HardSCST,2,2,0.8025,0.8015094604920948,0.4544868350512072,8
ATCNet-CleanRoom,ME-HardSCST,3,0,0.7940506628787879,0.7893895371204497,0.47371698876302815,8
ATCNet-CleanRoom,ME-HardSCST,3,1,0.7948445391414142,0.7913786244352645,0.45333459039065066,8
ATCNet-CleanRoom,ME-HardSCST,3,2,0.7796701388888889,0.7786397487340597,0.4490463490194444,8
ATCNet-CleanRoom,ME-HardSCST,4,0,0.7931250000000001,0.7920345559825818,0.4539118581700953,8
ATCNet-CleanRoom,ME-HardSCST,4,1,0.788125,0.7878133572484918,0.4527883222963405,8
ATCNet-CleanRoom,ME-HardSCST,4,2,0.79875,0.7984567446305946,0.4406354982798449,8
ATCNet-CleanRoom,Mixup,0,0,0.8222222222222223,0.8201476893878193,0.36845913492731497,9
ATCNet-CleanRoom,Mixup,0,1,0.8116666666666666,0.8099505458421968,0.3828620422565491,9
ATCNet-CleanRoom,Mixup,0,2,0.8177777777777777,0.8154810648131374,0.35318055016303973,9
ATCNet-CleanRoom,Mixup,1,0,0.805625,0.8048801766199772,0.3826488608635751,8
ATCNet-CleanRoom,Mixup,1,1,0.813125,0.8090728566562199,0.381225616988441,8
ATCNet-CleanRoom,Mixup,1,2,0.811875,0.8117759363641871,0.38060839735100915,8
ATCNet-CleanRoom,Mixup,2,0,0.775,0.774245948154465,0.456327289109905,8
ATCNet-CleanRoom,Mixup,2,1,0.799375,0.7983647026549964,0.4528484009427847,8
ATCNet-CleanRoom,Mixup,2,2,0.8,0.7987973897013566,0.4242386427071634,8
ATCNet-CleanRoom,Mixup,3,0,0.7934256628787879,0.7887771256291527,0.4209997638404699,8
ATCNet-CleanRoom,Mixup,3,1,0.7935945391414141,0.790172739550738,0.41873431621203855,8
ATCNet-CleanRoom,Mixup,3,2,0.780301452020202,0.7791595411834301,0.4202893899099189,8
ATCNet-CleanRoom,Mixup,4,0,0.794375,0.7933255263758198,0.42361592124166697,8
ATCNet-CleanRoom,Mixup,4,1,0.7875,0.7872949135731486,0.4214720338225274,8
ATCNet-CleanRoom,Mixup,4,2,0.798125,0.797824566972205,0.41147554040673767,8
ATCNet-CleanRoom,V1-RandomTransport,0,0,0.8205555555555555,0.8185390417366558,0.3688323973537565,9
ATCNet-CleanRoom,V1-RandomTransport,0,1,0.8111111111111111,0.8093983934911999,0.3843960842473344,9
ATCNet-CleanRoom,V1-RandomTransport,0,2,0.8188888888888889,0.8167127153628688,0.3543392429041161,9
