dataset,method,BA,macro_f1,delta_vs_STRONGEST_KEEP,bootstrap_CI95_L,bootstrap_CI95_U,positive_subject_fraction,OUTER_TEST_USED
OpenBMI,B0_SINGLE_KEEP,0.8592307692307694,0.8570346323777932,0.0007692307692307699,-0.0007692307692307699,0.0023076923076923014,0.23076923076923078,False
OpenBMI,B1_MAJORITY_KEEP,0.8496153846153847,0.8462766129580911,-0.008846153846153854,-0.015384615384615389,-0.0015384615384615653,0.23076923076923078,False
OpenBMI,B2_MEAN_LOGIT_KEEP,0.8584615384615385,0.8562757401701696,0.0,0.0,0.0,0.0,False
OpenBMI,B3_CALIBRATED_KEEP,0.8592307692307694,0.8570346323777932,0.0007692307692307699,-0.0007692307692307699,0.0023076923076923014,0.23076923076923078,False
OpenBMI,B4_STRONGEST_KEEP,0.8584615384615385,0.8562757401701696,0.0,0.0,0.0,0.0,False
OpenBMI,B5_UNIFORM_ACTION_ENSEMBLE,0.8576923076923075,0.8561275570564981,-0.0007692307692307699,-0.009999999999999992,0.009230769230769213,0.46153846153846156,False
OpenBMI,B6_BEST_FIXED_ACTION,0.8573076923076923,0.8551624513879499,-0.001153846153846172,-0.0073076923076923145,0.004999999999999953,0.38461538461538464,False
OpenBMI,B7_KEEP_STACKING,0.8623076923076921,0.8605991522564117,0.003846153846153841,-0.004230769230769243,0.011538461538461565,0.5384615384615384,False
OpenBMI,B8_ACTION_STACKING,0.8511538461538461,0.8477931578770016,-0.0073076923076923145,-0.016538461538461544,0.001153846153846172,0.3076923076923077,False
OpenBMI,B9_OLD_I003_PROTECTED_SAFE,0.8500000000000001,0.8481666435613776,-0.008461538461538468,-0.02269230769230766,0.006538461538461502,0.23076923076923078,False
OpenBMI,B10_OLD_I003_FULL,0.8146153846153845,0.8113028303083664,-0.04384615384615384,-0.06307692307692304,-0.02692307692307693,0.07692307692307693,False
OpenBMI,B11_RANDOM_MATCHED_MIXTURE,0.856153846153846,0.8538794035170774,-0.0023076923076923096,-0.004230769230769243,-0.00038461538461538494,0.07692307692307693,False
OpenBMI,B12_CGRFUSE_NO_CONSENSUS,0.856923076923077,0.8547062905180209,-0.001538461538461557,-0.003846153846153875,0.0007692307692307443,0.15384615384615385,False
OpenBMI,B13_CGRFUSE_NO_LCB,0.8576923076923078,0.856051648410496,-0.0007692307692307699,-0.008846153846153802,0.007692307692307665,0.46153846153846156,False
OpenBMI,B14_CGRFUSE,0.8576923076923079,0.8554782469299318,-0.0007692307692307699,-0.0030769230769230795,0.0015384615384615142,0.23076923076923078,False
WBCIC,B0_SINGLE_KEEP,0.7651958610495195,0.7598718327006898,-0.0010975609756097462,-0.0020731707317072946,-0.00012195121951219252,0.0975609756097561,False
WBCIC,B1_MAJORITY_KEEP,0.7644579945799459,0.7600311862179754,-0.0018354274451835356,-0.005987928061098778,0.0020610064055186146,0.3902439024390244,False
WBCIC,B2_MEAN_LOGIT_KEEP,0.7662934220251293,0.7610907435936047,0.0,0.0,0.0,0.0,False
WBCIC,B3_CALIBRATED_KEEP,0.7651958610495195,0.7598718327006898,-0.0010975609756097462,-0.0020731707317072946,-0.00012195121951219523,0.0975609756097561,False
WBCIC,B4_STRONGEST_KEEP,0.7662934220251293,0.7610907435936047,0.0,0.0,0.0,0.0,False
WBCIC,B5_UNIFORM_ACTION_ENSEMBLE,0.768120226656812,0.7627910470323689,0.0018268046316826847,-0.002807341709780738,0.006217048534121709,0.6097560975609756,False
WBCIC,B6_BEST_FIXED_ACTION,0.6527297363882729,0.6481502704124346,-0.11356368563685636,-0.1370263303769401,-0.09051850825326435,0.04878048780487805,False
WBCIC,B7_KEEP_STACKING,0.7752981029810297,0.7743365834510653,0.009004680955900476,0.002281257698940627,0.015472006651884708,0.7073170731707317,False
WBCIC,B8_ACTION_STACKING,0.7783481152993348,0.7773832404167519,0.012054693274205473,0.0063229243656072985,0.018046378418329647,0.7804878048780488,False
WBCIC,B9_OLD_I003_PROTECTED_SAFE,0.7651921655580192,0.7605303089196789,-0.0011012564671101044,-0.009392707563439243,0.0070707070707070946,0.43902439024390244,False
WBCIC,B10_OLD_I003_FULL,0.7651921655580192,0.7605303089196789,-0.0011012564671101044,-0.009395202020201993,0.0069438285291944036,0.43902439024390244,False
WBCIC,B11_RANDOM_MATCHED_MIXTURE,0.7667812269031781,0.7617548535099434,0.00048780487804878905,-0.0013414634146341367,0.002195121951219525,0.34146341463414637,False
WBCIC,B12_CGRFUSE_NO_CONSENSUS,0.7653153486080316,0.7603625394809642,-0.0009780734170977865,-0.004148805124414862,0.0018268046316827025,0.3902439024390244,False
WBCIC,B13_CGRFUSE_NO_LCB,0.7679982754372998,0.7623883150929223,0.0017048534121704977,-0.002439024390243879,0.005485341217048549,0.5853658536585366,False
WBCIC,B14_CGRFUSE,0.7654397634885439,0.7603025714998982,-0.000853658536585349,-0.0032957317073170644,0.001463414634146367,0.2926829268292683,False
