dataset,eta,lambda_safe,kappa,mean_BA,delta_vs_STRONGEST_KEEP,bootstrap_CI95_L,bootstrap_CI95_U,median_subject_delta_BA,positive_subject_fraction,nonnegative_subject_fraction,positive_fold_fraction,unsafe_intervention_rate,rescue_precision,action_rate,nonkeep_mass,stable_fraction,mean_mu_amp,mean_mu_geo,OUTER_TEST_USED,search_stage,delta_vs_OLD_I003
OpenBMI,0.5,0.5,0.5,0.8576923076923079,-0.0007692307692307699,-0.0030769230769230795,0.0015384615384615313,0.0,0.23076923076923078,0.6923076923076923,0.4,0.023474178403755867,0.014084507042253521,0.08192307692307692,0.02665791531664617,0.6257692307692307,0.013214494633812487,-0.04324227389503339,False,final_five_bootstrap_heads,0.043076923076923346
WBCIC,0.5,0.5,0.5,0.7654397634885439,-0.000853658536585349,-0.0034146341463414474,0.0015853658536585501,0.0,0.2926829268292683,0.7317073170731707,0.4,0.028894472361809045,0.031407035175879394,0.097096852890949,0.037197547087436465,0.47096852890949015,-0.0052112694342145325,-0.014268018055137317,False,final_five_bootstrap_heads,0.00024759793052475665
