dataset,metric,value
OpenBMI,rescue_precision,0.014084507042253521
OpenBMI,harm_precision,0.023474178403755867
OpenBMI,unsafe_intervention_rate,0.023474178403755867
OpenBMI,nonkeep_mass,0.02665791531664617
OpenBMI,stable_high_conf_fraction,0.6257692307692307
WBCIC,rescue_precision,0.031407035175879394
WBCIC,harm_precision,0.028894472361809045
WBCIC,unsafe_intervention_rate,0.028894472361809045
WBCIC,nonkeep_mass,0.037197547087436465
WBCIC,stable_high_conf_fraction,0.47096852890949015
