dataset,eta,lambda_safe,kappa,mean_BA,delta_vs_STRONGEST_KEEP,bootstrap_CI95_L,bootstrap_CI95_U,median_subject_delta_BA,positive_subject_fraction,nonnegative_subject_fraction,positive_fold_fraction,unsafe_intervention_rate,rescue_precision,action_rate,nonkeep_mass,stable_fraction,mean_mu_amp,mean_mu_geo,OUTER_TEST_USED,search_stage,delta_vs_OLD_I003,minimum_delta
OpenBMI,0.5,0.5,0.0,0.8565384615384615,-0.0019230769230769162,-0.008086538461538468,0.0038461538461538325,0.0,0.23076923076923078,0.6153846153846154,0.4,0.030800821355236138,0.02053388090349076,0.18730769230769231,0.06472403198693706,0.6257692307692307,-0.034322534610714335,-0.011876329976277283,False,pilot_one_head,0.04192307692307695,-0.0019230769230769162
OpenBMI,0.5,0.5,0.5,0.8592307692307692,0.0007692307692307529,-0.0042307692307692515,0.005769230769230749,0.0,0.46153846153846156,0.6923076923076923,0.6,0.02910958904109589,0.030821917808219176,0.2246153846153846,0.08474979675920845,0.6257692307692307,-0.0003470888232382444,-0.034154635272884315,False,pilot_one_head,0.04461538461538472,0.0007692307692307529
OpenBMI,0.5,1.0,0.0,0.8573076923076923,-0.001153846153846172,-0.006153846153846168,0.0034615384615384473,0.0,0.38461538461538464,0.5384615384615384,0.6,0.0358814352574103,0.029641185647425898,0.24653846153846154,0.09136815070011102,0.6257692307692307,-0.015185906328260898,0.029268460649137313,False,pilot_one_head,0.04269230769230781,-0.001153846153846172
OpenBMI,0.5,1.0,0.5,0.8573076923076924,-0.0011538461538461377,-0.004230769230769209,0.0019230769230769247,0.0,0.38461538461538464,0.5384615384615384,0.2,0.03165735567970205,0.0260707635009311,0.20653846153846153,0.08099945927180832,0.6257692307692307,0.021607352813992363,0.00576844084649705,False,pilot_one_head,0.04269230769230792,-0.0011538461538461377
OpenBMI,1.0,0.5,0.0,0.8580769230769232,-0.00038461538461538494,-0.0050000000000000305,0.0038461538461538494,0.0,0.46153846153846156,0.6923076923076923,0.6,0.03125,0.029296875,0.19692307692307692,0.05603381945442996,0.6257692307692307,-0.04938408457906917,-0.0533031129048994,False,pilot_one_head,0.04346153846153866,-0.00038461538461538494
OpenBMI,1.0,0.5,0.5,0.8561538461538463,-0.0023076923076923096,-0.006923076923076887,0.0015384615384615653,0.0,0.3076923076923077,0.5384615384615384,0.4,0.04024144869215292,0.026156941649899398,0.19115384615384615,0.05360818335975754,0.6257692307692307,-0.03526686712168157,-0.026659969013148488,False,pilot_one_head,0.041538461538461746,-0.0023076923076923096
OpenBMI,1.0,1.0,0.0,0.856153846153846,-0.002307692307692327,-0.00730769230769234,0.0023076923076922754,0.0,0.38461538461538464,0.5384615384615384,0.6,0.03255813953488372,0.023255813953488372,0.24807692307692308,0.0664458182515574,0.6257692307692307,-0.006647490968260591,0.039865691369005404,False,pilot_one_head,0.041538461538461524,-0.002307692307692327
OpenBMI,1.0,1.0,0.5,0.8576923076923079,-0.0007692307692307699,-0.0050000000000000305,0.0030769230769230713,0.0,0.38461538461538464,0.6923076923076923,0.4,0.032948929159802305,0.029654036243822075,0.23346153846153847,0.07248733197565692,0.6257692307692307,0.002329479330398429,-0.005928375785453961,False,pilot_one_head,0.043076923076923346,-0.0007692307692307699
OpenBMI,2.0,0.5,0.0,0.8592307692307694,0.0007692307692307784,-0.0019230769230768907,0.003461538461538456,0.0,0.38461538461538464,0.6923076923076923,0.6,0.023255813953488372,0.025044722719141325,0.215,0.04009624254311421,0.6257692307692307,0.030932865076555082,-0.029643681661512416,False,pilot_one_head,0.044615384615384834,0.0002426706085242842
OpenBMI,2.0,0.5,0.5,0.856923076923077,-0.0015384615384615142,-0.006538461538461502,0.0023076923076922927,0.0,0.3076923076923077,0.7692307692307693,0.4,0.02877697841726619,0.017985611510791366,0.21384615384615385,0.039582824218802604,0.6257692307692307,-0.02203014839010743,-0.00792825020563144,False,pilot_one_head,0.04230769230769249,-0.0017085489036708556
OpenBMI,2.0,1.0,0.0,0.8573076923076923,-0.0011538461538461635,-0.004615384615384619,0.0019230769230768991,0.0,0.3076923076923077,0.6923076923076923,0.6,0.024875621890547265,0.01824212271973466,0.23192307692307693,0.045843342052813214,0.6257692307692307,0.001273700582723205,0.024358551292859305,False,pilot_one_head,0.04269230769230781,-0.0011538461538461635
OpenBMI,2.0,1.0,0.5,0.8576923076923075,-0.000769230769230787,-0.006153846153846185,0.0042307692307692,0.0,0.38461538461538464,0.6923076923076923,0.4,0.031598513011152414,0.027881040892193308,0.20692307692307693,0.04684934867160826,0.6257692307692307,0.01199564406218437,-0.024809170759085997,False,pilot_one_head,0.04307692307692301,-0.000769230769230787
WBCIC,0.5,0.5,0.0,0.7660482877556049,-0.00024513426952450215,-0.0034195614683419457,0.0029268292682926964,0.0,0.3902439024390244,0.6097560975609756,0.4,0.03289473684210526,0.03390688259109312,0.24103439863381312,0.08608699099089585,0.47096852890949015,-0.07047709709232858,0.022998371951179326,False,pilot_one_head,0.0008561221975856848,-0.0019230769230769162
WBCIC,0.5,0.5,0.5,0.7676324217787632,0.0013389997536339038,-0.001958610495195848,0.004390243902439026,0.004999999999999893,0.5365853658536586,0.7073170731707317,0.6,0.0323949093713845,0.036251446201311224,0.3162966577213955,0.13118024359496425,0.47096852890949015,0.022326022899868913,0.0018996608182951485,False,pilot_one_head,0.0024402562207440637,0.0007692307692307529
