dataset,sample_id,subject,delta_amp,delta_geo
OpenBMI,106619,31,0.0165777345446797,0.21739008282416344
OpenBMI,106620,31,-0.1429041809841428,0.02639596986669096
OpenBMI,106621,31,-0.10187662635267719,0.09942728188483985
OpenBMI,106622,31,-0.10927941976971811,-0.16000115536434245
OpenBMI,106623,31,-0.1387759762345737,-0.008996233713118806
OpenBMI,106624,31,-0.029828017112765726,-0.12039497830790058
OpenBMI,106625,31,-0.021534200484182794,0.12025258644084272
OpenBMI,106626,31,-0.062346757330854444,0.05059743956017969
OpenBMI,106627,31,-0.022577578724919056,0.023301390160502256
OpenBMI,106628,31,0.07273778935604666,0.178892586934772
OpenBMI,106629,31,0.03319277070831941,0.10480301052345964
OpenBMI,106630,31,-0.02441276408436356,0.06114400365694854
OpenBMI,106631,31,-0.01638738671878001,0.13439841785908813
OpenBMI,106632,31,0.23869188542922004,0.2504971914056605
OpenBMI,106633,31,0.03615969242484374,0.04636496809165336
OpenBMI,106634,31,0.006122389152499963,0.10177342228121844
OpenBMI,106635,31,0.07150021085032779,0.21716098178286392
OpenBMI,106636,31,0.013077923126117483,0.24971358423123036
OpenBMI,106637,31,-0.020270407765355825,0.0874208457029163
OpenBMI,106638,31,-0.08729911563084769,-0.22704738476139186
OpenBMI,106639,31,-0.04825595402180549,0.055866340764924804
OpenBMI,106640,31,-0.0007590193169663695,0.1426743007763357
OpenBMI,106641,31,-0.06880851972223603,0.09682186192134612
OpenBMI,106642,31,-0.12480037306944497,0.08991801163458102
OpenBMI,106643,31,-0.06792184106978286,0.09714558183089339
OpenBMI,106644,31,-0.005773133396642219,0.15876299457193116
OpenBMI,106645,31,-0.11249744280202237,0.05651872163689664
OpenBMI,106646,31,0.040952393434899814,0.18568944498871892
OpenBMI,106647,31,-0.0448005336798728,0.21697145937841744
OpenBMI,106648,31,-0.07191631797883441,0.052584141567424136
OpenBMI,106649,31,-0.009978980326023512,0.03203252834446435
OpenBMI,106650,31,-0.0014439088052770332,0.1480869122011633
OpenBMI,106651,31,-0.010484757746995185,0.16843531574873266
OpenBMI,106652,31,-0.0661846923934437,0.05807115346122263
OpenBMI,106653,31,-0.022875946069871117,0.08074759669333002
OpenBMI,106654,31,-0.13024980854443885,0.020205527822868996
OpenBMI,106655,31,-0.08125213072573567,0.11231390122229751
OpenBMI,106656,31,-0.03755726552853454,0.09244897666848428
OpenBMI,106657,31,-0.08438454305749249,0.09849935334569948
OpenBMI,106658,31,-0.04667950757189315,0.13942692990156236
OpenBMI,106659,31,-0.010339138080496822,0.18820655223547714
OpenBMI,106660,31,0.22987991954915188,0.14992095073045797
OpenBMI,106661,31,-0.09628448224955188,0.086378633923991
OpenBMI,106662,31,-0.02167139701494114,0.10172786941015272
OpenBMI,106663,31,-0.021125178191218397,0.17204646858213252
OpenBMI,106664,31,-0.12365167667833951,0.032431200101135704
OpenBMI,106665,31,-0.015044784236321851,0.1403974396002518
OpenBMI,106666,31,0.07307961468541453,0.19309716528015686
OpenBMI,106667,31,-0.05525877619746243,0.0912528652728972
OpenBMI,106668,31,-0.1078358534515913,0.14485268624219527
OpenBMI,106669,31,-0.09236741182476763,0.14675819665826192
OpenBMI,106670,31,-0.08697037558769216,0.017894445676073678
OpenBMI,106671,31,-0.1175839722568755,0.07414222978560825
OpenBMI,106672,31,-0.11894383994400086,0.04677441672444632
OpenBMI,106673,31,-0.11390611982931037,0.11564248148164735
OpenBMI,106674,31,-0.09701491898197911,0.08337600931830819
OpenBMI,106675,31,0.28799098003491186,-0.3902842593725293
OpenBMI,106676,31,-0.09358523911796367,0.07752849240655399
OpenBMI,106677,31,0.03836590076347014,0.16517633628961792
