stage,c_rank,draw,final_subset,final_subset_sha256,mapping_sha256,outer_error_association_subjects,outer_subject_error_association,p_rank,train_concentration_ratio,train_max_interaction,train_top10,train_top10_mass
classifier_input,16,0,"[1, 2, 4, 9, 12, 15, 16, 18]",ce3561b59745fe001d4af536c6c8fe5f0a2332fb25e359f33b6622fc6b0845e0,1881b5f95d824e3bdbea7ba9b972bf79301133e9aa9d076b19da1e4b52197ae3,6,-2.7373978698600846e-08,8,0.08386685170177646,2.0952232659965375e-07,"[[5, 0], [4, 0], [4, 1], [2, 0], [3, 0], [6, 0], [5, 1], [5, 2], [1, 0], [4, 2]]",2.012292682707084e-06
classifier_input,16,1,"[1, 3, 4, 5, 6, 9, 17, 19]",c2015e19fc9589897de5be49724664d9ce051815c9c8a676e417fae05246a300,03314c447c0dff1a988103f9684cc962dc08beaf813a588397beb0c6033b5a89,6,-2.440432448717426e-08,8,0.0836648908554656,2.0876441908512788e-07,"[[7, 1], [7, 0], [7, 2], [6, 1], [3, 1], [4, 1], [2, 1], [1, 1], [6, 0], [5, 0]]",2.0097794930507007e-06
classifier_input,16,2,"[0, 2, 4, 7, 14, 15, 18, 19]",a95e9b433e9a59169a4d4cc3956f4b86a49d80d5192868a593ade55da8a3d586,13a76539e5c11cb84b7eb10bf040bd78eaa5849db4659561fd4b6cec17d9c98f,6,-3.5062206353112894e-08,8,0.08393460114294528,2.104408025616067e-07,"[[5, 2], [7, 1], [5, 0], [5, 1], [7, 0], [0, 1], [4, 0], [3, 1], [4, 1], [6, 0]]",2.029996863939232e-06
classifier_input,16,3,"[1, 4, 5, 6, 11, 14, 16, 17]",529dcfd6405e067b166aad54cb3e708aadfc374c7495dfc283e266738844390e,7513fe41fb4fd907210d888816929a99e4e6ba44d1d6c84b5bbad3a4b22f6414,6,-3.0776043787502275e-08,8,0.08415232518942727,2.125272828834568e-07,"[[4, 0], [4, 2], [4, 1], [5, 0], [3, 0], [6, 0], [6, 1], [4, 14], [4, 11], [4, 7]]",2.0416166393033564e-06
classifier_input,16,4,"[3, 5, 6, 9, 10, 12, 15, 17]",872d5f8bc92271745744aab5adad0892b8e055488be90f22aa615c594d549ca2,5c7f6cc5257424324030d7bdf47bda59fa6e7352b084b22968d687d4ee29f8bd,6,-2.849043951869135e-08,8,0.08297897441806777,2.061641026784855e-07,"[[5, 1], [5, 0], [6, 0], [6, 1], [4, 0], [1, 0], [4, 1], [6, 2], [7, 0], [5, 5]]",2.010920297834673e-06
classifier_input,16,5,"[0, 1, 3, 8, 9, 11, 17, 18]",4fe0d79ef207b9dc6244d58cc9b589414480d38a00b8d17f90deea6a471df667,760af5310ee033176b87c7ede2f9a3d3b6e587efa3ce1090d406f9e1f2c62f22,6,-3.977296586891536e-08,8,0.08419586407836459,2.1390867743775743e-07,"[[5, 0], [5, 1], [5, 2], [0, 1], [1, 1], [7, 1], [4, 0], [5, 9], [0, 0], [6, 1]]",2.014137919559289e-06
classifier_input,16,6,"[0, 2, 5, 6, 7, 11, 13, 14]",50ed517032e359281a547cef5063848f0484006b75d48bc664808586afe37bcc,26019c32d4e4c61c94e29581bc778da3c893206836d7a8d0e2d274a3d243fba5,6,-2.6451570770783894e-08,8,0.08397831971933911,2.1054178489521291e-07,"[[5, 1], [5, 0], [6, 0], [5, 2], [7, 0], [6, 1], [6, 2], [5, 7], [0, 0], [4, 0]]",2.035948980960711e-06
classifier_input,16,7,"[1, 3, 6, 7, 8, 13, 14, 16]",08f0e38f40dfa89e74edb6d9fb3effe1de53515b27bc1c6ff6ca7b4d7394c6c9,a9a80ccb843f75a7e3169e5a23ada085fe8e83b5500252d7f8b633e5d089e8ee,6,-2.7337110234763414e-08,8,0.08373509723731161,2.1392999371983024e-07,"[[5, 0], [5, 2], [6, 1], [3, 0], [6, 0], [5, 1], [7, 0], [7, 1], [2, 0], [2, 1]]",2.0250785439657193e-06
classifier_input,16,8,"[1, 5, 6, 7, 8, 13, 17, 18]",07419f6367739988af863aecd4bf3060c0ad8b24f469c7ef8f11978309667e5d,1615f22f5d3ded97cdbd0caaedde5809dab7305e7c78183d21c9853938073fbe,6,-3.9866867229676474e-08,8,0.08340997996686017,2.1023227247951581e-07,"[[5, 0], [5, 2], [5, 1], [6, 0], [3, 2], [7, 1], [4, 1], [1, 1], [3, 0], [2, 2]]",2.00908495173735e-06
classifier_input,16,9,"[2, 3, 8, 11, 16, 17, 18, 19]",c2a3bdc621682d538f6f4f68a4f36205b4fea9a921cd4ac8f4591343f2296f97,f841c5e3a0a57b311219e38c849e3cd48294c14da39926cd469f70ccfa69d48d,6,-4.1489657753857036e-08,8,0.0842878125082638,2.1212107981227746e-07,"[[3, 0], [3, 1], [7, 0], [3, 2], [3, 11], [7, 1], [4, 0], [3, 8], [3, 14], [6, 0]]",2.0233976272265863e-06
classifier_input,16,10,"[1, 7, 8, 9, 14, 15, 16, 18]",bd7941c8452ffc7ca7cc5ca8c3f9c2e0e5cf0c8da011d96b66b21b8a0b55b5f1,bddc031b8f3702232cf05f3c8e0312e6e0693b7758f1fdf4ef3053df0ec3c5b0,6,-2.600502071459232e-08,8,0.08384403027922507,2.0836357350617618e-07,"[[5, 0], [4, 1], [5, 1], [4, 0], [6, 1], [7, 1], [6, 0], [3, 1], [1, 1], [5, 2]]",2.0097234738614134e-06
classifier_input,16,11,"[0, 1, 3, 5, 9, 10, 11, 13]",14dcf8d27b94f7c71e0ac669bfd85126798611fbe7fcbca1da2acfaca6632fa0,3a660bcd5da98ce16b009ce83bb42ffda33241087d1bf9bf15f8475bae229ec0,6,-3.554298748653651e-08,8,0.0845722316132279,2.152053184545366e-07,"[[6, 0], [6, 1], [6, 2], [7, 0], [3, 0], [0, 0], [7, 1], [5, 0], [4, 1], [6, 14]]",2.049781514301685e-06
classifier_input,16,12,"[1, 7, 9, 10, 12, 14, 15, 16]",b10fb652cc3f6c84687ae136e5a64b7599dc7fb615f3cc0823e5c1466481bc50,1a4e9ddd9123d71ffd05606c092e7a2372e45e0e7ae963ee6414ed4abb608da3,6,-2.3634056312005215e-08,8,0.08357907043684427,2.0582398008173186e-07,"[[4, 1], [6, 0], [4, 0], [1, 0], [2, 1], [7, 1], [5, 1], [6, 1], [0, 0], [4, 6]]",2.0204525270628437e-06
classifier_input,16,13,"[0, 2, 4, 11, 13, 14, 15, 19]",026d6df9f359e684792d25e12eaf91740fa6eefa1c347cfc87acca1204657e52,8d6e52d2fd0bebfa5b7d917e476ffc903156c59c44a227a0db20d659204804fc,6,-3.171602690107041e-08,8,0.0835722631067369,2.0936884936872957e-07,"[[3, 0], [6, 0], [4, 0], [7, 0], [4, 1], [3, 1], [3, 2], [3, 10], [7, 1], [0, 0]]",2.0321270852718953e-06
classifier_input,16,14,"[0, 2, 3, 5, 8, 13, 17, 19]",acc21dcb2a8e895172d1f57ecd87ace97bd7123758beed5d87cd58bcb23cfbba,5f51150c2aaf987d6b2d09f1070c095eb7c1273edacb0bf617b9feb11b46ce88,6,-2.998199660394126e-08,8,0.0846937362228436,2.1131995708856266e-07,"[[5, 1], [7, 1], [5, 0], [5, 2], [6, 1], [7, 0], [2, 0], [0, 1], [3, 1], [3, 0]]",2.0386159178542584e-06
classifier_input,16,15,"[1, 4, 5, 9, 14, 17, 18, 19]",86b1697a71ee96bbc8e1386fb88e9e58465ad9eba2aaf43b4f7097c76a1ff5ec,3fc1033b5cd441e2dcaae311e6892e74eb5f7668576ceb8d4a0b9e367c3d7896,6,-2.1139895345356762e-08,8,0.08382247752632796,2.080606265053575e-07,"[[7, 0], [7, 1], [7, 2], [4, 0], [5, 2], [5, 0], [4, 1], [6, 0], [2, 0], [2, 2]]",2.017388183617186e-06
classifier_input,16,16,"[1, 2, 4, 6, 7, 8, 11, 14]",c8e9cb3607135eb220a5b90ed3dc4f8b3190ffebfcbdfaca660ba90108e1756c,6c3cf8a8bd56439e5c12e41e3c824b99842a9c8c97aa8a01c075ced52646de78,6,-3.201473054067113e-08,8,0.08402829042660397,2.1153458362732636e-07,"[[6, 1], [6, 0], [6, 2], [4, 1], [6, 13], [7, 0], [3, 0], [3, 1], [6, 14], [6, 15]]",2.0242764833255933e-06
classifier_input,16,17,"[0, 9, 10, 11, 13, 15, 16, 19]",d51e0240a59568fd27f1c673374865ea621e7efaae7fd6a69443c4748f46e5a2,490f092c825905c74f6309417c66acb41c175573750033e5e8ce2a681141a04a,6,-2.339598310641122e-08,8,0.08395578403324762,2.1060616006707278e-07,"[[7, 0], [4, 0], [5, 0], [3, 0], [4, 2], [3, 1], [3, 2], [5, 2], [3, 14], [0, 0]]",2.046898202934244e-06
classifier_input,16,18,"[5, 8, 9, 12, 14, 15, 16, 19]",3f4491f63c27e6fc0ab111c1eda9b0e7414d4117dd0a78e34aa1db60feea1039,7e28d9aafa31a755cda02edaca0a22c24957bac0cd5eb8c998109b4de68e0b68,6,-3.345217418626589e-08,8,0.08345034459870408,2.065369955062124e-07,"[[3, 0], [7, 0], [5, 0], [7, 1], [5, 1], [4, 0], [3, 1], [6, 0], [0, 0], [5, 4]]",2.0249771495173263e-06
classifier_input,16,19,"[0, 1, 2, 7, 8, 11, 17, 19]",f0729a3eeab180bd546d65ad992cbe492e99a9c6ace85b70362b8697a0c1b4a4,e5942492706bbb263b12c0b7ae1f27cfb7bef331215d74a09e17f20066636a4f,6,-2.440657262958723e-08,8,0.08480294344741512,2.1183144838232693e-07,"[[5, 0], [5, 2], [7, 0], [5, 1], [6, 1], [5, 3], [3, 0], [6, 0], [7, 1], [5, 11]]",2.0259812885115025e-06
