fold,LiteBN_BA,model_BA,delta_BA_pp
0,0.8262499999999999,0.815,-1.1249999999999996
1,0.8325,0.78375,-4.875000000000002
2,0.7275,0.7225,-0.5000000000000019
3,0.7875,0.77,-1.7499999999999987
4,0.78375,0.7474999999999999,-3.624999999999999
