task,fold,architecture,population,subject_id,trials,LiteBN_BA,model_BA,delta_BA_pp,LiteBN_macro_F1,model_macro_F1,delta_macro_F1_pp,LiteBN_accuracy,model_accuracy,delta_accuracy_pp
OpenBMI_MI,0,HE96,outer,15,100,0.87,0.87,0.0,0.8698828946051447,0.8693598633303186,-0.052303127482611345,0.87,0.87,0.0
OpenBMI_MI,0,HE96,outer,38,100,0.77,0.72,-5.000000000000004,0.757153415690001,0.7028862478777589,-5.426716781224217,0.77,0.72,-5.000000000000004
OpenBMI_MI,0,HE96,outer,6,100,0.9099999999999999,0.95,4.0000000000000036,0.9099189270343309,0.9499549594635172,4.003603242918629,0.91,0.95,3.9999999999999925
OpenBMI_MI,0,HE96,outer,33,100,0.88,0.87,-1.0000000000000009,0.8799519807923168,0.8698828946051447,-1.0069086187172172,0.88,0.87,-1.0000000000000009
OpenBMI_MI,0,HE96,outer,32,100,0.7,0.66,-3.9999999999999925,0.6998799519807923,0.6598639455782312,-4.001600640256109,0.7,0.66,-3.9999999999999925
OpenBMI_MI,0,HE96,outer,3,100,0.87,0.89,2.0000000000000018,0.8699869986998701,0.8899889988998899,2.0002000200019854,0.87,0.89,2.0000000000000018
OpenBMI_MI,0,HE96,outer,5,100,0.75,0.72,-3.0000000000000027,0.7469379491851402,0.7144022847817217,-3.2535664403418485,0.75,0.72,-3.0000000000000027
OpenBMI_MI,0,HE96,outer,47,100,0.86,0.84,-2.0000000000000018,0.8579545454545454,0.8383838383838383,-1.9570707070707072,0.86,0.84,-2.0000000000000018
OpenBMI_MI,0,HE96,heldout,4,100,0.8,0.8200000000000001,2.0000000000000018,0.797077922077922,0.8199279711884754,2.2850049110553328,0.8,0.82,1.9999999999999907
OpenBMI_MI,0,HE96,heldout,12,100,0.7,0.6799999999999999,-2.0000000000000018,0.6875,0.6567996567996568,-3.0700343200343205,0.7,0.68,-1.9999999999999907
OpenBMI_MI,0,HE96,heldout,13,100,0.6799999999999999,0.59,-8.999999999999996,0.6794871794871795,0.5805626598465473,-9.89245196406322,0.68,0.59,-9.000000000000007
OpenBMI_MI,0,HE96,heldout,17,100,0.65,0.5800000000000001,-6.999999999999995,0.6457131288591963,0.5772946859903382,-6.841844286885812,0.65,0.58,-7.000000000000006
OpenBMI_MI,0,HE96,heldout,18,100,0.6399999999999999,0.71,7.000000000000006,0.6386993175431553,0.7097387648883995,7.103944734524415,0.64,0.71,6.999999999999995
OpenBMI_MI,0,HE96,heldout,24,100,0.55,0.6,4.999999999999993,0.5248653785239151,0.5404411764705883,1.5575797946673187,0.55,0.6,4.999999999999993
OpenBMI_MI,0,HE96,heldout,25,100,0.96,0.96,0.0,0.9599358974358975,0.9599358974358975,0.0,0.96,0.96,0.0
OpenBMI_MI,0,HE96,heldout,29,100,0.65,0.71,5.999999999999995,0.64996499649965,0.7099709970997099,6.00060006000599,0.65,0.71,5.999999999999995
OpenBMI_MI,0,HE96,heldout,36,100,0.9099999999999999,0.9199999999999999,1.0000000000000009,0.9097744360902256,0.9198717948717949,1.0097358781569366,0.91,0.92,1.0000000000000009
OpenBMI_MI,0,HE96,heldout,37,100,0.72,0.74,2.0000000000000018,0.7126436781609196,0.7312939231087227,1.8650244947803096,0.72,0.74,2.0000000000000018
OpenBMI_MI,0,HE96,heldout,39,100,0.76,0.79,3.0000000000000027,0.7596153846153846,0.78997899789979,3.03636132844054,0.76,0.79,3.0000000000000027
OpenBMI_MI,0,HE96,heldout,42,100,0.69,0.72,3.0000000000000027,0.6892230576441103,0.7144022847817217,2.517922713761145,0.69,0.72,3.0000000000000027
