task,fold,LiteBN_parameters,HE96_parameters,increase
OpenBMI_MI,0,47978,52618,4640
OpenBMI_MI,1,47978,52618,4640
OpenBMI_MI,2,47978,52618,4640
OpenBMI_MI,3,47978,52618,4640
OpenBMI_MI,4,47978,52618,4640
