benchmark,method_id,subjects,mean_subject_BA,accuracy,macro_f1,NLL,Brier,ECE,exploratory,target_future_labels_used_for_fit,OUTER_TEST_USED,reference_method_id,Delta_BA,CI95_L,CI95_U,median_subject_delta,positive_subject_fraction,nonnegative_subject_fraction,worst_subject_delta,positive_fold_fraction,positive_folds,source_table
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,54,0.820185185185185,0.8201851851851852,0.8164522811290182,0.4371944550151476,0.1310673288071236,0.0531586673416235,True,False,False,B_HISTORY_FUSION_LDA,0.0538888888888888,0.0287037037037036,0.0799999999999999,0.05,0.7037037037037037,0.7592592592592593,-0.16,1.0,5.0,OPENBMI_MI_SELECTIVE_HEAD.csv
OpenBMI_MI_S1_to_S2,PERSIST_SA_FISHER_PROTECTED,54,0.760925925925926,0.7609259259259259,0.7448269279108828,0.4953057213552915,0.1620649552521499,0.0375841722062883,True,False,False,B_HISTORY_FUSION_LDA,-0.0053703703703703,-0.0177777777777777,0.0068518518518518,-0.01,0.3703703703703703,0.4444444444444444,-0.12,0.4,2.0,OPENBMI_ENCODER_FINETUNING.csv
OpenBMI_MI_S1_to_S2,PERSIST_SA_PROTECTED_BILINEAR,54,0.7562962962962961,0.7562962962962962,0.7410539121304356,0.5352719271647423,0.1741809708677265,0.0882480804968468,True,False,False,B_HISTORY_FUSION_LDA,-0.01,-0.0218518518518518,0.0016666666666666,-0.01,0.3148148148148148,0.4444444444444444,-0.15,0.2,1.0,OPENBMI_CONDITIONAL_ADAPTER.csv
WBCIC_S1S2_to_S3_authorized_development,V6_V5_UNCERTAINTY_GATE_010,41,0.8202186499137718,0.8201342281879195,0.8192140096147225,0.3700803144845462,0.1216332028153358,0.021792457833216,True,False,False,V5_CS_LGS_ANCHOR,0.0024365607292436,-0.0032951465878295,0.0080463168268046,0.0,0.4634146341463415,0.5609756097560976,-0.045,0.6,3.0,WBCIC_FIXED_PERSIST_FUSION.csv
WBCIC_S1S2_to_S3_authorized_development,V6_FIXED_EQUAL_LOGIT_V5_PERSIST,41,0.8194857107661984,0.8194020744356315,0.8184561906783437,0.3575658864489121,0.1184630195712383,0.011464026385691,True,False,False,V5_CS_LGS_ANCHOR,0.0017036215816703,-0.0047560975609755,0.008170731707317,0.0049999999999998,0.5121951219512195,0.5609756097560976,-0.035,0.6,3.0,WBCIC_FIXED_PERSIST_FUSION.csv
WBCIC_S1S2_to_S3_authorized_development,CONTROL_FIXED_EQUAL_PROB_V5_PERSIST,41,0.8194857107661984,0.8194020744356315,0.8184561906783437,0.3598563809078812,0.1188787314585419,0.015358771680479,True,False,False,V5_CS_LGS_ANCHOR,0.0017036215816703,-0.0046378418329637,0.0082926829268292,0.0049999999999998,0.5121951219512195,0.5609756097560976,-0.035,0.6,3.0,WBCIC_FIXED_PERSIST_FUSION.csv
WBCIC_S1S2_to_S3_authorized_development,CONTROL_MAX_CONFIDENCE_V5_PERSIST,41,0.8194857107661984,0.8194020744356315,0.8184561906783437,0.3766953335759405,0.1237139251674312,0.0456268817393428,True,False,False,V5_CS_LGS_ANCHOR,0.0017036215816703,-0.0046341463414634,0.0082890798226164,0.0049999999999998,0.5121951219512195,0.5609756097560976,-0.035,0.6,3.0,WBCIC_FIXED_PERSIST_FUSION.csv
WBCIC_S1S2_to_S3_authorized_development,V5_FIXED_BLEND__PERSIST_LARGE_MI_SELECTIVE_HISTORY_HEAD,41,0.8178863328406012,0.8178157413056741,0.8160960829765951,0.3693579368560576,0.1204971065558916,0.0183376961443724,True,False,False,V5_CS_LGS_ANCHOR,0.0001042436560729,-0.006115268539049,0.0067073170731707,0.0,0.3902439024390244,0.5365853658536586,-0.035,0.8,4.0,WBCIC_LARGE_SELECTIVE_HEAD.csv
WBCIC_S1S2_to_S3_authorized_development,V5_UNCERTAINTY_GATE_010__PERSIST_LARGE_MI_SELECTIVE_HISTORY_HEAD,41,0.8161942596698695,0.8161073825503355,0.814737654449228,0.3696477701974497,0.1216726354216406,0.0224105004441161,True,False,False,V5_CS_LGS_ANCHOR,-0.0015878295146587,-0.0087829514658783,0.0054878048780487,0.0,0.4390243902439024,0.6585365853658537,-0.065,0.4,2.0,WBCIC_LARGE_SELECTIVE_HEAD.csv
WBCIC_S1S2_to_S3_authorized_development,PERSIST_SA_FISHER_PROTECTED,41,0.7992418083271742,0.7991458206223306,0.7940453387242732,0.3925281811000346,0.13068187809222,0.0252176544343219,True,False,False,B_HISTORY_FUSION_LDA,0.0020807156935205,-0.0202363574772111,0.0165853658536585,0.015,0.6829268292682927,0.7560975609756098,-0.3550000000000001,0.8,4.0,WBCIC_ENCODER_FINETUNING.csv
