benchmark,method_id,subjects,mean_subject_BA,accuracy,macro_f1,NLL,Brier,ECE,exploratory,target_future_labels_used_for_fit,OUTER_TEST_USED,reference_method_id,Delta_BA,CI95_L,CI95_U,median_subject_delta,positive_subject_fraction,nonnegative_subject_fraction,worst_subject_delta,positive_fold_fraction,positive_folds,source_table
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,54,0.820185185185185,0.8201851851851852,0.8164522811290182,0.4371944550151476,0.1310673288071236,0.0531586673416235,True,False,False,B_HISTORY_FUSION_LDA,0.0538888888888888,0.0287037037037036,0.0799999999999999,0.05,0.7037037037037037,0.7592592592592593,-0.16,1.0,5.0,OPENBMI_MI_SELECTIVE_HEAD.csv
OpenBMI_MI_S1_to_S2,MI_GENERIC_HISTORY_HEAD,54,0.8188888888888888,0.8188888888888889,0.815919722526102,0.4278735408775238,0.1315001075237002,0.0437329134883792,True,False,False,B_HISTORY_FUSION_LDA,0.0525925925925925,0.0272222222222222,0.0787037037037036,0.05,0.6851851851851852,0.7407407407407407,-0.1400000000000001,1.0,5.0,OPENBMI_MI_SELECTIVE_HEAD.csv
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,54,0.764814814814815,0.7648148148148148,0.7535084949738928,0.5092569406039404,0.1656751387272964,0.0629166532503007,True,False,False,B_HISTORY_FUSION_LDA,-0.0014814814814814,-0.0116666666666666,0.0085185185185185,-0.005,0.4074074074074074,0.4814814814814814,-0.0999999999999998,0.4,2.0,OPENBMI_CONDITIONAL_ADAPTER.csv
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,54,0.7618518518518516,0.7618518518518519,0.7504800074727398,0.5085005943057833,0.1657332446857213,0.0618820156096744,True,False,False,B_HISTORY_FUSION_LDA,-0.0044444444444444,-0.0146296296296296,0.0057407407407407,-0.0099999999999998,0.3888888888888889,0.4629629629629629,-0.0899999999999998,0.4,2.0,OPENBMI_CONDITIONAL_ADAPTER.csv
OpenBMI_MI_S1_to_S2,FT_GENERIC_SELECTED,54,0.7605555555555557,0.7605555555555555,0.7435951248116112,0.499513256653456,0.163701947776964,0.0440552107640003,True,False,False,B_HISTORY_FUSION_LDA,-0.0057407407407407,-0.0199999999999999,0.009074074074074,-0.01,0.3518518518518518,0.4629629629629629,-0.13,0.4,2.0,OPENBMI_ENCODER_FINETUNING.csv
WBCIC_S1S2_to_S3_authorized_development,V5_FIXED_LOGIT_BLEND__A_FUTURE_SESSION_TARGET_ADAPTED,41,0.8208170115792067,0.8207443563148261,0.8196418957373787,0.3492746437845069,0.1154363290062031,0.0116611068290837,True,False,False,V5_CS_LGS_ANCHOR,0.0030349223946784,-0.0041740576496674,0.0112195121951219,0.0,0.4146341463414634,0.6341463414634146,-0.03,0.6,3.0,WBCIC_FUTURE_SESSION_POPULATION.csv
WBCIC_S1S2_to_S3_authorized_development,V5_FIXED_BLEND__WBCIC_LARGE_EEGNET_TARGET_ADAPTED,41,0.8205781904409952,0.8205003050640635,0.8195535368314086,0.3520156113417556,0.1165928433794724,0.011748442398675,True,False,False,V5_CS_LGS_ANCHOR,0.0027961012564671,-0.0044077974870657,0.0097560975609756,0.0,0.4878048780487805,0.5121951219512195,-0.075,0.6,3.0,WBCIC_LARGE_EEGNET.csv
WBCIC_S1S2_to_S3_authorized_development,V5_UNCERTAINTY_GATE_010__WBCIC_LARGE_EEGNET_TARGET_ADAPTED,41,0.8185113328406011,0.8184258694325809,0.8173349352314435,0.3702204628783383,0.1215722090198683,0.0253644399117033,True,False,False,V5_CS_LGS_ANCHOR,0.0007292436560729,-0.0062219758561221,0.0078048780487804,0.005,0.5121951219512195,0.6097560975609756,-0.04,0.4,2.0,WBCIC_LARGE_EEGNET.csv
WBCIC_S1S2_to_S3_authorized_development,V5_FIXED_BLEND__LARGE_MI_GENERIC_HISTORY_HEAD,41,0.8169107230845034,0.8168395363026235,0.8151185201935246,0.3693004989774542,0.1203759237417032,0.0186987869896435,True,False,False,V5_CS_LGS_ANCHOR,-0.0008713661000246,-0.0069866346390736,0.0055920485341217,0.0,0.3902439024390244,0.5609756097560976,-0.035,0.6,3.0,WBCIC_LARGE_SELECTIVE_HEAD.csv
WBCIC_S1S2_to_S3_authorized_development,V5_UNCERTAINTY_GATE_010__LARGE_MI_GENERIC_HISTORY_HEAD,41,0.8155845035723085,0.8154972544234289,0.814168281767355,0.3690390783598715,0.1216445721255258,0.022134529222913,True,False,False,V5_CS_LGS_ANCHOR,-0.0021975856122197,-0.0091463414634146,0.0046341463414633,0.0,0.4146341463414634,0.6585365853658537,-0.065,0.4,2.0,WBCIC_LARGE_SELECTIVE_HEAD.csv
WBCIC_S1S2_to_S3_authorized_development,FT_GENERIC_SELECTED,41,0.8064393939393939,0.8063453325198292,0.8049324559307425,0.3925748765008497,0.1306975038860676,0.0286533846181935,True,False,False,B_HISTORY_FUSION_LDA,0.0092783013057403,-0.0020731707317073,0.0189224562700172,0.015,0.7073170731707317,0.8048780487804879,-0.1450000000000001,0.8,4.0,WBCIC_ENCODER_FINETUNING.csv
WBCIC_S1S2_to_S3_authorized_development,A_FUTURE_SESSION_TARGET_ADAPTED,41,0.802285507514166,0.802196461256864,0.7974752280130164,0.3769385811689061,0.12552091013309,0.0253248835954394,True,False,False,V5_CS_LGS_ANCHOR,-0.0154965816703621,-0.0406273096821877,0.0030400036954914,-0.005,0.4146341463414634,0.4390243902439024,-0.41,0.6,3.0,WBCIC_FUTURE_SESSION_POPULATION.csv
WBCIC_S1S2_to_S3_authorized_development,WBCIC_LARGE_EEGNET_TARGET_ADAPTED,41,0.794225332594235,0.7941427699816962,0.789849088803617,0.3908148474381693,0.1300258076555799,0.0325815239362237,True,False,False,V5_CS_LGS_ANCHOR,-0.0235567565902931,-0.0489644886363636,-0.0035764235341217,-0.0099999999999998,0.3658536585365853,0.4146341463414634,-0.395,0.0,0.0,WBCIC_LARGE_EEGNET.csv
WBCIC_S1S2_to_S3_authorized_development,A_GENERIC_AFFINE,41,0.7935013242177877,0.7934106162294082,0.7922692340288318,0.4110038018493867,0.1342518778577651,0.0276120291077076,True,False,False,B_HISTORY_FUSION_LDA,-0.003659768415866,-0.0090280857354028,0.0017073170731707,-0.005,0.3658536585365853,0.4878048780487805,-0.05,0.2,1.0,WBCIC_CONDITIONAL_ADAPTER.csv
WBCIC_S1S2_to_S3_authorized_development,A_GENERIC_BILINEAR,41,0.7847208364129095,0.7846247712019524,0.7828322718030974,0.449566759329158,0.1421762393276209,0.0210401978384306,True,False,False,B_HISTORY_FUSION_LDA,-0.012440256220744,-0.0246366100024636,-0.001465847499384,-0.005,0.3414634146341463,0.4390243902439024,-0.155,0.2,1.0,WBCIC_CONDITIONAL_ADAPTER.csv
WBCIC_S1S2_to_S3_authorized_development,LARGE_MI_GENERIC_HISTORY_HEAD,41,0.782394832471052,0.7823062843197072,0.7798334477779468,0.4268067932417733,0.1391056306560497,0.0189872153999568,True,False,False,V5_CS_LGS_ANCHOR,-0.0353872567134762,-0.0519726225671347,-0.0196341463414634,-0.025,0.2439024390243902,0.3170731707317073,-0.16,0.0,0.0,WBCIC_LARGE_SELECTIVE_HEAD.csv
