task,model,fold,seed,active_rank,protected_rank,protected_fraction,selected_blocks,protected_coverage,protected_only_WSBA,complement_retained_WSBA,intact_probe_WSBA,full_model_WSBA,PEEH_pp,PSWA_pp,random_only_WSBA,random_complement_WSBA
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,20,8,0.4,2,1,0.6692857142857144,0.5478571428571428,0.6928571428571428,0.6957142857142856,9.080714285714281,7.899999999999998,0.5902857142857142,0.6275000000000001
OpenBMI_MI,B1_SAME_SCALE_63,0,0,20,2,0.1,1,1,0.6214285714285713,0.6121428571428573,0.68,0.6900000000000001,5.929285714285712,9.515714285714283,0.5262714285714285,0.6697642857142857
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,20,8,0.4,2,1,0.707857142857143,0.5471428571428572,0.7207142857142858,0.725,12.951428571428567,8.250714285714283,0.62535,0.6535000000000001
OpenBMI_MI,B1_SAME_SCALE_63,1,0,20,8,0.4,2,1,0.6757142857142856,0.5342857142857144,0.6978571428571428,0.6892857142857142,11.639285714285714,7.602857142857141,0.5996857142857143,0.6402857142857143
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,20,8,0.4,2,1,0.7107142857142857,0.5164285714285715,0.715,0.7164285714285714,12.585714285714285,9.618571428571427,0.6145285714285713,0.6445571428571429
OpenBMI_MI,B1_SAME_SCALE_63,2,0,20,8,0.4,2,1,0.6421428571428571,0.5571428571428572,0.6585714285714286,0.6507142857142858,5.878571428571428,6.383571428571424,0.5783071428571429,0.6170428571428571
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,20,8,0.4,2,1,0.6807142857142857,0.5392857142857143,0.6914285714285715,0.7000000000000001,10.823571428571428,7.109285714285712,0.6096214285714286,0.6365357142857143
OpenBMI_MI,B1_SAME_SCALE_63,3,0,20,4,0.2,1,1,0.6228571428571429,0.5407142857142857,0.6449999999999999,0.6449999999999998,8.245714285714284,8.935714285714287,0.5335,0.6152357142857142
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,4,0,20,4,0.2,1,1,0.6699999999999999,0.6042857142857142,0.7014285714285714,0.7000000000000001,6.450714285714281,11.41285714285714,0.5558714285714287,0.6767642857142856
OpenBMI_MI,B1_SAME_SCALE_63,4,0,20,4,0.2,1,1,0.6528571428571429,0.6107142857142857,0.702857142857143,0.6985714285714285,5.5299999999999985,9.494285714285713,0.5579142857142857,0.6799642857142858
OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,20,5,0.25,2,1,0.6606492718924496,0.5345016788346079,0.7344369012834749,0.8107550949151919,16.70082251082251,11.888380272446373,0.5417654691679858,0.6751321527673863
OpenBMI_ERP,B1_SAME_SCALE_63,0,0,20,5,0.25,2,1,0.6036363505102135,0.6295017313392087,0.7486795224181517,0.820777540631998,7.101580086580079,7.0276441185658864,0.5333599093245546,0.6886261919200669
OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,20,5,0.25,2,1,0.6261252523502373,0.6158654464597461,0.7437875243818238,0.8147810820673161,9.221060606060613,8.688159556231113,0.539243656787926,0.677954643900672
OpenBMI_ERP,B1_SAME_SCALE_63,1,0,20,5,0.25,2,1,0.621254951840155,0.6202811883891325,0.7560168172236092,0.824478511179542,9.237402597402596,9.634832995991271,0.5249066218802422,0.7031189548171659
OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,20,4,0.2,1,1,0.548787813157128,0.6690473959030661,0.7460171322512134,0.8047823553038835,4.258722943722947,2.769416070083143,0.5210936524562965,0.707402787206729
OpenBMI_ERP,B1_SAME_SCALE_63,2,0,20,5,0.25,2,1,0.6273156497838122,0.621926196908004,0.7508655514689474,0.8141976509441641,9.76878787878787,9.901159892260557,0.5283040508612068,0.7050062431908097
OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,20,6,0.3,2,1,0.6215362189861888,0.6168611699600177,0.7485926404301179,0.8148678590461491,6.238831168831169,8.27908949146669,0.5387453240715219,0.6881197457989757
OpenBMI_ERP,B1_SAME_SCALE_63,3,0,20,5,0.25,2,1,0.6541120946972978,0.5677271283396206,0.7417744586119358,0.8134173275683282,15.421904761904768,12.185287147661313,0.5322592232206848,0.6872860062112941
OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,4,0,20,9,0.45,3,1,0.6403243865493712,0.5977920108999552,0.7430732649198386,0.822227586442262,3.7919047619047643,5.812917641283318,0.5821952101365382,0.648379563503002
OpenBMI_ERP,B1_SAME_SCALE_63,4,0,20,4,0.2,1,1,0.6050211856063887,0.6221207789582562,0.7421641740107477,0.8137212373234205,7.086147186147185,8.655939779848206,0.5184617878079067,0.702789688490204
OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,20,4,0.2,1,1,0.7042857142857144,0.8014285714285714,0.9007142857142858,0.9035714285714286,4.058571428571427,17.41857142857143,0.5300999999999999,0.8483571428571428
OpenBMI_SSVEP,B1_SAME_SCALE_63,0,0,20,4,0.2,1,1,0.7649999999999999,0.7378571428571428,0.8942857142857142,0.892857142857143,9.190714285714288,23.683571428571423,0.5281642857142855,0.8505499999999999
OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,20,4,0.2,1,1,0.7657142857142857,0.7607142857142859,0.9014285714285714,0.8949999999999999,8.22571428571429,21.13,0.5544142857142857,0.8495285714285714
OpenBMI_SSVEP,B1_SAME_SCALE_63,1,0,20,8,0.4,2,1,0.8364285714285712,0.6414285714285715,0.8885714285714286,0.8878571428571428,14.49714285714286,13.238571428571424,0.7040428571428571,0.7842500000000001
OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,20,4,0.2,1,1,0.6592857142857144,0.8021428571428572,0.9,0.9014285714285715,3.887857142857141,12.097857142857142,0.5383071428571429,0.8488285714285714
OpenBMI_SSVEP,B1_SAME_SCALE_63,2,0,20,4,0.2,1,1,0.5785714285714286,0.8435714285714286,0.907857142857143,0.9114285714285716,0.4114285714285713,7.426428571428571,0.5043071428571428,0.8516285714285713
OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,20,8,0.4,2,1,0.8142857142857143,0.6728571428571428,0.905,0.8928571428571427,12.08285714285714,11.003571428571425,0.7042499999999999,0.8020142857142857
OpenBMI_SSVEP,B1_SAME_SCALE_63,3,0,20,4,0.2,1,1,0.7149999999999999,0.7457142857142857,0.8892857142857143,0.8835714285714287,7.405714285714289,18.39642857142857,0.5310357142857143,0.8420214285714286
OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,4,0,20,8,0.4,2,1,0.7999999999999999,0.6899999999999998,0.8992857142857144,0.892857142857143,10.884285714285715,8.648571428571433,0.7135142857142858,0.8062785714285715
OpenBMI_SSVEP,B1_SAME_SCALE_63,4,0,20,8,0.4,2,1,0.8221428571428573,0.71,0.8942857142857142,0.8892857142857142,8.543571428571427,9.857857142857146,0.7235642857142857,0.7982642857142858
