task,model,fold,seed,subject_id,active_rank,protected_rank,protected_only_WSBA,random_only_WSBA,PSWA_pp,PEEH_pp,complement_retained_WSBA,random_complement_WSBA,intact_probe_WSBA,full_model_WSBA
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,4,20,8,0.71,0.5768000000000001,13.319999999999988,0.15000000000000568,0.58,0.6496999999999999,0.72,0.73
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,12,20,8,0.61,0.5961,1.3900000000000023,4.569999999999985,0.6100000000000001,0.6476999999999999,0.72,0.7
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,13,20,8,0.6699999999999999,0.5847,8.529999999999994,13.88999999999998,0.51,0.6268,0.7,0.6799999999999999
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,17,20,8,0.6499999999999999,0.5604000000000001,8.95999999999998,11.580000000000002,0.48,0.5847,0.66,0.65
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,18,20,8,0.6000000000000001,0.5761,2.3900000000000143,6.959999999999999,0.54,0.6008,0.6399999999999999,0.6200000000000001
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,24,20,8,0.5900000000000001,0.5223,6.770000000000009,10.890000000000006,0.43,0.5296,0.5700000000000001,0.55
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,25,20,8,0.71,0.6595,5.049999999999999,20.13999999999999,0.5800000000000001,0.6773000000000002,0.73,0.74
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,29,20,8,0.58,0.5311,4.889999999999994,4.9399999999999995,0.43,0.5415000000000001,0.59,0.61
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,36,20,8,0.89,0.7437,14.629999999999999,11.360000000000003,0.76,0.8294000000000001,0.9099999999999999,0.91
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,37,20,8,0.61,0.5749,3.510000000000002,4.569999999999974,0.54,0.6109,0.6799999999999999,0.69
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,39,20,8,0.69,0.6213,6.869999999999998,6.559999999999988,0.6200000000000001,0.6650000000000001,0.75,0.76
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,42,20,8,0.6699999999999999,0.5984,7.159999999999989,5.970000000000009,0.5700000000000001,0.6192,0.6699999999999999,0.69
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,51,20,8,0.6699999999999999,0.5534,11.659999999999993,14.459999999999996,0.47,0.5912,0.6599999999999999,0.7
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,54,20,8,0.72,0.5653,15.469999999999995,11.09,0.55,0.6112,0.7,0.71
OpenBMI_MI,B1_SAME_SCALE_63,0,0,4,20,2,0.52,0.5362,-1.6199999999999992,-2.550000000000008,0.65,0.6624999999999999,0.6799999999999999,0.66
OpenBMI_MI,B1_SAME_SCALE_63,0,0,12,20,2,0.63,0.5399999999999999,9.000000000000007,0.41000000000001036,0.6799999999999999,0.7232999999999998,0.75,0.78
OpenBMI_MI,B1_SAME_SCALE_63,0,0,13,20,2,0.58,0.5155,6.45,4.209999999999992,0.61,0.6314,0.6399999999999999,0.65
OpenBMI_MI,B1_SAME_SCALE_63,0,0,17,20,2,0.66,0.4979,16.21,18.790000000000006,0.38,0.5677,0.5800000000000001,0.64
OpenBMI_MI,B1_SAME_SCALE_63,0,0,18,20,2,0.63,0.5197,11.029999999999996,1.090000000000002,0.5900000000000001,0.6572999999999999,0.66,0.6699999999999999
OpenBMI_MI,B1_SAME_SCALE_63,0,0,24,20,2,0.59,0.48940000000000006,10.059999999999992,5.4300000000000015,0.53,0.5864,0.6,0.64
OpenBMI_MI,B1_SAME_SCALE_63,0,0,25,20,2,0.7,0.5368999999999999,16.310000000000002,9.060000000000002,0.65,0.6941000000000003,0.7,0.69
OpenBMI_MI,B1_SAME_SCALE_63,0,0,29,20,2,0.56,0.48950000000000005,7.050000000000001,9.539999999999992,0.63,0.6813999999999999,0.69,0.6799999999999999
OpenBMI_MI,B1_SAME_SCALE_63,0,0,36,20,2,0.8200000000000001,0.6041000000000001,21.589999999999996,8.78,0.73,0.8540999999999999,0.85,0.86
OpenBMI_MI,B1_SAME_SCALE_63,0,0,37,20,2,0.71,0.5413,16.869999999999997,2.4399999999999977,0.62,0.6448,0.62,0.66
OpenBMI_MI,B1_SAME_SCALE_63,0,0,39,20,2,0.63,0.5455000000000001,8.44999999999999,4.329999999999989,0.69,0.7386,0.76,0.75
OpenBMI_MI,B1_SAME_SCALE_63,0,0,42,20,2,0.5700000000000001,0.5316,3.84000000000001,8.129999999999992,0.61,0.6888,0.72,0.72
OpenBMI_MI,B1_SAME_SCALE_63,0,0,51,20,2,0.6,0.5187,8.129999999999992,4.499999999999993,0.5900000000000001,0.6282,0.64,0.62
OpenBMI_MI,B1_SAME_SCALE_63,0,0,54,20,2,0.5,0.5015000000000001,-0.15000000000000568,8.850000000000001,0.6100000000000001,0.6181,0.63,0.64
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,4,20,8,0.69,0.5994999999999999,9.050000000000002,10.98,0.5800000000000001,0.6348,0.6699999999999999,0.63
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,12,20,8,0.73,0.6170000000000001,11.299999999999988,6.189999999999996,0.57,0.6645,0.76,0.76
