fold,subject,model,BA,macro_F1,accuracy,trials
0,4,B0,1.0,1.0,1.0,100
0,12,B0,0.98,0.9799959983993598,0.98,100
0,13,B0,0.8400000000000001,0.8396238590271892,0.84,100
0,17,B0,0.9199999999999999,0.9200715569246567,0.92,100
0,18,B0,1.0,1.0,1.0,100
0,24,B0,0.9099999999999999,0.9087725426921534,0.91,100
0,25,B0,0.94,0.9394040438160498,0.94,100
0,29,B0,0.96,0.9601137624861265,0.96,100
0,36,B0,1.0,1.0,1.0,100
0,37,B0,1.0,1.0,1.0,100
0,39,B0,0.99,0.9899959983993598,0.99,100
0,42,B0,0.6300000000000001,0.6313190620520388,0.63,100
0,51,B0,0.74,0.7451997614788314,0.74,100
0,54,B0,0.8999999999999999,0.900769746970355,0.9,100
0,4,TFFormer,1.0,1.0,1.0,100
0,12,TFFormer,0.98,0.9799959983993598,0.98,100
0,13,TFFormer,0.87,0.8692621279280943,0.87,100
0,17,TFFormer,0.9299999999999999,0.9297719087635055,0.93,100
0,18,TFFormer,1.0,1.0,1.0,100
0,24,TFFormer,0.9099999999999999,0.9087725426921534,0.91,100
0,25,TFFormer,0.95,0.9493925007372798,0.95,100
0,29,TFFormer,0.96,0.9601137624861265,0.96,100
0,36,TFFormer,1.0,1.0,1.0,100
0,37,TFFormer,1.0,1.0,1.0,100
0,39,TFFormer,0.99,0.9899959983993598,0.99,100
0,42,TFFormer,0.6100000000000001,0.6121891827684511,0.61,100
0,51,TFFormer,0.75,0.7541325146069283,0.75,100
0,54,TFFormer,0.8999999999999999,0.90015589569161,0.9,100
1,4,B0,1.0,1.0,1.0,100
1,12,B0,0.95,0.9497433588820143,0.95,100
1,13,B0,0.76,0.7583447137454107,0.76,100
1,17,B0,0.9199999999999999,0.9190548014077426,0.92,100
1,18,B0,1.0,1.0,1.0,100
1,24,B0,0.94,0.9401569858712716,0.94,100
1,25,B0,0.98,0.979779411764706,0.98,100
1,29,B0,0.96,0.9599679487179488,0.96,100
1,36,B0,1.0,1.0,1.0,100
1,37,B0,1.0,1.0,1.0,100
1,39,B0,1.0,1.0,1.0,100
1,42,B0,0.54,0.5415829010348757,0.54,100
1,51,B0,0.7,0.6818831699346405,0.7,100
1,54,B0,0.8799999999999999,0.8807979671559145,0.88,100
1,4,TFFormer,1.0,1.0,1.0,100
1,12,TFFormer,0.97,0.9699959983993598,0.97,100
1,13,TFFormer,0.81,0.8156699978508489,0.81,100
1,17,TFFormer,0.98,0.9799959983993598,0.98,100
1,18,TFFormer,1.0,1.0,1.0,100
1,24,TFFormer,0.9299999999999999,0.9310669920141971,0.93,100
1,25,TFFormer,0.98,0.979779411764706,0.98,100
1,29,TFFormer,0.98,0.9799919967987194,0.98,100
1,36,TFFormer,1.0,1.0,1.0,100
1,37,TFFormer,0.99,0.9899959983993598,0.99,100
1,39,TFFormer,1.0,1.0,1.0,100
1,42,TFFormer,0.58,0.5750515583240388,0.58,100
1,51,TFFormer,0.72,0.6986040788579924,0.72,100
1,54,TFFormer,0.8899999999999999,0.889814814814815,0.89,100
2,4,B0,1.0,1.0,1.0,100
2,12,B0,0.99,0.9899959983993598,0.99,100
2,13,B0,0.81,0.8079768314305483,0.81,100
2,17,B0,0.97,0.9701920768307324,0.97,100
2,18,B0,1.0,1.0,1.0,100
2,24,B0,0.89,0.8916202990630215,0.89,100
2,25,B0,0.9299999999999999,0.9292519790240155,0.93,100
2,29,B0,0.95,0.9497723704866563,0.95,100
2,36,B0,1.0,1.0,1.0,100
2,37,B0,0.99,0.9899959983993598,0.99,100
2,39,B0,1.0,1.0,1.0,100
2,42,B0,0.6200000000000001,0.6176306422161282,0.62,100
2,51,B0,0.6799999999999999,0.6578930995475113,0.68,100
2,54,B0,0.8799999999999999,0.8790584415584415,0.88,100
2,4,TFFormer,1.0,1.0,1.0,100
2,12,TFFormer,0.99,0.9899959983993598,0.99,100
2,13,TFFormer,0.81,0.80957233436853,0.81,100
2,17,TFFormer,0.98,0.9801805337519623,0.98,100
2,18,TFFormer,1.0,1.0,1.0,100
2,24,TFFormer,0.9099999999999999,0.9107221350078494,0.91,100
2,25,TFFormer,0.9299999999999999,0.9295730344892422,0.93,100
2,29,TFFormer,0.96,0.9599679487179488,0.96,100
2,36,TFFormer,1.0,1.0,1.0,100
2,37,TFFormer,1.0,1.0,1.0,100
2,39,TFFormer,0.99,0.9899959983993598,0.99,100
2,42,TFFormer,0.6400000000000001,0.6390056022408963,0.64,100
2,51,TFFormer,0.72,0.7123294346978558,0.72,100
2,54,TFFormer,0.8899999999999999,0.8894751082251082,0.89,100
3,4,B0,1.0,1.0,1.0,100
3,12,B0,0.95,0.9493925007372799,0.95,100
3,13,B0,0.78,0.7793284265629095,0.78,100
3,17,B0,0.96,0.9601600255486811,0.96,100
3,18,B0,1.0,1.0,1.0,100
3,24,B0,0.8799999999999999,0.879228375747462,0.88,100
3,25,B0,0.9199999999999999,0.9180029182803878,0.92,100
3,29,B0,0.96,0.9601137624861266,0.96,100
3,36,B0,1.0,1.0,1.0,100
3,37,B0,1.0,1.0,1.0,100
3,39,B0,1.0,1.0,1.0,100
3,42,B0,0.6,0.5867196608373079,0.6,100
3,51,B0,0.71,0.6957394846245771,0.71,100
3,54,B0,0.8999999999999999,0.9009411445305665,0.9,100
3,4,TFFormer,1.0,1.0,1.0,100
3,12,TFFormer,0.95,0.9493925007372799,0.95,100
3,13,TFFormer,0.76,0.75894584139265,0.76,100
3,17,TFFormer,0.98,0.9799959983993597,0.98,100
3,18,TFFormer,1.0,1.0,1.0,100
3,24,TFFormer,0.9099999999999999,0.9106871345029239,0.91,100
3,25,TFFormer,0.94,0.9392337202439504,0.94,100
3,29,TFFormer,0.97,0.9699639471173085,0.97,100
3,36,TFFormer,1.0,1.0,1.0,100
3,37,TFFormer,1.0,1.0,1.0,100
3,39,TFFormer,1.0,1.0,1.0,100
3,42,TFFormer,0.6,0.5895929339477726,0.6,100
3,51,TFFormer,0.76,0.7527299744280876,0.76,100
3,54,TFFormer,0.9099999999999999,0.9102564102564102,0.91,100
4,4,B0,1.0,1.0,1.0,100
4,12,B0,0.97,0.970542934154794,0.97,100
4,13,B0,0.81,0.8064341939721879,0.81,100
4,17,B0,0.97,0.97,0.97,100
4,18,B0,1.0,1.0,1.0,100
4,24,B0,0.8999999999999999,0.8999346405228758,0.9,100
4,25,B0,0.94,0.9395342678134055,0.94,100
4,29,B0,0.9400000000000001,0.9406481481481482,0.94,100
4,36,B0,1.0,1.0,1.0,100
4,37,B0,1.0,1.0,1.0,100
4,39,B0,0.98,0.979779411764706,0.98,100
4,42,B0,0.54,0.5417527173913044,0.54,100
4,51,B0,0.7000000000000001,0.6878394822424673,0.7,100
4,54,B0,0.9299999999999999,0.9303078500903907,0.93,100
4,4,TFFormer,1.0,1.0,1.0,100
4,12,TFFormer,0.98,0.9801805337519623,0.98,100
4,13,TFFormer,0.84,0.8405285927997923,0.84,100
4,17,TFFormer,0.97,0.97,0.97,100
4,18,TFFormer,1.0,1.0,1.0,100
4,24,TFFormer,0.8999999999999999,0.8999346405228758,0.9,100
4,25,TFFormer,0.9299999999999999,0.92880174291939,0.93,100
4,29,TFFormer,0.94,0.9404525699168557,0.94,100
4,36,TFFormer,1.0,1.0,1.0,100
4,37,TFFormer,1.0,1.0,1.0,100
4,39,TFFormer,0.99,0.9899959983993598,0.99,100
4,42,TFFormer,0.55,0.5513156098559825,0.55,100
4,51,TFFormer,0.6900000000000001,0.6774231318414745,0.69,100
4,54,TFFormer,0.9299999999999999,0.9303078500903907,0.93,100
