task,benchmark_best,benchmark_model,matched_LiteBN,G2_reference,TFFormer,delta_vs_B0_pp,delta_vs_G2_pp,delta_vs_benchmark_pp,selected_epochs,B0_fallback_folds,PASS,Executed,reason
OpenBMI_SSVEP,0.9234,TCFormer,0.9069999999999999,0.9122857143,0.9142857142857143,0.728571428571434,0.1999999985714207,-0.9114285714285741,18;35;23;48;8,0.0,False,YES,
OpenBMI_ERP,0.8557,,,,,,,,,,False,NO,EARLY_STOP
OpenBMI_MI,0.7555,,,,,,,,,,False,NO,EARLY_STOP
WBCIC_MI,0.7918,,,,,,,,,,False,NO,EARLY_STOP
