model,task,variant,seed,fold,epoch,train_loss,inner_val_BA,eligible,selected_at_epoch
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,1,0.727225871313186,0.5416666666666666,False,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,2,0.6694662457420713,0.5883333333333333,False,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,3,0.6471895490373883,0.6183333333333333,False,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,4,0.6278302669525146,0.595,False,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,5,0.6134302389054072,0.6183333333333333,False,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,6,0.630841368720645,0.6483333333333333,False,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,7,0.6108398323967343,0.6283333333333333,False,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,8,0.5795476606913975,0.6316666666666667,False,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,9,0.5874883560907274,0.6483333333333333,False,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,10,0.5837765307653517,0.6483333333333333,True,True
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,11,0.564708187466576,0.64,True,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,12,0.564992680436089,0.66,True,True
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,13,0.5377194909822374,0.6699999999999999,True,True
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,14,0.5522973253613427,0.65,True,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,15,0.522802472114563,0.6666666666666666,True,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,16,0.5317018997101557,0.6583333333333333,True,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,17,0.5403762488138109,0.6633333333333333,True,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,18,0.5313526704197838,0.6516666666666667,True,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,19,0.4949952747140612,0.6566666666666666,True,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,20,0.4993642781461988,0.6383333333333333,True,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,21,0.5081077501887367,0.6783333333333333,True,True
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,22,0.47842094160261606,0.6666666666666666,True,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,23,0.48367595956439063,0.6583333333333333,True,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,24,0.47397719962256296,0.6633333333333332,True,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,25,0.48155622964813594,0.68,True,True
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,26,0.473716744354793,0.6999999999999998,True,True
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,27,0.47589397998083205,0.6683333333333333,True,False
LiteBN,OpenBMI_MI,B1_SINGLE_SCALE_TEMPORAL,0,0,28,0.44868450789224534,0.6716666666666667,True,False
