model,variant,task,seed,fold,subject_id,BA,macro_F1,accuracy,trials,evaluation_scope,normalizer_sha256,checkpoint_sha256
LiteBN,B0_FULL,OpenBMI_MI,0,0,4,0.8,0.797077922077922,0.8,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B0_FULL,OpenBMI_MI,0,0,12,0.7,0.6875,0.7,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B0_FULL,OpenBMI_MI,0,0,13,0.6799999999999999,0.6794871794871795,0.68,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B0_FULL,OpenBMI_MI,0,0,17,0.65,0.6457131288591963,0.65,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B0_FULL,OpenBMI_MI,0,0,18,0.6399999999999999,0.6386993175431553,0.64,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B0_FULL,OpenBMI_MI,0,0,24,0.55,0.5248653785239151,0.55,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B0_FULL,OpenBMI_MI,0,0,25,0.96,0.9599358974358975,0.96,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B0_FULL,OpenBMI_MI,0,0,29,0.65,0.64996499649965,0.65,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B0_FULL,OpenBMI_MI,0,0,36,0.9099999999999999,0.9097744360902256,0.91,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B0_FULL,OpenBMI_MI,0,0,37,0.72,0.7126436781609196,0.72,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B0_FULL,OpenBMI_MI,0,0,39,0.76,0.7596153846153846,0.76,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B0_FULL,OpenBMI_MI,0,0,42,0.69,0.6892230576441103,0.69,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B0_FULL,OpenBMI_MI,0,0,51,0.7,0.6921182266009853,0.7,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B0_FULL,OpenBMI_MI,0,0,54,0.71,0.7076318177235609,0.71,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,4,0.74,0.7312939231087227,0.74,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,12,0.65,0.630450849963045,0.65,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,13,0.5800000000000001,0.5384615384615385,0.58,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,17,0.56,0.5584102769971899,0.56,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,18,0.62,0.6041666666666667,0.62,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,24,0.5,0.49979991996798717,0.5,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,25,0.96,0.96,0.96,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,29,0.6900000000000001,0.6726850385386971,0.69,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,36,0.89,0.8899009108197378,0.89,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,37,0.8,0.8,0.8,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,39,0.7,0.6875,0.7,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,42,0.6599999999999999,0.6587715776796468,0.66,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,51,0.62,0.6124031007751938,0.62,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
LiteBN,B1_SINGLE_SCALE_TEMPORAL,OpenBMI_MI,0,0,54,0.69,0.6828644501278772,0.69,100,OpenBMI V8 internal future-session S2,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,f564788a605087354d398c174717003724d55e371260e6b52822defac8e775f4
