dataset,outer_fold,subject,method,base_correct_new_correct,base_correct_new_wrong,base_wrong_new_correct,base_wrong_new_wrong,fix_rate,break_rate,net_correction
OpenBMI,0,4,B1_GENERIC_OOF,153,0,0,47,0.0,0.0,0.0
OpenBMI,0,5,B1_GENERIC_OOF,167,0,0,33,0.0,0.0,0.0
OpenBMI,0,15,B1_GENERIC_OOF,179,0,0,21,0.0,0.0,0.0
OpenBMI,0,16,B1_GENERIC_OOF,158,0,0,42,0.0,0.0,0.0
OpenBMI,0,18,B1_GENERIC_OOF,171,0,0,29,0.0,0.0,0.0
OpenBMI,0,26,B1_GENERIC_OOF,153,0,0,47,0.0,0.0,0.0
OpenBMI,0,44,B1_GENERIC_OOF,152,0,0,48,0.0,0.0,0.0
OpenBMI,0,4,B2_GENERIC_PROTOTYPE_OOF,153,0,0,47,0.0,0.0,0.0
OpenBMI,0,5,B2_GENERIC_PROTOTYPE_OOF,167,0,0,33,0.0,0.0,0.0
OpenBMI,0,15,B2_GENERIC_PROTOTYPE_OOF,179,0,0,21,0.0,0.0,0.0
OpenBMI,0,16,B2_GENERIC_PROTOTYPE_OOF,158,0,0,42,0.0,0.0,0.0
OpenBMI,0,18,B2_GENERIC_PROTOTYPE_OOF,171,0,0,29,0.0,0.0,0.0
OpenBMI,0,26,B2_GENERIC_PROTOTYPE_OOF,153,0,0,47,0.0,0.0,0.0
OpenBMI,0,44,B2_GENERIC_PROTOTYPE_OOF,152,0,0,48,0.0,0.0,0.0
OpenBMI,0,4,B3_CROSS_SESSION_RELATION_OOF,153,0,0,47,0.0,0.0,0.0
OpenBMI,0,5,B3_CROSS_SESSION_RELATION_OOF,167,0,0,33,0.0,0.0,0.0
OpenBMI,0,15,B3_CROSS_SESSION_RELATION_OOF,179,0,0,21,0.0,0.0,0.0
OpenBMI,0,16,B3_CROSS_SESSION_RELATION_OOF,158,0,0,42,0.0,0.0,0.0
OpenBMI,0,18,B3_CROSS_SESSION_RELATION_OOF,171,0,0,29,0.0,0.0,0.0
OpenBMI,0,26,B3_CROSS_SESSION_RELATION_OOF,153,0,0,47,0.0,0.0,0.0
OpenBMI,0,44,B3_CROSS_SESSION_RELATION_OOF,152,0,0,48,0.0,0.0,0.0
WBCIC,0,14,B1_GENERIC_OOF,201,0,0,199,0.0,0.0,0.0
WBCIC,0,25,B1_GENERIC_OOF,217,0,2,181,0.005,0.0,0.005
WBCIC,0,32,B1_GENERIC_OOF,200,0,2,197,0.005012531328320802,0.0,0.005012531328320802
WBCIC,0,41,B1_GENERIC_OOF,210,0,3,187,0.0075,0.0,0.0075
WBCIC,0,50,B1_GENERIC_OOF,200,0,0,200,0.0,0.0,0.0
WBCIC,0,14,B2_GENERIC_PROTOTYPE_OOF,201,0,0,199,0.0,0.0,0.0
WBCIC,0,25,B2_GENERIC_PROTOTYPE_OOF,217,0,1,182,0.0025,0.0,0.0025
WBCIC,0,32,B2_GENERIC_PROTOTYPE_OOF,200,0,0,199,0.0,0.0,0.0
WBCIC,0,41,B2_GENERIC_PROTOTYPE_OOF,210,0,3,187,0.0075,0.0,0.0075
WBCIC,0,50,B2_GENERIC_PROTOTYPE_OOF,200,0,0,200,0.0,0.0,0.0
WBCIC,0,14,B3_CROSS_SESSION_RELATION_OOF,201,0,0,199,0.0,0.0,0.0
WBCIC,0,25,B3_CROSS_SESSION_RELATION_OOF,217,0,1,182,0.0025,0.0,0.0025
WBCIC,0,32,B3_CROSS_SESSION_RELATION_OOF,200,0,0,199,0.0,0.0,0.0
