dataset,outer_fold,subject,method,B0_BA,method_BA,delta_BA_pp,delta_Macro_F1_pp
OpenBMI,0,4,B1_GENERIC_OOF,0.765,0.765,0.0,0.0
OpenBMI,0,5,B1_GENERIC_OOF,0.835,0.835,0.0,0.0
OpenBMI,0,15,B1_GENERIC_OOF,0.895,0.895,0.0,0.0
OpenBMI,0,16,B1_GENERIC_OOF,0.79,0.79,0.0,0.0
OpenBMI,0,18,B1_GENERIC_OOF,0.855,0.855,0.0,0.0
OpenBMI,0,26,B1_GENERIC_OOF,0.765,0.765,0.0,0.0
OpenBMI,0,44,B1_GENERIC_OOF,0.76,0.76,0.0,0.0
OpenBMI,0,4,B2_GENERIC_PROTOTYPE_OOF,0.765,0.765,0.0,0.0
OpenBMI,0,5,B2_GENERIC_PROTOTYPE_OOF,0.835,0.835,0.0,0.0
OpenBMI,0,15,B2_GENERIC_PROTOTYPE_OOF,0.895,0.895,0.0,0.0
OpenBMI,0,16,B2_GENERIC_PROTOTYPE_OOF,0.79,0.79,0.0,0.0
OpenBMI,0,18,B2_GENERIC_PROTOTYPE_OOF,0.855,0.855,0.0,0.0
OpenBMI,0,26,B2_GENERIC_PROTOTYPE_OOF,0.765,0.765,0.0,0.0
OpenBMI,0,44,B2_GENERIC_PROTOTYPE_OOF,0.76,0.76,0.0,0.0
OpenBMI,0,4,B3_CROSS_SESSION_RELATION_OOF,0.765,0.765,0.0,0.0
OpenBMI,0,5,B3_CROSS_SESSION_RELATION_OOF,0.835,0.835,0.0,0.0
OpenBMI,0,15,B3_CROSS_SESSION_RELATION_OOF,0.895,0.895,0.0,0.0
OpenBMI,0,16,B3_CROSS_SESSION_RELATION_OOF,0.79,0.79,0.0,0.0
OpenBMI,0,18,B3_CROSS_SESSION_RELATION_OOF,0.855,0.855,0.0,0.0
OpenBMI,0,26,B3_CROSS_SESSION_RELATION_OOF,0.765,0.765,0.0,0.0
OpenBMI,0,44,B3_CROSS_SESSION_RELATION_OOF,0.76,0.76,0.0,0.0
WBCIC,0,14,B1_GENERIC_OOF,0.5025,0.5025,0.0,0.0
WBCIC,0,25,B1_GENERIC_OOF,0.5425,0.5475,0.5000000000000004,0.9079187361853647
WBCIC,0,32,B1_GENERIC_OOF,0.5025,0.5075,0.5000000000000004,1.0923648924314966
WBCIC,0,41,B1_GENERIC_OOF,0.525,0.5325,0.7499999999999951,1.5146267938626279
WBCIC,0,50,B1_GENERIC_OOF,0.5,0.5,0.0,0.0
WBCIC,0,14,B2_GENERIC_PROTOTYPE_OOF,0.5025,0.5025,0.0,0.0
WBCIC,0,25,B2_GENERIC_PROTOTYPE_OOF,0.5425,0.545,0.2500000000000058,0.45558482064211314
WBCIC,0,32,B2_GENERIC_PROTOTYPE_OOF,0.5025,0.5025,0.0,0.0
WBCIC,0,41,B2_GENERIC_PROTOTYPE_OOF,0.525,0.5325,0.7499999999999951,1.5146267938626279
WBCIC,0,50,B2_GENERIC_PROTOTYPE_OOF,0.5,0.5,0.0,0.0
WBCIC,0,14,B3_CROSS_SESSION_RELATION_OOF,0.5025,0.5025,0.0,0.0
WBCIC,0,25,B3_CROSS_SESSION_RELATION_OOF,0.5425,0.545,0.2500000000000058,0.45558482064211314
WBCIC,0,32,B3_CROSS_SESSION_RELATION_OOF,0.5025,0.5025,0.0,0.0
WBCIC,0,41,B3_CROSS_SESSION_RELATION_OOF,0.525,0.53,0.5000000000000004,1.0137729540169116
WBCIC,0,50,B3_CROSS_SESSION_RELATION_OOF,0.5,0.5,0.0,0.0
OpenBMI,1,7,B1_GENERIC_OOF,0.83,0.83,0.0,0.0
OpenBMI,1,8,B1_GENERIC_OOF,0.815,0.815,0.0,0.0
OpenBMI,1,29,B1_GENERIC_OOF,0.7150000000000001,0.7150000000000001,0.0,0.0
OpenBMI,1,42,B1_GENERIC_OOF,0.7849999999999999,0.7849999999999999,0.0,0.0
OpenBMI,1,43,B1_GENERIC_OOF,0.9199999999999999,0.9199999999999999,0.0,0.0
OpenBMI,1,49,B1_GENERIC_OOF,0.86,0.855,-0.5000000000000004,-0.5177282490354096
OpenBMI,1,51,B1_GENERIC_OOF,0.77,0.77,0.0,0.0
OpenBMI,1,7,B2_GENERIC_PROTOTYPE_OOF,0.83,0.83,0.0,0.0
OpenBMI,1,8,B2_GENERIC_PROTOTYPE_OOF,0.815,0.815,0.0,0.0
OpenBMI,1,29,B2_GENERIC_PROTOTYPE_OOF,0.7150000000000001,0.7150000000000001,0.0,0.0
OpenBMI,1,42,B2_GENERIC_PROTOTYPE_OOF,0.7849999999999999,0.7849999999999999,0.0,0.0
OpenBMI,1,43,B2_GENERIC_PROTOTYPE_OOF,0.9199999999999999,0.9199999999999999,0.0,0.0
OpenBMI,1,49,B2_GENERIC_PROTOTYPE_OOF,0.86,0.86,0.0,0.0
OpenBMI,1,51,B2_GENERIC_PROTOTYPE_OOF,0.77,0.77,0.0,0.0
OpenBMI,1,7,B3_CROSS_SESSION_RELATION_OOF,0.83,0.83,0.0,0.0
OpenBMI,1,8,B3_CROSS_SESSION_RELATION_OOF,0.815,0.815,0.0,0.0
OpenBMI,1,29,B3_CROSS_SESSION_RELATION_OOF,0.7150000000000001,0.7150000000000001,0.0,0.0
OpenBMI,1,42,B3_CROSS_SESSION_RELATION_OOF,0.7849999999999999,0.7849999999999999,0.0,0.0
OpenBMI,1,43,B3_CROSS_SESSION_RELATION_OOF,0.9199999999999999,0.9199999999999999,0.0,0.0
OpenBMI,1,49,B3_CROSS_SESSION_RELATION_OOF,0.86,0.855,-0.5000000000000004,-0.5177282490354096
OpenBMI,1,51,B3_CROSS_SESSION_RELATION_OOF,0.77,0.77,0.0,0.0
WBCIC,1,9,B1_GENERIC_OOF,0.615,0.615,0.0,0.11371969846796226
WBCIC,1,17,B1_GENERIC_OOF,0.6975,0.6950000000000001,-0.24999999999999467,-0.14528099294193186
WBCIC,1,23,B1_GENERIC_OOF,0.8148492462311557,0.8173492462311558,0.2500000000000058,0.26594864556274134
WBCIC,1,24,B1_GENERIC_OOF,0.8774371859296483,0.8799371859296483,0.2500000000000058,0.25868951365555226
WBCIC,1,47,B1_GENERIC_OOF,0.7725,0.77,-0.24999999999999467,-0.2352065133078951
WBCIC,1,9,B2_GENERIC_PROTOTYPE_OOF,0.615,0.615,0.0,0.11371969846796226
WBCIC,1,17,B2_GENERIC_PROTOTYPE_OOF,0.6975,0.6950000000000001,-0.24999999999999467,-0.14528099294193186
WBCIC,1,23,B2_GENERIC_PROTOTYPE_OOF,0.8148492462311557,0.8173492462311558,0.2500000000000058,0.26594864556274134
WBCIC,1,24,B2_GENERIC_PROTOTYPE_OOF,0.8774371859296483,0.8799371859296483,0.2500000000000058,0.25868951365555226
WBCIC,1,47,B2_GENERIC_PROTOTYPE_OOF,0.7725,0.77,-0.24999999999999467,-0.2352065133078951
WBCIC,1,9,B3_CROSS_SESSION_RELATION_OOF,0.615,0.615,0.0,0.11371969846796226
WBCIC,1,17,B3_CROSS_SESSION_RELATION_OOF,0.6975,0.7000000000000001,0.2500000000000058,0.3046956708835591
WBCIC,1,23,B3_CROSS_SESSION_RELATION_OOF,0.8148492462311557,0.8173492462311558,0.2500000000000058,0.26594864556274134
WBCIC,1,24,B3_CROSS_SESSION_RELATION_OOF,0.8774371859296483,0.8799371859296483,0.2500000000000058,0.25868951365555226
WBCIC,1,47,B3_CROSS_SESSION_RELATION_OOF,0.7725,0.77,-0.24999999999999467,-0.2352065133078951
OpenBMI,2,20,B1_GENERIC_OOF,0.75,0.745,-0.5000000000000004,-0.5716649376114158
OpenBMI,2,22,B1_GENERIC_OOF,0.675,0.675,0.0,0.0
OpenBMI,2,25,B1_GENERIC_OOF,0.915,0.915,0.0,0.0
OpenBMI,2,30,B1_GENERIC_OOF,0.73,0.73,0.0,0.0
OpenBMI,2,34,B1_GENERIC_OOF,0.6699999999999999,0.6699999999999999,0.0,0.0
OpenBMI,2,41,B1_GENERIC_OOF,0.775,0.775,0.0,0.0
OpenBMI,2,46,B1_GENERIC_OOF,0.635,0.635,0.0,0.0
OpenBMI,2,20,B2_GENERIC_PROTOTYPE_OOF,0.75,0.745,-0.5000000000000004,-0.5716649376114158
OpenBMI,2,22,B2_GENERIC_PROTOTYPE_OOF,0.675,0.675,0.0,0.0
OpenBMI,2,25,B2_GENERIC_PROTOTYPE_OOF,0.915,0.915,0.0,0.0
OpenBMI,2,30,B2_GENERIC_PROTOTYPE_OOF,0.73,0.73,0.0,0.0
OpenBMI,2,34,B2_GENERIC_PROTOTYPE_OOF,0.6699999999999999,0.6699999999999999,0.0,0.0
OpenBMI,2,41,B2_GENERIC_PROTOTYPE_OOF,0.775,0.775,0.0,0.0
OpenBMI,2,46,B2_GENERIC_PROTOTYPE_OOF,0.635,0.635,0.0,0.0
OpenBMI,2,20,B3_CROSS_SESSION_RELATION_OOF,0.75,0.745,-0.5000000000000004,-0.5716649376114158
OpenBMI,2,22,B3_CROSS_SESSION_RELATION_OOF,0.675,0.675,0.0,0.0
OpenBMI,2,25,B3_CROSS_SESSION_RELATION_OOF,0.915,0.915,0.0,0.0
OpenBMI,2,30,B3_CROSS_SESSION_RELATION_OOF,0.73,0.73,0.0,0.0
OpenBMI,2,34,B3_CROSS_SESSION_RELATION_OOF,0.6699999999999999,0.6699999999999999,0.0,0.0
OpenBMI,2,41,B3_CROSS_SESSION_RELATION_OOF,0.775,0.775,0.0,0.0
