dataset,generic_delta_BA_pp,prototype_delta_BA_pp,relation_delta_BA_pp,relation_minus_generic_pp,relation_minus_prototype_pp
OpenBMI,-3.2653618371328136e-16,-0.01470588235294119,-3.2653618371328136e-16,0.0,0.014705882352940864
WBCIC,0.03119765494137468,0.020833333333335202,0.06250000000000237,0.031302345058627695,0.04166666666666717
