dataset,outer_fold,role,subject,in_outer_backbone_train
OpenBMI,0,H_k,4,False
OpenBMI,0,H_k,5,False
OpenBMI,0,T_k,7,True
OpenBMI,0,T_k,8,True
OpenBMI,0,T_k,9,True
OpenBMI,0,T_k,11,True
OpenBMI,0,T_k,12,True
OpenBMI,0,H_k,15,False
OpenBMI,0,H_k,16,False
OpenBMI,0,H_k,18,False
OpenBMI,0,T_k,20,True
OpenBMI,0,T_k,21,True
OpenBMI,0,T_k,22,True
OpenBMI,0,T_k,23,True
OpenBMI,0,T_k,24,True
OpenBMI,0,T_k,25,True
OpenBMI,0,H_k,26,False
OpenBMI,0,T_k,27,True
OpenBMI,0,T_k,29,True
OpenBMI,0,T_k,30,True
OpenBMI,0,T_k,31,True
OpenBMI,0,T_k,34,True
OpenBMI,0,T_k,35,True
OpenBMI,0,T_k,37,True
OpenBMI,0,T_k,38,True
OpenBMI,0,T_k,39,True
OpenBMI,0,T_k,41,True
OpenBMI,0,T_k,42,True
OpenBMI,0,T_k,43,True
OpenBMI,0,H_k,44,False
OpenBMI,0,T_k,46,True
OpenBMI,0,T_k,49,True
OpenBMI,0,T_k,51,True
OpenBMI,0,T_k,52,True
OpenBMI,0,H_k,4,False
OpenBMI,0,H_k,5,False
OpenBMI,0,H_k,15,False
OpenBMI,0,H_k,16,False
OpenBMI,0,H_k,18,False
OpenBMI,0,H_k,26,False
OpenBMI,0,H_k,44,False
WBCIC,0,T_k,6,True
WBCIC,0,T_k,7,True
WBCIC,0,T_k,9,True
WBCIC,0,T_k,12,True
WBCIC,0,H_k,14,False
WBCIC,0,T_k,17,True
WBCIC,0,T_k,22,True
WBCIC,0,T_k,23,True
WBCIC,0,T_k,24,True
WBCIC,0,H_k,25,False
WBCIC,0,T_k,26,True
WBCIC,0,T_k,29,True
WBCIC,0,T_k,30,True
WBCIC,0,T_k,31,True
WBCIC,0,H_k,32,False
WBCIC,0,T_k,34,True
WBCIC,0,T_k,35,True
WBCIC,0,T_k,38,True
WBCIC,0,H_k,41,False
WBCIC,0,T_k,42,True
WBCIC,0,T_k,47,True
WBCIC,0,T_k,48,True
WBCIC,0,T_k,49,True
WBCIC,0,H_k,50,False
WBCIC,0,H_k,14,False
WBCIC,0,H_k,25,False
WBCIC,0,H_k,32,False
WBCIC,0,H_k,41,False
WBCIC,0,H_k,50,False
OpenBMI,1,T_k,4,True
OpenBMI,1,T_k,5,True
OpenBMI,1,H_k,7,False
OpenBMI,1,H_k,8,False
OpenBMI,1,T_k,9,True
OpenBMI,1,T_k,11,True
OpenBMI,1,T_k,12,True
OpenBMI,1,T_k,15,True
OpenBMI,1,T_k,16,True
OpenBMI,1,T_k,18,True
OpenBMI,1,T_k,20,True
OpenBMI,1,T_k,21,True
OpenBMI,1,T_k,22,True
OpenBMI,1,T_k,23,True
OpenBMI,1,T_k,24,True
OpenBMI,1,T_k,25,True
OpenBMI,1,T_k,26,True
OpenBMI,1,T_k,27,True
OpenBMI,1,H_k,29,False
OpenBMI,1,T_k,30,True
OpenBMI,1,T_k,31,True
OpenBMI,1,T_k,34,True
OpenBMI,1,T_k,35,True
OpenBMI,1,T_k,37,True
OpenBMI,1,T_k,38,True
OpenBMI,1,T_k,39,True
OpenBMI,1,T_k,41,True
OpenBMI,1,H_k,42,False
OpenBMI,1,H_k,43,False
OpenBMI,1,T_k,44,True
OpenBMI,1,T_k,46,True
OpenBMI,1,H_k,49,False
OpenBMI,1,H_k,51,False
OpenBMI,1,T_k,52,True
OpenBMI,1,H_k,7,False
OpenBMI,1,H_k,8,False
OpenBMI,1,H_k,29,False
OpenBMI,1,H_k,42,False
OpenBMI,1,H_k,43,False
OpenBMI,1,H_k,49,False
OpenBMI,1,H_k,51,False
WBCIC,1,T_k,6,True
WBCIC,1,T_k,7,True
WBCIC,1,H_k,9,False
WBCIC,1,T_k,12,True
WBCIC,1,T_k,14,True
WBCIC,1,H_k,17,False
WBCIC,1,T_k,22,True
WBCIC,1,H_k,23,False
WBCIC,1,H_k,24,False
WBCIC,1,T_k,25,True
WBCIC,1,T_k,26,True
WBCIC,1,T_k,29,True
WBCIC,1,T_k,30,True
WBCIC,1,T_k,31,True
WBCIC,1,T_k,32,True
WBCIC,1,T_k,34,True
WBCIC,1,T_k,35,True
WBCIC,1,T_k,38,True
WBCIC,1,T_k,41,True
WBCIC,1,T_k,42,True
WBCIC,1,H_k,47,False
WBCIC,1,T_k,48,True
WBCIC,1,T_k,49,True
WBCIC,1,T_k,50,True
WBCIC,1,H_k,9,False
WBCIC,1,H_k,17,False
WBCIC,1,H_k,23,False
WBCIC,1,H_k,24,False
WBCIC,1,H_k,47,False
OpenBMI,2,T_k,4,True
OpenBMI,2,T_k,5,True
OpenBMI,2,T_k,7,True
OpenBMI,2,T_k,8,True
OpenBMI,2,T_k,9,True
OpenBMI,2,T_k,11,True
OpenBMI,2,T_k,12,True
OpenBMI,2,T_k,15,True
OpenBMI,2,T_k,16,True
OpenBMI,2,T_k,18,True
OpenBMI,2,H_k,20,False
OpenBMI,2,T_k,21,True
OpenBMI,2,H_k,22,False
OpenBMI,2,T_k,23,True
OpenBMI,2,T_k,24,True
OpenBMI,2,H_k,25,False
OpenBMI,2,T_k,26,True
OpenBMI,2,T_k,27,True
OpenBMI,2,T_k,29,True
OpenBMI,2,H_k,30,False
OpenBMI,2,T_k,31,True
OpenBMI,2,H_k,34,False
OpenBMI,2,T_k,35,True
OpenBMI,2,T_k,37,True
OpenBMI,2,T_k,38,True
OpenBMI,2,T_k,39,True
OpenBMI,2,H_k,41,False
OpenBMI,2,T_k,42,True
OpenBMI,2,T_k,43,True
OpenBMI,2,T_k,44,True
OpenBMI,2,H_k,46,False
OpenBMI,2,T_k,49,True
OpenBMI,2,T_k,51,True
OpenBMI,2,T_k,52,True
OpenBMI,2,H_k,20,False
OpenBMI,2,H_k,22,False
OpenBMI,2,H_k,25,False
OpenBMI,2,H_k,30,False
OpenBMI,2,H_k,34,False
OpenBMI,2,H_k,41,False
OpenBMI,2,H_k,46,False
WBCIC,2,T_k,6,True
WBCIC,2,H_k,7,False
WBCIC,2,T_k,9,True
WBCIC,2,T_k,12,True
WBCIC,2,T_k,14,True
WBCIC,2,T_k,17,True
WBCIC,2,T_k,22,True
WBCIC,2,T_k,23,True
WBCIC,2,T_k,24,True
WBCIC,2,T_k,25,True
WBCIC,2,T_k,26,True
WBCIC,2,T_k,29,True
WBCIC,2,T_k,30,True
WBCIC,2,T_k,31,True
WBCIC,2,T_k,32,True
WBCIC,2,H_k,34,False
WBCIC,2,H_k,35,False
WBCIC,2,T_k,38,True
WBCIC,2,T_k,41,True
WBCIC,2,T_k,42,True
WBCIC,2,T_k,47,True
WBCIC,2,H_k,48,False
WBCIC,2,H_k,49,False
WBCIC,2,T_k,50,True
WBCIC,2,H_k,7,False
WBCIC,2,H_k,34,False
WBCIC,2,H_k,35,False
WBCIC,2,H_k,48,False
WBCIC,2,H_k,49,False
OpenBMI,3,T_k,4,True
OpenBMI,3,T_k,5,True
OpenBMI,3,T_k,7,True
OpenBMI,3,T_k,8,True
OpenBMI,3,T_k,9,True
OpenBMI,3,H_k,11,False
OpenBMI,3,H_k,12,False
OpenBMI,3,T_k,15,True
OpenBMI,3,T_k,16,True
OpenBMI,3,T_k,18,True
OpenBMI,3,T_k,20,True
OpenBMI,3,T_k,21,True
OpenBMI,3,T_k,22,True
OpenBMI,3,H_k,23,False
OpenBMI,3,T_k,24,True
OpenBMI,3,T_k,25,True
OpenBMI,3,T_k,26,True
OpenBMI,3,T_k,27,True
OpenBMI,3,T_k,29,True
OpenBMI,3,T_k,30,True
OpenBMI,3,T_k,31,True
OpenBMI,3,T_k,34,True
OpenBMI,3,H_k,35,False
OpenBMI,3,H_k,37,False
OpenBMI,3,H_k,38,False
OpenBMI,3,T_k,39,True
OpenBMI,3,T_k,41,True
OpenBMI,3,T_k,42,True
OpenBMI,3,T_k,43,True
OpenBMI,3,T_k,44,True
OpenBMI,3,T_k,46,True
OpenBMI,3,T_k,49,True
OpenBMI,3,T_k,51,True
OpenBMI,3,H_k,52,False
OpenBMI,3,H_k,11,False
OpenBMI,3,H_k,12,False
OpenBMI,3,H_k,23,False
OpenBMI,3,H_k,35,False
OpenBMI,3,H_k,37,False
OpenBMI,3,H_k,38,False
OpenBMI,3,H_k,52,False
WBCIC,3,T_k,6,True
WBCIC,3,T_k,7,True
WBCIC,3,T_k,9,True
WBCIC,3,H_k,12,False
WBCIC,3,T_k,14,True
WBCIC,3,T_k,17,True
WBCIC,3,H_k,22,False
WBCIC,3,T_k,23,True
WBCIC,3,T_k,24,True
WBCIC,3,T_k,25,True
WBCIC,3,H_k,26,False
WBCIC,3,T_k,29,True
WBCIC,3,T_k,30,True
WBCIC,3,H_k,31,False
WBCIC,3,T_k,32,True
WBCIC,3,T_k,34,True
WBCIC,3,T_k,35,True
WBCIC,3,T_k,38,True
WBCIC,3,T_k,41,True
WBCIC,3,H_k,42,False
WBCIC,3,T_k,47,True
WBCIC,3,T_k,48,True
WBCIC,3,T_k,49,True
WBCIC,3,T_k,50,True
WBCIC,3,H_k,12,False
WBCIC,3,H_k,22,False
WBCIC,3,H_k,26,False
WBCIC,3,H_k,31,False
WBCIC,3,H_k,42,False
OpenBMI,4,T_k,4,True
OpenBMI,4,T_k,5,True
OpenBMI,4,T_k,7,True
OpenBMI,4,T_k,8,True
OpenBMI,4,H_k,9,False
OpenBMI,4,T_k,11,True
OpenBMI,4,T_k,12,True
OpenBMI,4,T_k,15,True
OpenBMI,4,T_k,16,True
OpenBMI,4,T_k,18,True
OpenBMI,4,T_k,20,True
OpenBMI,4,H_k,21,False
OpenBMI,4,T_k,22,True
OpenBMI,4,T_k,23,True
OpenBMI,4,H_k,24,False
OpenBMI,4,T_k,25,True
OpenBMI,4,T_k,26,True
OpenBMI,4,H_k,27,False
OpenBMI,4,T_k,29,True
OpenBMI,4,T_k,30,True
OpenBMI,4,H_k,31,False
OpenBMI,4,T_k,34,True
OpenBMI,4,T_k,35,True
OpenBMI,4,T_k,37,True
OpenBMI,4,T_k,38,True
OpenBMI,4,H_k,39,False
OpenBMI,4,T_k,41,True
OpenBMI,4,T_k,42,True
OpenBMI,4,T_k,43,True
OpenBMI,4,T_k,44,True
OpenBMI,4,T_k,46,True
OpenBMI,4,T_k,49,True
OpenBMI,4,T_k,51,True
OpenBMI,4,T_k,52,True
OpenBMI,4,H_k,9,False
OpenBMI,4,H_k,21,False
OpenBMI,4,H_k,24,False
OpenBMI,4,H_k,27,False
OpenBMI,4,H_k,31,False
OpenBMI,4,H_k,39,False
WBCIC,4,H_k,6,False
WBCIC,4,T_k,7,True
WBCIC,4,T_k,9,True
WBCIC,4,T_k,12,True
WBCIC,4,T_k,14,True
WBCIC,4,T_k,17,True
WBCIC,4,T_k,22,True
WBCIC,4,T_k,23,True
WBCIC,4,T_k,24,True
WBCIC,4,T_k,25,True
WBCIC,4,T_k,26,True
WBCIC,4,H_k,29,False
WBCIC,4,H_k,30,False
WBCIC,4,T_k,31,True
WBCIC,4,T_k,32,True
WBCIC,4,T_k,34,True
WBCIC,4,T_k,35,True
WBCIC,4,H_k,38,False
WBCIC,4,T_k,41,True
WBCIC,4,T_k,42,True
WBCIC,4,T_k,47,True
WBCIC,4,T_k,48,True
WBCIC,4,T_k,49,True
WBCIC,4,T_k,50,True
WBCIC,4,H_k,6,False
WBCIC,4,H_k,29,False
WBCIC,4,H_k,30,False
WBCIC,4,H_k,38,False
