dataset,outer_fold,method,parameter_count
OpenBMI,0,B1_GENERIC_OOF,146
OpenBMI,0,B2_GENERIC_PROTOTYPE_OOF,162
OpenBMI,0,B3_CROSS_SESSION_RELATION_OOF,202
WBCIC,0,B1_GENERIC_OOF,146
WBCIC,0,B2_GENERIC_PROTOTYPE_OOF,162
WBCIC,0,B3_CROSS_SESSION_RELATION_OOF,202
OpenBMI,1,B1_GENERIC_OOF,146
OpenBMI,1,B2_GENERIC_PROTOTYPE_OOF,162
OpenBMI,1,B3_CROSS_SESSION_RELATION_OOF,202
WBCIC,1,B1_GENERIC_OOF,146
WBCIC,1,B2_GENERIC_PROTOTYPE_OOF,162
WBCIC,1,B3_CROSS_SESSION_RELATION_OOF,202
OpenBMI,2,B1_GENERIC_OOF,146
OpenBMI,2,B2_GENERIC_PROTOTYPE_OOF,162
OpenBMI,2,B3_CROSS_SESSION_RELATION_OOF,202
WBCIC,2,B1_GENERIC_OOF,146
WBCIC,2,B2_GENERIC_PROTOTYPE_OOF,162
WBCIC,2,B3_CROSS_SESSION_RELATION_OOF,202
OpenBMI,3,B1_GENERIC_OOF,146
OpenBMI,3,B2_GENERIC_PROTOTYPE_OOF,162
OpenBMI,3,B3_CROSS_SESSION_RELATION_OOF,202
WBCIC,3,B1_GENERIC_OOF,146
WBCIC,3,B2_GENERIC_PROTOTYPE_OOF,162
WBCIC,3,B3_CROSS_SESSION_RELATION_OOF,202
OpenBMI,4,B1_GENERIC_OOF,146
OpenBMI,4,B2_GENERIC_PROTOTYPE_OOF,162
OpenBMI,4,B3_CROSS_SESSION_RELATION_OOF,202
WBCIC,4,B1_GENERIC_OOF,146
WBCIC,4,B2_GENERIC_PROTOTYPE_OOF,162
WBCIC,4,B3_CROSS_SESSION_RELATION_OOF,202
