dataset,outer_fold,inner_fold,role,subject
OpenBMI,0,0,backbone_train,7
OpenBMI,0,0,backbone_train,8
OpenBMI,0,0,query,9
OpenBMI,0,0,query,11
OpenBMI,0,0,query,12
OpenBMI,0,0,backbone_train,20
OpenBMI,0,0,backbone_train,21
OpenBMI,0,0,query,22
OpenBMI,0,0,backbone_train,23
OpenBMI,0,0,query,24
OpenBMI,0,0,backbone_train,25
OpenBMI,0,0,backbone_train,27
OpenBMI,0,0,backbone_train,29
OpenBMI,0,0,backbone_train,30
OpenBMI,0,0,query,31
OpenBMI,0,0,backbone_train,34
OpenBMI,0,0,backbone_train,35
OpenBMI,0,0,backbone_train,37
OpenBMI,0,0,backbone_train,38
OpenBMI,0,0,backbone_train,39
OpenBMI,0,0,query,41
OpenBMI,0,0,backbone_train,42
OpenBMI,0,0,backbone_train,43
OpenBMI,0,0,backbone_train,46
OpenBMI,0,0,backbone_train,49
OpenBMI,0,0,backbone_train,51
OpenBMI,0,0,backbone_train,52
OpenBMI,0,1,backbone_train,7
OpenBMI,0,1,query,8
OpenBMI,0,1,backbone_train,9
OpenBMI,0,1,backbone_train,11
OpenBMI,0,1,backbone_train,12
OpenBMI,0,1,backbone_train,20
OpenBMI,0,1,backbone_train,21
OpenBMI,0,1,backbone_train,22
OpenBMI,0,1,backbone_train,23
OpenBMI,0,1,backbone_train,24
OpenBMI,0,1,backbone_train,25
OpenBMI,0,1,backbone_train,27
OpenBMI,0,1,backbone_train,29
OpenBMI,0,1,backbone_train,30
OpenBMI,0,1,backbone_train,31
OpenBMI,0,1,backbone_train,34
OpenBMI,0,1,query,35
OpenBMI,0,1,query,37
OpenBMI,0,1,query,38
OpenBMI,0,1,backbone_train,39
OpenBMI,0,1,backbone_train,41
OpenBMI,0,1,query,42
OpenBMI,0,1,backbone_train,43
OpenBMI,0,1,backbone_train,46
OpenBMI,0,1,query,49
OpenBMI,0,1,query,51
OpenBMI,0,1,backbone_train,52
OpenBMI,0,2,query,7
OpenBMI,0,2,backbone_train,8
OpenBMI,0,2,backbone_train,9
OpenBMI,0,2,backbone_train,11
OpenBMI,0,2,backbone_train,12
OpenBMI,0,2,backbone_train,20
OpenBMI,0,2,backbone_train,21
OpenBMI,0,2,backbone_train,22
OpenBMI,0,2,backbone_train,23
OpenBMI,0,2,backbone_train,24
OpenBMI,0,2,backbone_train,25
OpenBMI,0,2,query,27
OpenBMI,0,2,query,29
OpenBMI,0,2,query,30
OpenBMI,0,2,backbone_train,31
OpenBMI,0,2,backbone_train,34
OpenBMI,0,2,backbone_train,35
OpenBMI,0,2,backbone_train,37
OpenBMI,0,2,backbone_train,38
OpenBMI,0,2,query,39
OpenBMI,0,2,backbone_train,41
OpenBMI,0,2,backbone_train,42
OpenBMI,0,2,query,43
OpenBMI,0,2,query,46
OpenBMI,0,2,backbone_train,49
OpenBMI,0,2,backbone_train,51
OpenBMI,0,2,backbone_train,52
OpenBMI,0,3,backbone_train,7
OpenBMI,0,3,backbone_train,8
OpenBMI,0,3,backbone_train,9
OpenBMI,0,3,backbone_train,11
OpenBMI,0,3,backbone_train,12
OpenBMI,0,3,query,20
OpenBMI,0,3,query,21
OpenBMI,0,3,backbone_train,22
OpenBMI,0,3,query,23
OpenBMI,0,3,backbone_train,24
OpenBMI,0,3,query,25
OpenBMI,0,3,backbone_train,27
OpenBMI,0,3,backbone_train,29
OpenBMI,0,3,backbone_train,30
OpenBMI,0,3,backbone_train,31
OpenBMI,0,3,query,34
OpenBMI,0,3,backbone_train,35
OpenBMI,0,3,backbone_train,37
OpenBMI,0,3,backbone_train,38
OpenBMI,0,3,backbone_train,39
OpenBMI,0,3,backbone_train,41
OpenBMI,0,3,backbone_train,42
OpenBMI,0,3,backbone_train,43
OpenBMI,0,3,backbone_train,46
OpenBMI,0,3,backbone_train,49
OpenBMI,0,3,backbone_train,51
OpenBMI,0,3,query,52
WBCIC,0,0,query,6
WBCIC,0,0,backbone_train,7
WBCIC,0,0,query,9
WBCIC,0,0,backbone_train,12
WBCIC,0,0,backbone_train,17
WBCIC,0,0,query,22
WBCIC,0,0,backbone_train,23
WBCIC,0,0,query,24
WBCIC,0,0,backbone_train,26
WBCIC,0,0,backbone_train,29
WBCIC,0,0,backbone_train,30
WBCIC,0,0,backbone_train,31
WBCIC,0,0,backbone_train,34
WBCIC,0,0,backbone_train,35
WBCIC,0,0,backbone_train,38
WBCIC,0,0,backbone_train,42
WBCIC,0,0,backbone_train,47
WBCIC,0,0,query,48
WBCIC,0,0,backbone_train,49
WBCIC,0,1,backbone_train,6
WBCIC,0,1,query,7
WBCIC,0,1,backbone_train,9
WBCIC,0,1,backbone_train,12
WBCIC,0,1,backbone_train,17
WBCIC,0,1,backbone_train,22
WBCIC,0,1,query,23
WBCIC,0,1,backbone_train,24
WBCIC,0,1,backbone_train,26
WBCIC,0,1,backbone_train,29
WBCIC,0,1,backbone_train,30
