dataset,outer_fold,method,subject,BA,Macro_F1,trials
OpenBMI,0,B0_OOF_ERM,4,0.765,0.7649941248531213,200
OpenBMI,0,B0_OOF_ERM,5,0.835,0.8348968105065666,200
OpenBMI,0,B0_OOF_ERM,15,0.895,0.8942358540454786,200
OpenBMI,0,B0_OOF_ERM,16,0.79,0.7896634615384616,200
OpenBMI,0,B0_OOF_ERM,18,0.855,0.8547057792028858,200
OpenBMI,0,B0_OOF_ERM,26,0.765,0.7618504724987966,200
OpenBMI,0,B0_OOF_ERM,44,0.76,0.7477931904161412,200
OpenBMI,0,B1_GENERIC_OOF,4,0.765,0.7649941248531213,200
OpenBMI,0,B1_GENERIC_OOF,5,0.835,0.8348968105065666,200
OpenBMI,0,B1_GENERIC_OOF,15,0.895,0.8942358540454786,200
OpenBMI,0,B1_GENERIC_OOF,16,0.79,0.7896634615384616,200
OpenBMI,0,B1_GENERIC_OOF,18,0.855,0.8547057792028858,200
OpenBMI,0,B1_GENERIC_OOF,26,0.765,0.7618504724987966,200
OpenBMI,0,B1_GENERIC_OOF,44,0.76,0.7477931904161412,200
OpenBMI,0,B2_GENERIC_PROTOTYPE_OOF,4,0.765,0.7649941248531213,200
OpenBMI,0,B2_GENERIC_PROTOTYPE_OOF,5,0.835,0.8348968105065666,200
OpenBMI,0,B2_GENERIC_PROTOTYPE_OOF,15,0.895,0.8942358540454786,200
OpenBMI,0,B2_GENERIC_PROTOTYPE_OOF,16,0.79,0.7896634615384616,200
OpenBMI,0,B2_GENERIC_PROTOTYPE_OOF,18,0.855,0.8547057792028858,200
OpenBMI,0,B2_GENERIC_PROTOTYPE_OOF,26,0.765,0.7618504724987966,200
OpenBMI,0,B2_GENERIC_PROTOTYPE_OOF,44,0.76,0.7477931904161412,200
OpenBMI,0,B3_CROSS_SESSION_RELATION_OOF,4,0.765,0.7649941248531213,200
OpenBMI,0,B3_CROSS_SESSION_RELATION_OOF,5,0.835,0.8348968105065666,200
OpenBMI,0,B3_CROSS_SESSION_RELATION_OOF,15,0.895,0.8942358540454786,200
OpenBMI,0,B3_CROSS_SESSION_RELATION_OOF,16,0.79,0.7896634615384616,200
OpenBMI,0,B3_CROSS_SESSION_RELATION_OOF,18,0.855,0.8547057792028858,200
OpenBMI,0,B3_CROSS_SESSION_RELATION_OOF,26,0.765,0.7618504724987966,200
OpenBMI,0,B3_CROSS_SESSION_RELATION_OOF,44,0.76,0.7477931904161412,200
WBCIC,0,B0_OOF_ERM,14,0.5025,0.33886494073871043,400
WBCIC,0,B0_OOF_ERM,25,0.5425,0.4372304356851259,400
WBCIC,0,B0_OOF_ERM,32,0.5025,0.33830845771144274,399
WBCIC,0,B0_OOF_ERM,41,0.525,0.38660209846650523,400
WBCIC,0,B0_OOF_ERM,50,0.5,0.3333333333333333,400
WBCIC,0,B1_GENERIC_OOF,14,0.5025,0.33886494073871043,400
WBCIC,0,B1_GENERIC_OOF,25,0.5475,0.4463096230469795,400
WBCIC,0,B1_GENERIC_OOF,32,0.5075,0.3492321066357577,399
WBCIC,0,B1_GENERIC_OOF,41,0.5325,0.4017483664051315,400
WBCIC,0,B1_GENERIC_OOF,50,0.5,0.3333333333333333,400
WBCIC,0,B2_GENERIC_PROTOTYPE_OOF,14,0.5025,0.33886494073871043,400
WBCIC,0,B2_GENERIC_PROTOTYPE_OOF,25,0.545,0.441786283891547,400
WBCIC,0,B2_GENERIC_PROTOTYPE_OOF,32,0.5025,0.33830845771144274,399
WBCIC,0,B2_GENERIC_PROTOTYPE_OOF,41,0.5325,0.4017483664051315,400
WBCIC,0,B2_GENERIC_PROTOTYPE_OOF,50,0.5,0.3333333333333333,400
WBCIC,0,B3_CROSS_SESSION_RELATION_OOF,14,0.5025,0.33886494073871043,400
WBCIC,0,B3_CROSS_SESSION_RELATION_OOF,25,0.545,0.441786283891547,400
WBCIC,0,B3_CROSS_SESSION_RELATION_OOF,32,0.5025,0.33830845771144274,399
WBCIC,0,B3_CROSS_SESSION_RELATION_OOF,41,0.53,0.39673982800667434,400
WBCIC,0,B3_CROSS_SESSION_RELATION_OOF,50,0.5,0.3333333333333333,400
OpenBMI,1,B0_OOF_ERM,7,0.83,0.8275162337662337,200
OpenBMI,1,B0_OOF_ERM,8,0.815,0.8142150586226808,200
OpenBMI,1,B0_OOF_ERM,29,0.7150000000000001,0.7037345045349411,200
OpenBMI,1,B0_OOF_ERM,42,0.7849999999999999,0.7843476516462298,200
OpenBMI,1,B0_OOF_ERM,43,0.9199999999999999,0.9199279351416274,200
OpenBMI,1,B0_OOF_ERM,49,0.86,0.8588567395906845,200
OpenBMI,1,B0_OOF_ERM,51,0.77,0.7681217864704104,200
OpenBMI,1,B1_GENERIC_OOF,7,0.83,0.8275162337662337,200
OpenBMI,1,B1_GENERIC_OOF,8,0.815,0.8142150586226808,200
OpenBMI,1,B1_GENERIC_OOF,29,0.7150000000000001,0.7037345045349411,200
OpenBMI,1,B1_GENERIC_OOF,42,0.7849999999999999,0.7843476516462298,200
OpenBMI,1,B1_GENERIC_OOF,43,0.9199999999999999,0.9199279351416274,200
OpenBMI,1,B1_GENERIC_OOF,49,0.855,0.8536794571003304,200
OpenBMI,1,B1_GENERIC_OOF,51,0.77,0.7681217864704104,200
OpenBMI,1,B2_GENERIC_PROTOTYPE_OOF,7,0.83,0.8275162337662337,200
OpenBMI,1,B2_GENERIC_PROTOTYPE_OOF,8,0.815,0.8142150586226808,200
OpenBMI,1,B2_GENERIC_PROTOTYPE_OOF,29,0.7150000000000001,0.7037345045349411,200
OpenBMI,1,B2_GENERIC_PROTOTYPE_OOF,42,0.7849999999999999,0.7843476516462298,200
OpenBMI,1,B2_GENERIC_PROTOTYPE_OOF,43,0.9199999999999999,0.9199279351416274,200
OpenBMI,1,B2_GENERIC_PROTOTYPE_OOF,49,0.86,0.8588567395906845,200
OpenBMI,1,B2_GENERIC_PROTOTYPE_OOF,51,0.77,0.7681217864704104,200
OpenBMI,1,B3_CROSS_SESSION_RELATION_OOF,7,0.83,0.8275162337662337,200
OpenBMI,1,B3_CROSS_SESSION_RELATION_OOF,8,0.815,0.8142150586226808,200
OpenBMI,1,B3_CROSS_SESSION_RELATION_OOF,29,0.7150000000000001,0.7037345045349411,200
OpenBMI,1,B3_CROSS_SESSION_RELATION_OOF,42,0.7849999999999999,0.7843476516462298,200
OpenBMI,1,B3_CROSS_SESSION_RELATION_OOF,43,0.9199999999999999,0.9199279351416274,200
OpenBMI,1,B3_CROSS_SESSION_RELATION_OOF,49,0.855,0.8536794571003304,200
OpenBMI,1,B3_CROSS_SESSION_RELATION_OOF,51,0.77,0.7681217864704104,200
WBCIC,1,B0_OOF_ERM,9,0.615,0.587087087087087,400
WBCIC,1,B0_OOF_ERM,17,0.6975,0.6794171220400729,400
WBCIC,1,B0_OOF_ERM,23,0.8148492462311557,0.8116964285714285,399
WBCIC,1,B0_OOF_ERM,24,0.8774371859296483,0.876068890762375,399
WBCIC,1,B0_OOF_ERM,47,0.7725,0.7617411225658648,400
WBCIC,1,B1_GENERIC_OOF,9,0.615,0.5882242840717666,400
WBCIC,1,B1_GENERIC_OOF,17,0.6950000000000001,0.6779643121106536,400
WBCIC,1,B1_GENERIC_OOF,23,0.8173492462311558,0.814355915027056,399
WBCIC,1,B1_GENERIC_OOF,24,0.8799371859296483,0.8786557858989306,399
WBCIC,1,B1_GENERIC_OOF,47,0.77,0.7593890574327858,400
WBCIC,1,B2_GENERIC_PROTOTYPE_OOF,9,0.615,0.5882242840717666,400
WBCIC,1,B2_GENERIC_PROTOTYPE_OOF,17,0.6950000000000001,0.6779643121106536,400
WBCIC,1,B2_GENERIC_PROTOTYPE_OOF,23,0.8173492462311558,0.814355915027056,399
