dataset,fold,seed,subject_id,method,BA,accuracy,macro_F1,NLL,trials
OpenBMI,0,0,13,SUBJECT_BALANCED_ERM,0.77,0.77,0.7699769976997699,0.526498700813139,100
OpenBMI,0,0,14,SUBJECT_BALANCED_ERM,0.71,0.71,0.7076318177235609,0.6440425019865349,100
OpenBMI,0,0,19,SUBJECT_BALANCED_ERM,0.7,0.7,0.6847414880201765,0.6042757340746432,100
OpenBMI,0,0,2,SUBJECT_BALANCED_ERM,0.8,0.8,0.8,0.40105310347111556,100
OpenBMI,0,0,32,SUBJECT_BALANCED_ERM,0.76,0.76,0.7591328783621036,0.5144510141293571,100
OpenBMI,0,0,33,SUBJECT_BALANCED_ERM,0.94,0.94,0.9399038461538461,0.18891052233792313,100
OpenBMI,0,0,36,SUBJECT_BALANCED_ERM,0.98,0.98,0.9799919967987194,0.08094016523011907,100
OpenBMI,0,0,40,SUBJECT_BALANCED_ERM,0.8,0.8,0.7999199679871949,0.37940603570678905,100
OpenBMI,0,0,47,SUBJECT_BALANCED_ERM,0.9299999999999999,0.93,0.9298245614035088,0.15696217078251695,100
OpenBMI,0,0,50,SUBJECT_BALANCED_ERM,0.5800000000000001,0.58,0.5625,0.8269572673177745,100
OpenBMI,0,0,53,SUBJECT_BALANCED_ERM,0.8,0.8,0.797979797979798,0.4416191812322607,100
OpenBMI,0,0,13,GENERIC_RESIDUAL,0.77,0.77,0.7699769976997699,0.5328537014092405,100
OpenBMI,0,0,14,GENERIC_RESIDUAL,0.71,0.71,0.7076318177235609,0.6597085459920788,100
OpenBMI,0,0,19,GENERIC_RESIDUAL,0.7,0.7,0.6847414880201765,0.6173166183458896,100
OpenBMI,0,0,2,GENERIC_RESIDUAL,0.8,0.8,0.8,0.4015031347471696,100
OpenBMI,0,0,32,GENERIC_RESIDUAL,0.76,0.76,0.7591328783621036,0.5289469723718697,100
OpenBMI,0,0,33,GENERIC_RESIDUAL,0.95,0.95,0.9499549594635172,0.1816910709384386,100
OpenBMI,0,0,36,GENERIC_RESIDUAL,0.98,0.98,0.9799919967987194,0.07541659692809959,100
