dataset,fold,seed,subject_id,SB_ERM_BA,SB_ERM_macro_F1,GENERIC_RESIDUAL_BA,GENERIC_PROTOTYPE_BA,RELATION_BA,delta_relation_BA_pp,delta_relation_macro_F1_pp
OpenBMI,0,0,13,0.77,0.7699769976997699,0.77,0.72,0.71,-6.000000000000005,-6.023823281137042
OpenBMI,0,0,14,0.71,0.7076318177235609,0.71,0.71,0.71,0.0,0.16413652338326257
OpenBMI,0,0,19,0.7,0.6847414880201765,0.7,0.74,0.74,4.0000000000000036,4.842764170067726
OpenBMI,0,0,2,0.8,0.8,0.8,0.79,0.79,-1.0000000000000009,-1.0021002100210064
OpenBMI,0,0,32,0.76,0.7591328783621036,0.76,0.74,0.74,-2.0000000000000018,-2.0807596558561015
OpenBMI,0,0,33,0.94,0.9399038461538461,0.95,0.94,0.94,0.0,0.0
OpenBMI,0,0,36,0.98,0.9799919967987194,0.98,0.98,0.98,0.0,0.0
OpenBMI,0,0,40,0.8,0.7999199679871949,0.81,0.82,0.82,1.9999999999999907,2.008003201280506
OpenBMI,0,0,47,0.9299999999999999,0.9298245614035088,0.9299999999999999,0.94,0.94,1.0000000000000009,1.007928475033737
OpenBMI,0,0,50,0.5800000000000001,0.5625,0.5800000000000001,0.63,0.63,4.999999999999993,5.898337595907921
OpenBMI,0,0,53,0.8,0.797979797979798,0.8,0.8,0.8,0.0,-0.09018759018759592
WBCIC,0,0,1,0.9299999999999999,0.9299929992999301,0.9299999999999999,0.93,0.93,1.1102230246251565e-14,0.0007000700069981214
WBCIC,0,0,16,0.53,0.5283018867924528,0.525,0.515,0.535,0.5000000000000004,-0.06828391734051698
WBCIC,0,0,19,0.96,0.96,0.96,0.965,0.965,0.5000000000000004,0.4999124978124492
WBCIC,0,0,21,0.8300000000000001,0.8297275641025641,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.0,-0.056466590137826955
WBCIC,0,0,28,0.595,0.5874818568409259,0.595,0.6399999999999999,0.6399999999999999,4.499999999999993,5.161588751997637
WBCIC,0,0,3,0.8500000000000001,0.8497596153846154,0.8500000000000001,0.835,0.8400000000000001,-1.0000000000000009,-1.0160617890881074
WBCIC,0,0,33,0.935,0.9349853717086345,0.935,0.94,0.94,0.49999999999998934,0.5014628291365453
WBCIC,0,0,37,0.835,0.8349958748968724,0.835,0.845,0.85,1.5000000000000013,1.498912360297755
WBCIC,0,0,5,0.76,0.7596153846153846,0.76,0.74,0.74,-2.0000000000000018,-1.9719426232031267
