dataset,fold,seed,method,mean_subject_BA,mean_macro_F1,mean_accuracy,mean_NLL,n_subjects
OpenBMI,0,0,SUBJECT_BALANCED_ERM,0.7972727272727272,0.7937821229207889,0.7972727272727272,0.43319239973474305,11
OpenBMI,0,0,GENERIC_RESIDUAL,0.7990909090909092,0.7956104995955422,0.7990909090909092,0.4386654462063764,11
OpenBMI,0,0,GENERIC_PROTOTYPE,0.8009090909090909,0.798968987416025,0.8009090909090909,3.54744223361976,11
OpenBMI,0,0,CROSS_SESSION_RELATION,0.7999999999999999,0.7980769404012175,0.7999999999999999,0.4659781099043229,11
WBCIC,0,0,SUBJECT_BALANCED_ERM,0.8027777777777777,0.80165117262682,0.8027777777777777,0.407310751450899,9
WBCIC,0,0,GENERIC_RESIDUAL,0.8022222222222222,0.8009857419482257,0.8022222222222222,0.40756593830600457,9
WBCIC,0,0,GENERIC_PROTOTYPE,0.8044444444444445,0.8032015377084684,0.8044444444444445,3.107520011139358,9
WBCIC,0,0,CROSS_SESSION_RELATION,0.8077777777777777,0.8067065299484665,0.8077777777777777,0.4481410932895943,9
