row_type,model,fold,future S2 BA,future S2 Macro-F1,WS-BA,metric,mean,CI95_low,CI95_high,subjects,bootstrap_resamples
model,EEGNet,,0.635,0.5908723835624232,0.6233333333333333,,,,,12,
model,SIRE-EEG,,0.6641666666666666,0.6395164012001896,0.6333333333333333,,,,,12,
fold,EEGNet,0,0.6383333333333333,,,inner_val_S2_BA,0.87,,,3,
fold,EEGNet,1,0.5533333333333333,,,inner_val_S2_BA,0.53,,,3,
fold,EEGNet,2,0.8200000000000001,,,inner_val_S2_BA,0.645,,,2,
fold,EEGNet,3,0.5175000000000001,,,inner_val_S2_BA,0.855,,,2,
fold,EEGNet,4,0.6849999999999999,,,inner_val_S2_BA,0.665,,,2,
fold,SIRE-EEG,0,0.6333333333333333,,,inner_val_S2_BA,0.85,,,3,
fold,SIRE-EEG,1,0.6333333333333333,,,inner_val_S2_BA,0.56,,,3,
fold,SIRE-EEG,2,0.8175,,,inner_val_S2_BA,0.69,,,2,
fold,SIRE-EEG,3,0.51,,,inner_val_S2_BA,0.875,,,2,
fold,SIRE-EEG,4,0.7575,,,inner_val_S2_BA,0.6799999999999999,,,2,
paired_contrast,SIRE-EEG minus EEGNet,,,,,future S2 BA,0.029166666666666657,0.0033333333333333084,0.057499999999999996,12,20000
paired_contrast,SIRE-EEG minus EEGNet,,,,,WS-BA,0.010000000000000009,-0.018750000000000017,0.04083333333333333,12,20000
