Model,Task,Representation dim,folds,Protected assignment coverage,Status,Intact probe BA,Protected-erased BA,Random-erased BA,Protected harm pp,Random harm pp,PEEH pp,PEEH CI low,PEEH CI high,Median PEEH pp,Significant consequence
EEGNet,OpenBMI_MI,64,5,5/5,COMPLETE,0.6756696428571427,0.5832589285714286,0.6486830357142858,9.241071428571429,2.698660714285715,6.542410714285714,4.766060267857143,8.205591517857142,6.853125000000003,YES
EEGNet,OpenBMI_ERP,64,5,5/5,COMPLETE,0.8404017857142857,0.6529017857142857,0.757935267857143,18.75,8.246651785714286,10.503348214285712,8.868504464285712,12.110044642857144,10.103125000000002,YES
EEGNet,OpenBMI_SSVEP,64,5,5/5,COMPLETE,0.8967142857142856,0.703,0.8104385714285715,19.37142857142857,8.627571428571427,10.743857142857143,7.993560714285718,13.361182142857142,10.999999999999996,YES
EEGNet,WBCIC_MI,64,5,5/5,COMPLETE,0.784375,0.56125,0.7602281249999999,22.3125,2.4146875000000003,19.8978125,13.9933515625,25.7262734375,19.1671875,YES
CBraMod,OpenBMI_MI,200,5,3/5,COMPLETE,0.5066964285714286,0.5011160714285714,0.5013861607142858,0.5580357142857143,0.5310267857142853,0.027008928571428868,-0.9243526785714283,0.8716517857142859,0.07968750000000017,NO
CBraMod,OpenBMI_ERP,200,5,4/5,COMPLETE,0.7459821428571428,0.6997767857142857,0.7155200892857143,4.620535714285714,3.0462053571428584,1.5743303571428566,0.9294642857142854,2.2390680803571414,1.3812499999999994,YES
CBraMod,OpenBMI_SSVEP,200,5,1/5,COMPLETE,0.8504285714285714,0.7414285714285713,0.7715428571428571,10.9,7.888571428571426,3.0114285714285733,2.533282142857143,3.4617142857142857,3.1110000000000055,YES
CBraMod,WBCIC_MI,200,4,3/4,INVALID_INCOMPLETE,,,,,,,,,,NOT_ESTIMATED
TeCh,OpenBMI_MI,128,5,5/5,COMPLETE,0.7129464285714285,0.5787946428571429,0.6670803571428571,13.415178571428571,4.586607142857141,8.82857142857143,5.118967633928572,14.42411830357143,7.046875000000002,YES
TeCh,OpenBMI_ERP,128,5,5/5,COMPLETE,0.7921874999999999,0.6446428571428572,0.7271830357142858,14.754464285714286,6.500446428571429,8.254017857142857,6.484587053571429,9.98393415178571,8.0859375,YES
TeCh,OpenBMI_SSVEP,256,5,5/5,COMPLETE,0.8392857142857143,0.6035714285714286,0.7164,23.571428571428573,12.288571428571426,11.282857142857143,9.87370714285714,12.734153571428573,11.238000000000005,YES
TeCh,WBCIC_MI,128,5,5/5,COMPLETE,0.719375,0.5671875,0.6672625,15.21875,5.211250000000001,10.007500000000002,5.9740390625,13.79508593749999,10.009375,YES
ModernTCN,OpenBMI_MI,246016,5,1/5,COMPLETE,0.6055803571428572,0.6053571428571428,0.6059151785714286,0.022321428571428572,-0.033482142857143016,0.055803571428571584,-0.023660714285714177,0.14107700892857128,0.028124999999999956,NO
ModernTCN,OpenBMI_ERP,63488,5,5/5,COMPLETE,0.76875,0.7071428571428572,0.7580625000000001,6.160714285714286,1.0687500000000003,5.091964285714285,4.296205357142857,5.857148437500001,5.196875,YES
ModernTCN,OpenBMI_SSVEP,246016,5,5/5,COMPLETE,0.858,0.7921428571428571,0.8453771428571428,6.5857142857142845,1.2622857142857125,5.323428571428573,3.6389428571428604,7.051028571428571,6.030999999999995,YES
ModernTCN,WBCIC_MI,230144,5,3/5,COMPLETE,0.6684374999999999,0.66875,0.6684124999999999,-0.03125,0.0025000000000002798,-0.03375000000000026,-0.5972109375000005,0.4256328124999993,0.17187500000000022,NO
Medformer,OpenBMI_MI,72576,5,5/5,COMPLETE,0.6763392857142856,0.5901785714285713,0.6574084821428571,8.616071428571429,1.893080357142858,6.722991071428572,2.267991071428571,13.454972098214279,4.8578125,YES
Medformer,OpenBMI_ERP,18432,5,5/5,COMPLETE,0.7654017857142856,0.5837053571428573,0.6802611607142858,18.169642857142858,8.5140625,9.655580357142856,8.418526785714286,10.880580357142858,9.818750000000001,YES
Medformer,OpenBMI_SSVEP,72576,5,5/5,COMPLETE,0.875,0.3687142857142857,0.6739257142857144,50.62857142857143,20.107428571428567,30.52114285714286,24.380839285714284,36.61339999999999,32.207,YES
Medformer,WBCIC_MI,72576,5,5/5,COMPLETE,0.7240625000000002,0.6015625,0.700309375,12.25,2.3753125,9.874687500000002,6.796875,12.999062499999999,10.556249999999999,YES
