Model,MI significant?,ERP significant?,SSVEP significant?,WBCIC significant?,Significant tasks,Complete tasks,Mean Protected assignment coverage
EEGNet,YES,YES,YES,YES,4,4,1.0
CBraMod,NO,YES,YES,NOT_ESTIMATED,2,3,0.5333333333333333
TeCh,YES,YES,YES,YES,4,4,1.0
ModernTCN,NO,YES,YES,NO,2,4,0.7000000000000001
Medformer,YES,YES,YES,YES,4,4,1.0
