Model,Task,Representation dim,trainable_parameters
EEGNet,OpenBMI_MI,64,34162
EEGNet,OpenBMI_ERP,64,9586
EEGNet,OpenBMI_SSVEP,64,34292
EEGNet,WBCIC_MI,64,34098
CBraMod,OpenBMI_MI,200,4884002
CBraMod,OpenBMI_ERP,200,4884002
CBraMod,OpenBMI_SSVEP,200,4884404
CBraMod,WBCIC_MI,200,4884002
TeCh,OpenBMI_MI,128,793026
TeCh,OpenBMI_ERP,128,793026
TeCh,OpenBMI_SSVEP,256,6203140
TeCh,WBCIC_MI,128,789954
ModernTCN,OpenBMI_MI,246016,17391170
ModernTCN,OpenBMI_ERP,63488,17026114
ModernTCN,OpenBMI_SSVEP,246016,17883204
ModernTCN,WBCIC_MI,230144,15914050
Medformer,OpenBMI_MI,72576,3890178
Medformer,OpenBMI_ERP,18432,3781890
Medformer,OpenBMI_SSVEP,72576,4035332
Medformer,WBCIC_MI,72576,3853314
