Model,Task,subject_id,intact_BA,protected_BA,random_BA,protected_harm_pp,random_harm_pp,PEEH_pp,folds
EEGNet,OpenBMI_MI,4,0.73125,0.621875,0.7175,10.9375,1.3750000000000018,9.562499999999998,5
EEGNet,OpenBMI_MI,12,0.646875,0.540625,0.6179375,10.625,2.8937499999999994,7.731250000000001,5
EEGNet,OpenBMI_MI,13,0.6625,0.553125,0.6180937500000001,10.9375,4.440624999999998,6.496875000000003,5
EEGNet,OpenBMI_MI,17,0.603125,0.509375,0.5615625,9.375,4.156250000000001,5.218749999999998,5
EEGNet,OpenBMI_MI,18,0.646875,0.578125,0.61525,6.875,3.162499999999999,3.712500000000001,5
EEGNet,OpenBMI_MI,24,0.6,0.528125,0.5850625,7.1875,1.4937500000000004,5.69375,5
EEGNet,OpenBMI_MI,25,0.98125,0.815625,0.9444687500000001,16.5625,3.6781249999999965,12.884375000000002,5
EEGNet,OpenBMI_MI,29,0.553125,0.55625,0.54328125,-0.3125,0.9843750000000007,-1.2968750000000009,5
EEGNet,OpenBMI_MI,36,0.7875,0.671875,0.7545624999999999,11.5625,3.293750000000002,8.268749999999997,5
EEGNet,OpenBMI_MI,37,0.625,0.55625,0.60878125,6.875,1.6218750000000015,5.253124999999999,5
EEGNet,OpenBMI_MI,39,0.621875,0.578125,0.6092187499999999,4.375,1.2656249999999991,3.109375000000001,5
EEGNet,OpenBMI_MI,42,0.6625,0.553125,0.6323125,10.9375,3.0187500000000034,7.9187499999999975,5
EEGNet,OpenBMI_MI,51,0.653125,0.528125,0.6264375,12.5,2.6687499999999997,9.83125,5
EEGNet,OpenBMI_MI,54,0.684375,0.575,0.64709375,10.9375,3.7281249999999977,7.209375000000003,5
EEGNet,OpenBMI_ERP,4,0.903125,0.721875,0.79321875,18.125,10.990625000000003,7.134374999999997,5
EEGNet,OpenBMI_ERP,12,0.940625,0.809375,0.8905937500000001,13.125,5.003125,8.121875,5
EEGNet,OpenBMI_ERP,13,0.884375,0.70625,0.8067187499999999,17.8125,7.765625,10.046875,5
EEGNet,OpenBMI_ERP,17,0.846875,0.615625,0.7405312500000001,23.125,10.634375,12.490625,5
EEGNet,OpenBMI_ERP,18,0.909375,0.728125,0.8292187500000001,18.125,8.015624999999998,10.109375000000002,5
EEGNet,OpenBMI_ERP,24,0.775,0.584375,0.68534375,19.0625,8.965625,10.096875,5
EEGNet,OpenBMI_ERP,25,0.78125,0.615625,0.6994999999999999,16.5625,8.175,8.387500000000001,5
EEGNet,OpenBMI_ERP,29,0.8125,0.69375,0.7350625,11.875,7.743750000000003,4.131249999999997,5
EEGNet,OpenBMI_ERP,36,0.928125,0.78125,0.8664375,14.6875,6.16875,8.51875,5
EEGNet,OpenBMI_ERP,37,0.946875,0.7625,0.87109375,18.4375,7.578124999999997,10.859375000000004,5
EEGNet,OpenBMI_ERP,39,0.715625,0.471875,0.62878125,24.375,8.684375,15.690625000000002,5
EEGNet,OpenBMI_ERP,42,0.84375,0.596875,0.7483125,24.6875,9.543750000000001,15.14375,5
EEGNet,OpenBMI_ERP,51,0.753125,0.525,0.65209375,22.8125,10.103125000000002,12.709375,5
EEGNet,OpenBMI_ERP,54,0.725,0.528125,0.6641875,19.6875,6.08125,13.60625,5
EEGNet,OpenBMI_SSVEP,4,1.0,0.978,0.99726,2.200000000000002,0.27399999999999647,1.9260000000000055,5
EEGNet,OpenBMI_SSVEP,12,0.9559999999999998,0.778,0.8949199999999999,17.799999999999994,6.108000000000002,11.691999999999993,5
EEGNet,OpenBMI_SSVEP,13,0.774,0.48600000000000004,0.6098800000000002,28.8,16.411999999999995,12.388000000000009,5
EEGNet,OpenBMI_SSVEP,17,0.97,0.7260000000000001,0.85544,24.4,11.455999999999996,12.944000000000006,5
EEGNet,OpenBMI_SSVEP,18,1.0,0.9720000000000001,0.99124,2.8000000000000025,0.8759999999999968,1.9240000000000055,5
EEGNet,OpenBMI_SSVEP,24,0.944,0.61,0.7840399999999998,33.39999999999999,15.995999999999999,17.404,5
EEGNet,OpenBMI_SSVEP,25,0.9299999999999999,0.64,0.8186,29.0,11.139999999999997,17.860000000000003,5
EEGNet,OpenBMI_SSVEP,29,0.8939999999999999,0.626,0.79432,26.8,9.968000000000004,16.831999999999994,5
EEGNet,OpenBMI_SSVEP,36,1.0,0.9359999999999999,0.97962,6.400000000000004,2.0379999999999954,4.362000000000007,5
EEGNet,OpenBMI_SSVEP,37,0.998,0.8779999999999999,0.9696200000000001,12.0,2.837999999999996,9.162000000000003,5
EEGNet,OpenBMI_SSVEP,39,0.984,0.742,0.8927200000000001,24.199999999999996,9.127999999999997,15.071999999999997,5
EEGNet,OpenBMI_SSVEP,42,0.5780000000000001,0.41800000000000004,0.5073000000000001,16.000000000000007,7.069999999999998,8.930000000000005,5
EEGNet,OpenBMI_SSVEP,51,0.772,0.544,0.6401,22.799999999999994,13.189999999999998,9.609999999999996,5
EEGNet,OpenBMI_SSVEP,54,0.754,0.508,0.6110800000000001,24.6,14.292000000000002,10.308000000000002,5
EEGNet,WBCIC_MI,sub-4,0.653125,0.515625,0.641,13.75,1.2124999999999986,12.537500000000003,5
EEGNet,WBCIC_MI,sub-8,0.88125,0.625,0.8469687499999999,25.625,3.4281250000000023,22.196875,5
EEGNet,WBCIC_MI,sub-10,0.778125,0.584375,0.7615624999999999,19.375,1.6562500000000013,17.71875,5
EEGNet,WBCIC_MI,sub-15,0.7125,0.553125,0.6881562499999999,15.9375,2.434375000000002,13.503124999999997,5
EEGNet,WBCIC_MI,sub-20,0.50625,0.478125,0.4950312499999999,2.8125,1.1218750000000013,1.6906249999999985,5
EEGNet,WBCIC_MI,sub-39,0.83125,0.621875,0.78840625,20.9375,4.284375,16.653125,5
EEGNet,WBCIC_MI,sub-40,0.796875,0.51875,0.7789375,27.8125,1.7937500000000028,26.01875,5
EEGNet,WBCIC_MI,sub-43,0.975,0.590625,0.9424374999999999,38.4375,3.2562499999999988,35.18125,5
EEGNet,WBCIC_MI,sub-46,0.940625,0.578125,0.9067500000000001,36.25,3.3875000000000006,32.8625,5
EEGNet,WBCIC_MI,sub-51,0.76875,0.546875,0.75303125,22.1875,1.5718749999999981,20.615625,5
CBraMod,OpenBMI_MI,4,0.478125,0.4625,0.4712187500000001,1.5625,0.6906249999999992,0.8718750000000008,5
CBraMod,OpenBMI_MI,12,0.540625,0.534375,0.5426249999999999,0.625,-0.2000000000000013,0.8250000000000013,5
CBraMod,OpenBMI_MI,13,0.5625,0.54375,0.53603125,1.875,2.6468749999999988,-0.7718749999999985,5
CBraMod,OpenBMI_MI,17,0.496875,0.475,0.49721875000000004,2.1875,-0.034375000000000974,2.221875000000001,5
CBraMod,OpenBMI_MI,18,0.490625,0.54375,0.497375,-5.3125,-0.6749999999999988,-4.637500000000001,5
CBraMod,OpenBMI_MI,24,0.5,0.509375,0.50278125,-0.9375,-0.2781250000000002,-0.6593749999999998,5
CBraMod,OpenBMI_MI,25,0.5,0.4625,0.48896875,3.75,1.1031250000000004,2.646874999999999,5
