Model,Task,fold,seed,Representation dim,trainable_parameters,protected_rank,Intact probe BA,Protected-erased BA,Random-erased BA,Protected harm pp,Random harm pp,PEEH pp
EEGNet,OpenBMI_MI,0,0,64,34162,4,0.6696428571428571,0.6071428571428571,0.6482812499999999,6.25,2.1361607142857157,4.113839285714285
EEGNet,OpenBMI_MI,1,0,64,34162,3,0.7053571428571429,0.5915178571428571,0.6768080357142857,11.383928571428571,2.8549107142857144,8.529017857142858
EEGNet,OpenBMI_MI,2,0,64,34162,4,0.6919642857142857,0.6049107142857143,0.6676004464285714,8.705357142857142,2.4363839285714297,6.268973214285714
EEGNet,OpenBMI_MI,3,0,64,34162,8,0.6729910714285714,0.5814732142857143,0.6294084821428572,9.151785714285714,4.358258928571427,4.7935267857142865
EEGNet,OpenBMI_MI,4,0,64,34162,5,0.6383928571428571,0.53125,0.6213169642857143,10.714285714285714,1.7075892857142851,9.006696428571429
EEGNet,OpenBMI_ERP,0,0,64,9586,6,0.8448660714285714,0.6316964285714286,0.7779687500000001,21.316964285714285,6.6897321428571415,14.627232142857142
EEGNet,OpenBMI_ERP,1,0,64,9586,9,0.8392857142857143,0.6674107142857143,0.7244419642857143,17.1875,11.484375,5.703124999999999
EEGNet,OpenBMI_ERP,2,0,64,9586,8,0.859375,0.6450892857142857,0.7443638392857144,21.428571428571427,11.501116071428571,9.927455357142858
EEGNet,OpenBMI_ERP,3,0,64,9586,4,0.8258928571428571,0.6629464285714286,0.7799107142857143,16.294642857142858,4.598214285714286,11.696428571428571
EEGNet,OpenBMI_ERP,4,0,64,9586,5,0.8325892857142857,0.6573660714285714,0.7629910714285714,17.522321428571427,6.959821428571429,10.5625
EEGNet,OpenBMI_SSVEP,0,0,64,34292,4,0.9028571428571429,0.7421428571428572,0.8453642857142858,16.071428571428573,5.749285714285711,10.32214285714286
EEGNet,OpenBMI_SSVEP,1,0,64,34292,8,0.8921428571428572,0.66,0.7823214285714285,23.21428571428571,10.98214285714286,12.232142857142852
EEGNet,OpenBMI_SSVEP,2,0,64,34292,4,0.91,0.8557142857142858,0.85465,5.42857142857143,5.5349999999999975,-0.10642857142856806
EEGNet,OpenBMI_SSVEP,3,0,64,34292,8,0.8828571428571429,0.6049999999999999,0.7813214285714286,27.785714285714285,10.153571428571427,17.63214285714286
EEGNet,OpenBMI_SSVEP,4,0,64,34292,8,0.8957142857142857,0.652142857142857,0.7885357142857143,24.357142857142858,10.717857142857142,13.639285714285718
EEGNet,WBCIC_MI,0,0,64,34098,2,0.76875,0.55625,0.7522343749999999,21.25,1.6515624999999996,19.5984375
EEGNet,WBCIC_MI,1,0,64,34098,2,0.78125,0.5421875,0.7538125,23.90625,2.7437500000000012,21.1625
EEGNet,WBCIC_MI,2,0,64,34098,3,0.8,0.5421875,0.762609375,25.78125,3.739062500000002,22.0421875
EEGNet,WBCIC_MI,3,0,64,34098,2,0.778125,0.5890625,0.7587968749999999,18.90625,1.9328125,16.9734375
