dataset,seed,fold,folds,seeds,n_model_fit_subjects,n_discovery_subjects,n_outcome_subjects,summary_type,mean_subject_BA,macro_F1,accuracy,NLL,median_subject_BA,subject_SD,bootstrap_CI95_L,bootstrap_CI95_U,mean_accuracy,mean_macro_F1,mean_NLL,n_subjects,mean_best_epoch,best_epoch,historical_reference_BA,difference_vs_historical_pp
OpenBMI,all,all,5,3,34,9,11,primary_three_seed_probability_mean,0.8279629629629629,0.8227131752831764,0.8279629629629629,0.39511502770074713,0.8200000000000001,0.0969025892838944,0.8014814814814815,0.8535185185185185,0.8279629629629629,0.8227131752831764,0.39511502770074713,54,30.728395061728396,30.728395061728396,0.7719,5.6062962962962875
OpenBMI,all,all,5,3,34,9,11,secondary_mean_single_seed_aggregate,0.8102469135802469,0.8041158843729495,0.8102469135802468,0.4344115118858749,0.8,0.015934895550484423,,,0.8102469135802468,0.8041158843729495,0.4344115118858749,162,30.728395061728396,30.728395061728396,0.7719,3.834691358024689
WBCIC,all,all,5,3,25,8,8,primary_three_seed_probability_mean,0.7975027716186253,0.7961572692485723,0.7975109443402125,0.4198840440313244,0.8400000000000001,0.14335073119150274,0.7537860310421286,0.8391493902439024,0.7975109443402125,0.7961572692485723,0.4198840440313244,41,20.69918699186992,20.69918699186992,0.7884,0.9102771618625272
WBCIC,all,all,5,3,25,8,8,secondary_mean_single_seed_aggregate,0.7698207173359614,0.7578746956339057,0.7698269751928288,0.4424411423050627,0.8,0.02653978165249234,,,0.7698269751928288,0.7578746956339057,0.4424411423050627,123,20.69918699186992,20.69918699186992,0.7884,-1.8579282664038632
