dataset,fold,seed,summary_type,mean_subject_BA,median_subject_BA,subject_SD,mean_accuracy,mean_macro_F1,mean_NLL,n_subjects,trials_per_subject,mean_best_epoch
OpenBMI,0,all,primary_three_seed_probability_mean,0.8218181818181818,0.8200000000000001,0.09836850937349632,0.8218181818181818,0.8150944498279876,0.4152002257225263,11,100,
OpenBMI,0,0,single_seed,0.7854545454545455,0.78,0.1097600689106595,0.7854545454545455,0.7770058629737602,0.462725721108168,11,100,21.0
OpenBMI,0,1,single_seed,0.7890909090909091,0.79,0.10931189738125903,0.7890909090909091,0.7782530566601228,0.45860926405250063,11,100,32.0
OpenBMI,0,2,single_seed,0.8181818181818182,0.8,0.11124910622725755,0.8181818181818182,0.813203135726323,0.43242185838383035,11,100,25.0
OpenBMI,1,all,primary_three_seed_probability_mean,0.8336363636363638,0.81,0.11621297064206965,0.8336363636363638,0.8312979008915036,0.36976348272149956,11,100,
OpenBMI,1,0,single_seed,0.8318181818181819,0.8,0.10998346983235087,0.8318181818181819,0.8288205507372848,0.38525616616374714,11,100,27.0
OpenBMI,1,1,single_seed,0.7763636363636363,0.75,0.11236304795374032,0.7763636363636363,0.7721974757501144,0.4661501131593298,11,100,6.0
OpenBMI,1,2,single_seed,0.8190909090909092,0.85,0.13523716541354636,0.8190909090909092,0.814363536468814,0.40588397619091104,11,100,31.0
OpenBMI,2,all,primary_three_seed_probability_mean,0.8118181818181818,0.8200000000000001,0.06660603303277893,0.8118181818181818,0.8076063635984767,0.428986739213555,11,100,
OpenBMI,2,0,single_seed,0.8145454545454545,0.81,0.0605580112559249,0.8145454545454545,0.812151079868205,0.4379936924714923,11,100,27.0
OpenBMI,2,1,single_seed,0.7754545454545454,0.8,0.08892284704884751,0.7754545454545454,0.7649294572892482,0.512250623919172,11,100,18.0
OpenBMI,2,2,single_seed,0.8081818181818182,0.8,0.06615409009550079,0.8081818181818182,0.8049441133551464,0.4577607108756821,11,100,36.0
OpenBMI,3,all,primary_three_seed_probability_mean,0.8245454545454544,0.81,0.12910179211487624,0.8245454545454544,0.8135388872139167,0.4131174359430311,11,100,
OpenBMI,3,0,single_seed,0.8245454545454544,0.8200000000000001,0.1201135826094315,0.8245454545454546,0.8167452899314113,0.4202730776750029,11,100,37.0
OpenBMI,3,1,single_seed,0.7818181818181817,0.74,0.11686044513163399,0.7818181818181817,0.7701654937982451,0.48779949652560445,11,100,29.0
OpenBMI,3,2,single_seed,0.8245454545454546,0.8300000000000001,0.13170904573062822,0.8245454545454546,0.8120113314189908,0.43439781939647415,11,100,49.0
OpenBMI,4,all,primary_three_seed_probability_mean,0.85,0.84,0.07164728420068225,0.85,0.8483597848440795,0.3438464776233612,10,100,
OpenBMI,4,0,single_seed,0.841,0.835,0.07062420107709377,0.841,0.8393273514301536,0.37786997093083036,10,100,31.0
OpenBMI,4,1,single_seed,0.841,0.8300000000000001,0.06740425308044982,0.841,0.8389257823137166,0.3798399426826763,10,100,47.0
OpenBMI,4,2,single_seed,0.8300000000000001,0.8250000000000001,0.08205689083394113,0.8300000000000001,0.827154770722478,0.38208180702356104,10,100,48.0
WBCIC,0,all,primary_three_seed_probability_mean,0.8166666666666667,0.87,0.15091388272786568,0.8166666666666667,0.8154263735500561,0.4344264901489504,9,200,
WBCIC,0,0,single_seed,0.8005555555555556,0.835,0.14475074361735685,0.8005555555555556,0.799312799268262,0.4022529569979496,9,200,15.0
WBCIC,0,1,single_seed,0.7983333333333333,0.845,0.14775401855787204,0.7983333333333333,0.7964703643262792,0.4961096487883234,9,200,8.0
WBCIC,0,2,single_seed,0.8183333333333334,0.855,0.15171931320698756,0.8183333333333334,0.8178665380060339,0.43023300137502934,9,200,19.0
WBCIC,1,all,primary_three_seed_probability_mean,0.7925,0.7925,0.12736337217359067,0.7925,0.7904954180571069,0.4045019143186943,8,200,
WBCIC,1,0,single_seed,0.77125,0.7775000000000001,0.14078225334587757,0.77125,0.7654361540904364,0.4424479282309581,8,200,19.0
WBCIC,1,1,single_seed,0.7887500000000001,0.7749999999999999,0.12799972098183876,0.7887500000000001,0.7879979964281076,0.41479424399092446,8,200,6.0
WBCIC,1,2,single_seed,0.790625,0.7775000000000001,0.13358885486019087,0.790625,0.7893691425587187,0.40630137644081565,8,200,11.0
WBCIC,2,all,primary_three_seed_probability_mean,0.79875,0.815,0.1567242801865748,0.79875,0.7983995844013005,0.40083824256452455,8,200,
WBCIC,2,0,single_seed,0.786875,0.805,0.16418494580372292,0.786875,0.7862666404340557,0.4369994484411739,8,200,30.0
WBCIC,2,1,single_seed,0.790625,0.7975,0.1512905789721035,0.790625,0.7898962054947817,0.432361223522308,8,200,26.0
WBCIC,2,2,single_seed,0.7837500000000001,0.81,0.1778191296153,0.7837500000000001,0.7832291587112523,0.40557029107488607,8,200,44.0
WBCIC,3,all,primary_three_seed_probability_mean,0.7884517045454547,0.8574999999999999,0.17491469857187691,0.7884935897435897,0.7869848975441441,0.3882795735681664,8,200,
WBCIC,3,0,single_seed,0.7854048295454545,0.85,0.17562068793496943,0.7854166666666667,0.7846155358636941,0.4067854659564972,8,200,26.0
WBCIC,3,1,single_seed,0.7771630366161617,0.8275,0.17315102952501338,0.7771955128205128,0.7729992855873606,0.4052835877227934,8,200,21.0
WBCIC,3,2,single_seed,0.7903006628787879,0.865,0.17979446003884023,0.790352564102564,0.7897851116984362,0.3915960202980057,8,200,26.0
WBCIC,4,all,primary_three_seed_probability_mean,0.78875,0.81,0.13904649787545376,0.78875,0.7870714346525682,0.4695561937915831,8,200,
WBCIC,4,0,single_seed,0.785625,0.805,0.130751604742952,0.785625,0.78461347108325,0.4354520824564485,8,200,30.0
WBCIC,4,1,single_seed,0.763125,0.775,0.15484871649451928,0.763125,0.7614782726821103,0.4433028359067588,8,200,9.0
WBCIC,4,2,single_seed,0.503125,0.5025,0.003720119045714228,0.503125,0.341280556438449,0.6869680008423038,8,200,23.0
