dataset,seed,fold,subject_id,summary_type,BA,accuracy,macro_F1,NLL,trials,seed_0_BA,seed_1_BA,seed_2_BA
OpenBMI,all,4,11,primary_three_seed_probability_mean,0.73,0.73,0.7266929851199515,0.5303129021044032,100,0.78,0.75,0.72
OpenBMI,all,4,12,primary_three_seed_probability_mean,0.83,0.83,0.8299829982998299,0.41200100875799545,100,0.78,0.8,0.8200000000000001
OpenBMI,all,4,23,primary_three_seed_probability_mean,0.78,0.78,0.7726333195535345,0.44710271999958356,100,0.73,0.8300000000000001,0.72
OpenBMI,all,4,3,primary_three_seed_probability_mean,0.96,0.96,0.96,0.11499833695214011,100,0.94,0.96,0.96
OpenBMI,all,4,30,primary_three_seed_probability_mean,0.85,0.85,0.8498648783905515,0.3323869970326318,100,0.8300000000000001,0.8300000000000001,0.85
OpenBMI,all,4,31,primary_three_seed_probability_mean,0.9,0.9,0.8999599839935974,0.21225608973382257,100,0.9299999999999999,0.9099999999999999,0.92
OpenBMI,all,4,37,primary_three_seed_probability_mean,0.94,0.94,0.9397832195905259,0.237849468968972,100,0.9199999999999999,0.9199999999999999,0.9099999999999999
OpenBMI,all,4,39,primary_three_seed_probability_mean,0.83,0.83,0.8299829982998299,0.40712167022066753,100,0.81,0.83,0.77
OpenBMI,all,4,49,primary_three_seed_probability_mean,0.8,0.8,0.7947454844006567,0.4106525164231201,100,0.85,0.78,0.8
OpenBMI,all,4,8,primary_three_seed_probability_mean,0.88,0.88,0.8799519807923168,0.3337830660402754,100,0.84,0.8,0.8300000000000001
WBCIC,all,0,1,primary_three_seed_probability_mean,0.95,0.95,0.9499949994999499,0.4216938297879451,200,0.905,0.9199999999999999,0.94
WBCIC,all,0,16,primary_three_seed_probability_mean,0.525,0.525,0.514798641436196,0.7113669940901253,200,0.515,0.52,0.52
WBCIC,all,0,19,primary_three_seed_probability_mean,0.94,0.94,0.94,0.24068198108556899,200,0.94,0.935,0.94
WBCIC,all,0,21,primary_three_seed_probability_mean,0.8400000000000001,0.84,0.8395989974937343,0.39580384404606955,200,0.835,0.8,0.855
WBCIC,all,0,28,primary_three_seed_probability_mean,0.645,0.645,0.6447779862414009,0.5572067234882635,200,0.6399999999999999,0.625,0.645
WBCIC,all,0,3,primary_three_seed_probability_mean,0.875,0.875,0.8749218261413383,0.4382444260226304,200,0.855,0.845,0.89
