subject,metric,projector_id,random_metric,random_harm_pp
sub-01,future_S2_BA,98,0.8200000000000001,8.999999999999986
sub-01,future_S2_BA,99,0.85,5.999999999999995
sub-01,WS_BA,0,0.79,4.999999999999993
sub-01,WS_BA,1,0.605,23.5
sub-01,WS_BA,2,0.675,16.499999999999993
sub-01,WS_BA,3,0.77,6.999999999999995
sub-01,WS_BA,4,0.755,8.499999999999996
sub-01,WS_BA,5,0.55,28.999999999999993
sub-01,WS_BA,6,0.73,10.999999999999998
sub-01,WS_BA,7,0.51,32.99999999999999
sub-01,WS_BA,8,0.56,27.999999999999993
sub-01,WS_BA,9,0.905,-6.500000000000005
sub-01,WS_BA,10,0.6799999999999999,16.000000000000004
sub-01,WS_BA,11,0.575,26.5
sub-01,WS_BA,12,0.715,12.5
sub-01,WS_BA,13,0.845,-0.5000000000000004
sub-01,WS_BA,14,0.525,31.499999999999993
sub-01,WS_BA,15,0.7949999999999999,4.5000000000000036
sub-01,WS_BA,16,0.605,23.5
sub-01,WS_BA,17,0.6799999999999999,16.000000000000004
sub-01,WS_BA,18,0.73,10.999999999999998
sub-01,WS_BA,19,0.885,-4.5000000000000036
sub-01,WS_BA,20,0.785,5.499999999999994
sub-01,WS_BA,21,0.545,29.499999999999993
sub-01,WS_BA,22,0.85,-1.0000000000000009
sub-01,WS_BA,23,0.915,-7.500000000000007
sub-01,WS_BA,24,0.735,10.499999999999998
sub-01,WS_BA,25,0.77,6.999999999999995
sub-01,WS_BA,26,0.77,6.999999999999995
sub-01,WS_BA,27,0.83,1.0000000000000009
sub-01,WS_BA,28,0.69,15.000000000000002
sub-01,WS_BA,29,0.58,26.0
sub-01,WS_BA,30,0.64,19.999999999999996
sub-01,WS_BA,31,0.755,8.499999999999996
sub-01,WS_BA,32,0.575,26.5
sub-01,WS_BA,33,0.665,17.499999999999993
sub-01,WS_BA,34,0.8400000000000001,-1.1102230246251565e-14
sub-01,WS_BA,35,0.52,31.999999999999996
sub-01,WS_BA,36,0.51,32.99999999999999
sub-01,WS_BA,37,0.755,8.499999999999996
sub-01,WS_BA,38,0.52,31.999999999999996
sub-01,WS_BA,39,0.78,5.999999999999995
sub-01,WS_BA,40,0.8,3.9999999999999925
sub-01,WS_BA,41,0.8200000000000001,1.9999999999999907
sub-01,WS_BA,42,0.515,32.49999999999999
sub-01,WS_BA,43,0.84,0.0
sub-01,WS_BA,44,0.7949999999999999,4.5000000000000036
sub-01,WS_BA,45,0.635,20.499999999999996
sub-01,WS_BA,46,0.65,18.999999999999993
sub-01,WS_BA,47,0.8,3.9999999999999925
sub-01,WS_BA,48,0.74,9.999999999999998
sub-01,WS_BA,49,0.7,14.000000000000002
sub-01,WS_BA,50,0.88,-4.0000000000000036
sub-01,WS_BA,51,0.62,21.999999999999996
sub-01,WS_BA,52,0.635,20.499999999999996
sub-01,WS_BA,53,0.715,12.5
sub-01,WS_BA,54,0.75,8.999999999999996
sub-01,WS_BA,55,0.715,12.5
sub-01,WS_BA,56,0.84,0.0
sub-01,WS_BA,57,0.63,20.999999999999996
sub-01,WS_BA,58,0.675,16.499999999999993
sub-01,WS_BA,59,0.54,29.999999999999993
sub-01,WS_BA,60,0.72,12.0
sub-01,WS_BA,61,0.795,4.499999999999993
sub-01,WS_BA,62,0.5,34.0
sub-01,WS_BA,63,0.635,20.499999999999996
