subject,fold,intact_BA,ScaleCollapse_BA,mean_random_projector_BA,intact_WS_BA,ScaleCollapse_WS_BA,mean_random_projector_WS_BA
sub-01,2,0.9099999999999999,0.92,0.7573999999999999,0.84,0.87,0.6936000000000001
sub-02,4,0.835,0.8300000000000001,0.7153499999999999,0.795,0.8,0.7002999999999999
sub-03,0,0.785,0.69,0.6313500000000001,0.785,0.69,0.61775
sub-04,2,0.7250000000000001,0.61,0.5922,0.7250000000000001,0.61,0.58745
sub-05,1,0.555,0.5800000000000001,0.5324500000000001,0.555,0.5800000000000001,0.5246
sub-06,1,0.72,0.6699999999999999,0.5936999999999999,0.72,0.61,0.55935
sub-07,3,0.5,0.57,0.51415,0.5,0.56,0.49839999999999995
sub-08,0,0.515,0.5,0.51735,0.515,0.5,0.50825
sub-09,4,0.6799999999999999,0.6000000000000001,0.5736000000000001,0.59,0.5700000000000001,0.53865
sub-10,0,0.6,0.515,0.5429499999999999,0.535,0.515,0.5168500000000001
sub-11,3,0.52,0.475,0.5162,0.52,0.475,0.5052
sub-12,1,0.625,0.51,0.5356500000000001,0.52,0.495,0.51235
