metric,biological_subjects,intact,ScaleCollapse,random_rank16_mean,ScaleCollapse_harm_pp,random_rank16_harm_pp,excess_ScaleCollapse_harm_pp,CI95_low_pp,CI95_high_pp,ScaleCollapse_percentile_among_random,bootstrap_draws
future_S2_BA,12,0.6641666666666666,0.6224999999999998,0.5851958333333332,4.166666666666667,7.897083333333333,-3.7304166666666685,-7.249593750000004,-0.45409375000000096,11.0,20000
WS_BA,12,0.6333333333333333,0.60625,0.5635625,2.708333333333334,6.977083333333335,-4.26875,-7.562499999999999,-1.3270312500000048,3.0,20000
