pool,analysis_role,method_id,mean_subject_BA,median_subject_BA,mean_subject_accuracy,mean_subject_macro_f1,mean_paired_delta_BA,median_paired_delta_BA,bootstrap_CI95_L,bootstrap_CI95_U,positive_subject_fraction,nonnegative_subject_fraction,subjects,positive_run_fraction,nonnegative_run_fraction,worst_run_delta_BA,runs,selected_as_best_on_exploration,selection_pool,frozen_models_min,frozen_models_mean,frozen_models_max,keep_forward_passes_min,keep_forward_passes_mean,keep_forward_passes_max,minimum_model_forward_passes_min,minimum_model_forward_passes_mean,minimum_model_forward_passes_max,candidate_intervention_outputs_required,intervention_logits_required,representation_projection_required,target_run_specific,score_kind,description,OUTER_TEST_USED
holdout,SEPARATE_POOL_AUDIT,B2_ALL_RUN_HARD_MAJORITY,0.8425000000000001,0.8225,0.8425000000000001,0.8391478397103548,0.009027777777777782,0.011666666666666714,-0.0013897569444444838,0.018263888888888913,0.8333333333333334,0.8333333333333334,12,0.8333333333333334,0.8333333333333334,-0.0031250000000000444,6,False,exploration,2,4.434782608695652,6,2,4.434782608695652,6,2,4.434782608695652,6,0,False,False,False,all-run hard-vote fraction,All frozen KEEP classes; exact ties deterministically map to class 1.,False
holdout,SEPARATE_POOL_AUDIT,B3_OTHER_RUN_PROBABILITY_MEAN,0.8423263888888889,0.81125,0.8423263888888889,0.840560800390315,0.008854166666666682,0.003124999999999989,0.0028125000000000047,0.01600694444444445,0.5,0.8333333333333334,12,0.6666666666666666,0.6666666666666666,-0.008124999999999938,6,False,exploration,1,3.4347826086956523,5,1,3.4347826086956523,5,1,3.4347826086956523,5,0,False,False,True,leave-target-run arithmetic mean KEEP probability,Target run excluded; fixed 0.5 threshold.,False
holdout,SEPARATE_POOL_AUDIT,B4_ALL_RUN_PROBABILITY_MEAN,0.8533333333333335,0.8425,0.8533333333333335,0.8515481141253766,0.019861111111111145,0.014375000000000027,0.010693576388888917,0.02961805555555554,0.9166666666666666,0.9166666666666666,12,1.0,1.0,0.0025000000000000577,6,False,exploration,2,4.434782608695652,6,2,4.434782608695652,6,2,4.434782608695652,6,0,False,False,False,all-run arithmetic mean KEEP probability,All frozen KEEP probabilities; fixed 0.5 threshold.,False
holdout,SEPARATE_POOL_AUDIT,B5_OTHER_RUN_LOGIT_MEAN,0.8419097222222223,0.81125,0.8419097222222223,0.8401232048654835,0.008437500000000006,0.003124999999999989,0.002743055555555559,0.015243055555555543,0.5,0.8333333333333334,12,0.6666666666666666,0.6666666666666666,-0.008750000000000036,6,False,exploration,1,3.4347826086956523,5,1,3.4347826086956523,5,1,3.4347826086956523,5,0,False,False,True,sigmoid of leave-target-run mean KEEP margin,Target run excluded; margins averaged and thresholded at zero.,False
holdout,SEPARATE_POOL_AUDIT,B6_ALL_RUN_LOGIT_MEAN,0.8537500000000001,0.8425,0.8537500000000001,0.851965207886054,0.02027777777777781,0.014375000000000027,0.011145833333333374,0.030138888888888892,0.9166666666666666,0.9166666666666666,12,1.0,1.0,0.0031250000000000444,6,True,exploration,2,4.434782608695652,6,2,4.434782608695652,6,2,4.434782608695652,6,0,False,False,False,sigmoid of all-run mean KEEP margin,All frozen KEEP margins averaged and thresholded at zero.,False
holdout,SEPARATE_POOL_AUDIT,B7_CONFIDENCE_WEIGHTED_KEEP_ENSEMBLE,0.8520833333333334,0.8425,0.8520833333333334,0.8502290716392548,0.01861111111111115,0.014375000000000027,0.009236111111111186,0.028819444444444463,0.8333333333333334,0.8333333333333334,12,1.0,1.0,0.0006250000000000977,6,False,exploration,2,4.434782608695652,6,2,4.434782608695652,6,2,4.434782608695652,6,0,False,False,False,all-run confidence-weighted KEEP probability,"Weights are max(abs(p-0.5), 1e-12); no fitted parameter and fixed 0.5 threshold.",False
pooled_descriptive,DESCRIPTIVE_ONLY,B0_TARGET_KEEP,0.8233173076923076,0.8287500000000001,0.8233173076923076,0.8213913190201908,0.0,0.0,0.0,0.0,0.0,1.0,52,0.0,1.0,0.0,6,False,exploration,1,1.0,1,1,1.0,1,1,1.0,1,0,False,False,True,target KEEP probability,Original target frozen-run KEEP output.,False
pooled_descriptive,DESCRIPTIVE_ONLY,B1_OTHER_RUN_HARD_MAJORITY,0.8361057692307691,0.8325,0.8361057692307691,0.8346006116725011,0.012788461538461535,0.01208333333333328,0.00965544871794871,0.016009615384615386,0.6923076923076923,0.9807692307692307,52,1.0,1.0,0.0011764705882353343,6,False,exploration,1,3.4705882352941178,5,1,3.4705882352941178,5,1,3.4705882352941178,5,0,False,False,True,leave-target-run hard-vote fraction,"Target run excluded; ties map to class 1, although available V2 groups yield odd other-run counts.",False
pooled_descriptive,DESCRIPTIVE_ONLY,B2_ALL_RUN_HARD_MAJORITY,0.8386538461538463,0.8400000000000001,0.8386538461538463,0.8371014785051417,0.01533653846153845,0.014375000000000027,0.010080128205128203,0.02061698717948717,0.7692307692307693,0.7692307692307693,52,1.0,1.0,0.008382352941176507,6,False,exploration,2,4.470588235294118,6,2,4.470588235294118,6,2,4.470588235294118,6,0,False,False,False,all-run hard-vote fraction,All frozen KEEP classes; exact ties deterministically map to class 1.,False
pooled_descriptive,DESCRIPTIVE_ONLY,B3_OTHER_RUN_PROBABILITY_MEAN,0.8391666666666667,0.831875,0.8391666666666668,0.8377359034131986,0.015849358974358976,0.013124999999999998,0.011610376602564103,0.0202403846153846,0.6730769230769231,0.9615384615384616,52,1.0,1.0,0.0051470588235295045,6,False,exploration,1,3.4705882352941178,5,1,3.4705882352941178,5,1,3.4705882352941178,5,0,False,False,True,leave-target-run arithmetic mean KEEP probability,Target run excluded; fixed 0.5 threshold.,False
pooled_descriptive,DESCRIPTIVE_ONLY,B4_ALL_RUN_PROBABILITY_MEAN,0.846153846153846,0.8474999999999999,0.846153846153846,0.8445803905291972,0.02283653846153846,0.02250000000000002,0.01801282051282051,0.027900641025641017,0.8846153846153846,0.9038461538461539,52,1.0,1.0,0.014705882352941235,6,False,exploration,2,4.470588235294118,6,2,4.470588235294118,6,2,4.470588235294118,6,0,False,False,False,all-run arithmetic mean KEEP probability,All frozen KEEP probabilities; fixed 0.5 threshold.,False
pooled_descriptive,DESCRIPTIVE_ONLY,B5_OTHER_RUN_LOGIT_MEAN,0.8390945512820512,0.8333333333333335,0.8390945512820512,0.8376534023697079,0.015777243589743587,0.013124999999999998,0.0115224358974359,0.020328525641025632,0.6730769230769231,0.9615384615384616,52,1.0,1.0,0.004411764705882337,6,False,exploration,1,3.4705882352941178,5,1,3.4705882352941178,5,1,3.4705882352941178,5,0,False,False,True,sigmoid of leave-target-run mean KEEP margin,Target run excluded; margins averaged and thresholded at zero.,False
pooled_descriptive,DESCRIPTIVE_ONLY,B6_ALL_RUN_LOGIT_MEAN,0.8464423076923075,0.85,0.8464423076923075,0.8448742470033863,0.023125000000000003,0.02291666666666664,0.018108974358974385,0.02816506410256409,0.8846153846153846,0.8846153846153846,52,1.0,1.0,0.014705882352941235,6,True,exploration,2,4.470588235294118,6,2,4.470588235294118,6,2,4.470588235294118,6,0,False,False,False,sigmoid of all-run mean KEEP margin,All frozen KEEP margins averaged and thresholded at zero.,False
pooled_descriptive,DESCRIPTIVE_ONLY,B7_CONFIDENCE_WEIGHTED_KEEP_ENSEMBLE,0.845576923076923,0.85,0.8455769230769229,0.8439660121819667,0.022259615384615388,0.019999999999999962,0.017379807692307712,0.027163661858974352,0.8846153846153846,0.8846153846153846,52,1.0,1.0,0.013823529411764679,6,False,exploration,2,4.470588235294118,6,2,4.470588235294118,6,2,4.470588235294118,6,0,False,False,False,all-run confidence-weighted KEEP probability,"Weights are max(abs(p-0.5), 1e-12); no fitted parameter and fixed 0.5 threshold.",False
