pool,policy_family,method_id,fold_id,seed_id,subject_id,trials,balanced_accuracy,accuracy,macro_f1,OUTER_TEST_USED
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,0,1,49,200,0.7949999999999999,0.795,0.7927146793397204,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,0,1,5,200,0.915,0.915,0.9149978749468737,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,0,1,51,200,0.76,0.76,0.76,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,0,1,52,200,0.77,0.77,0.7694235588972431,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,0,1,8,200,0.8,0.8,0.7992773986350863,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,12,200,0.7949999999999999,0.795,0.7938403519798869,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,13,200,0.71,0.71,0.705762987012987,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,15,200,0.86,0.86,0.859775641025641,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,18,200,0.865,0.865,0.8640175266299011,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,2,200,0.775,0.775,0.7749493636068115,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,20,200,0.895,0.895,0.8949343339587242,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,23,200,0.865,0.865,0.8644272049408752,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,24,200,0.6699999999999999,0.67,0.6601791782514674,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,26,200,0.8400000000000001,0.84,0.8398558702832549,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,27,200,0.87,0.87,0.8699869986998701,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,29,200,0.915,0.915,0.9148275257396228,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,30,200,0.83,0.83,0.8299829982998299,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,31,200,0.8400000000000001,0.84,0.838693416675068,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,32,200,0.935,0.935,0.934868107918535,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,33,200,0.975,0.975,0.9749993749843746,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,34,200,0.6950000000000001,0.695,0.6829439434496738,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,36,200,0.975,0.975,0.9749843652282677,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,37,200,0.99,0.99,0.9899989998999901,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,41,200,0.725,0.725,0.7249931248281207,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,44,200,0.9199999999999999,0.92,0.9197994987468672,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,47,200,0.875,0.875,0.8733247194142535,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,49,200,0.88,0.88,0.8796992481203008,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,51,200,0.74,0.74,0.7393483709273183,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,52,200,0.755,0.755,0.7549938748468712,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,54,200,0.705,0.705,0.7049926248156204,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,0,8,200,0.81,0.81,0.809313528703332,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,12,200,0.825,0.825,0.8248905565978737,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,13,200,0.68,0.68,0.68,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,15,200,0.8,0.8,0.7947454844006567,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,18,200,0.885,0.885,0.8843494657448145,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,2,200,0.74,0.74,0.7395833333333333,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,20,200,0.815,0.815,0.8120634920634922,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,23,200,0.88,0.88,0.88,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,24,200,0.625,0.625,0.6030800984361355,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,26,200,0.835,0.835,0.8348968105065666,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,27,200,0.825,0.825,0.8246449059345173,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,29,200,0.875,0.875,0.8747463613817982,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,30,200,0.79,0.79,0.7896634615384616,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,31,200,0.845,0.845,0.8446854881134297,False
