pool,left_method,right_method,trials,intervened_trials,exact_prediction_agreement,number_of_disagreements,fraction_final_predicted_class_differs,fraction_intervened_predicted_class_differs,classification_metrics_prediction_equivalent,OUTER_TEST_USED
exploration,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,I003_CROSS_RUN_FULL,31600,3040,1.0,0,0.0,0.0,True,False
exploration,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,I003_CROSS_RUN_PROTECTED_SAFE,31600,1318,1.0,0,0.0,0.0,True,False
holdout,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,I003_CROSS_RUN_FULL,9200,742,1.0,0,0.0,0.0,True,False
holdout,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,I003_CROSS_RUN_PROTECTED_SAFE,9200,299,1.0,0,0.0,0.0,True,False
pooled_descriptive,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,I003_CROSS_RUN_FULL,40800,3782,1.0,0,0.0,0.0,True,False
pooled_descriptive,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,I003_CROSS_RUN_PROTECTED_SAFE,40800,1617,1.0,0,0.0,0.0,True,False
