pool,method_id,deployment_status,unique_trials,subjects,trial_balanced_accuracy,trial_accuracy,trial_macro_f1,mean_subject_BA,mean_subject_accuracy,mean_subject_macro_f1,NLL,Brier,ECE,unit,analysis_role,OUTER_TEST_USED
exploration,B2_ALL_RUN_HARD_MAJORITY,UNIQUE_PREDICTION_DEFINED,8000,40,0.8375,0.8375,0.8373308138796107,0.8375,0.8375,0.8364875701435779,2.276923890942675,0.13034722222222223,0.08779166666666668,subject x session x manifest trial,DESCRIPTIVE_ONLY,False
exploration,B4_ALL_RUN_PROBABILITY_MEAN,UNIQUE_PREDICTION_DEFINED,8000,40,0.8440000000000001,0.844,0.84396719410256,0.844,0.844,0.8424900734503435,0.3777842751256676,0.11783273772237052,0.06866660718124812,subject x session x manifest trial,DESCRIPTIVE_ONLY,False
exploration,B6_ALL_RUN_LOGIT_MEAN,UNIQUE_PREDICTION_DEFINED,8000,40,0.84425,0.84425,0.8442161072668373,0.84425,0.84425,0.842746958738586,0.37232298470677827,0.11616525484557579,0.05854700575562752,subject x session x manifest trial,DESCRIPTIVE_ONLY,False
exploration,B7_CONFIDENCE_WEIGHTED_KEEP_ENSEMBLE,UNIQUE_PREDICTION_DEFINED,8000,40,0.843625,0.843625,0.8435959650572007,0.843625,0.843625,0.8420870943447802,0.36783944802811913,0.11423515821190165,0.04143526042427543,subject x session x manifest trial,DESCRIPTIVE_ONLY,False
exploration,B0_TARGET_KEEP,DEPLOYMENT_TARGET_MODEL_NOT_SPECIFIED,8000,40,,,,,,,,,,subject x session x manifest trial,NOT_EVALUABLE_WITHOUT_NEW_PREDECLARATION,False
exploration,I003_CROSS_RUN_PROTECTED_SAFE,DEPLOYMENT_OUTPUT_NOT_YET_DEFINED,8000,40,,,,,,,,,,subject x session x manifest trial,NOT_EVALUABLE_WITHOUT_NEW_PREDECLARATION,False
exploration,I003_CROSS_RUN_FULL,DEPLOYMENT_OUTPUT_NOT_YET_DEFINED,8000,40,,,,,,,,,,subject x session x manifest trial,NOT_EVALUABLE_WITHOUT_NEW_PREDECLARATION,False
holdout,B2_ALL_RUN_HARD_MAJORITY,UNIQUE_PREDICTION_DEFINED,2400,12,0.8425,0.8425,0.8418823529411765,0.8425000000000001,0.8425000000000001,0.8391478397103547,2.2622725825384125,0.12393518518518519,0.08513888888888888,subject x session x manifest trial,DESCRIPTIVE_ONLY,False
holdout,B4_ALL_RUN_PROBABILITY_MEAN,UNIQUE_PREDICTION_DEFINED,2400,12,0.8533333333333333,0.8533333333333334,0.8532644491441816,0.8533333333333335,0.8533333333333335,0.8515481141253766,0.34781832407858115,0.10802751230149683,0.05989391611322349,subject x session x manifest trial,DESCRIPTIVE_ONLY,False
holdout,B6_ALL_RUN_LOGIT_MEAN,UNIQUE_PREDICTION_DEFINED,2400,12,0.85375,0.85375,0.8536839291492564,0.8537500000000001,0.8537500000000001,0.851965207886054,0.342135530547422,0.10635394305170111,0.04795283497786939,subject x session x manifest trial,DESCRIPTIVE_ONLY,False
holdout,B7_CONFIDENCE_WEIGHTED_KEEP_ENSEMBLE,UNIQUE_PREDICTION_DEFINED,2400,12,0.8520833333333333,0.8520833333333333,0.8520265845008963,0.8520833333333334,0.8520833333333334,0.8502290716392548,0.3393032725510728,0.10512132495883748,0.03757524097930815,subject x session x manifest trial,DESCRIPTIVE_ONLY,False
holdout,B0_TARGET_KEEP,DEPLOYMENT_TARGET_MODEL_NOT_SPECIFIED,2400,12,,,,,,,,,,subject x session x manifest trial,NOT_EVALUABLE_WITHOUT_NEW_PREDECLARATION,False
holdout,I003_CROSS_RUN_PROTECTED_SAFE,DEPLOYMENT_OUTPUT_NOT_YET_DEFINED,2400,12,,,,,,,,,,subject x session x manifest trial,NOT_EVALUABLE_WITHOUT_NEW_PREDECLARATION,False
holdout,I003_CROSS_RUN_FULL,DEPLOYMENT_OUTPUT_NOT_YET_DEFINED,2400,12,,,,,,,,,,subject x session x manifest trial,NOT_EVALUABLE_WITHOUT_NEW_PREDECLARATION,False
pooled_descriptive,B2_ALL_RUN_HARD_MAJORITY,UNIQUE_PREDICTION_DEFINED,10400,52,0.8386538461538462,0.8386538461538462,0.8384051430633774,0.8386538461538463,0.8386538461538463,0.8371014785051417,2.273542819772461,0.12886752136752136,0.08717948717948716,subject x session x manifest trial,DESCRIPTIVE_ONLY,False
pooled_descriptive,B4_ALL_RUN_PROBABILITY_MEAN,UNIQUE_PREDICTION_DEFINED,10400,52,0.8461538461538461,0.8461538461538461,0.8461480198066672,0.846153846153846,0.846153846153846,0.8445803905291972,0.370869055653263,0.11556999339447657,0.06561905084851259,subject x session x manifest trial,DESCRIPTIVE_ONLY,False
pooled_descriptive,B6_ALL_RUN_LOGIT_MEAN,UNIQUE_PREDICTION_DEFINED,10400,52,0.8464423076923077,0.8464423076923077,0.846435934272457,0.8464423076923075,0.8464423076923075,0.8448742470033863,0.36535664913154214,0.11390110597006624,0.05554381811237275,subject x session x manifest trial,DESCRIPTIVE_ONLY,False
pooled_descriptive,B7_CONFIDENCE_WEIGHTED_KEEP_ENSEMBLE,UNIQUE_PREDICTION_DEFINED,10400,52,0.8455769230769231,0.8455769230769231,0.84557143469485,0.8455769230769229,0.8455769230769229,0.8439660121819667,0.36125417676418536,0.11213196592273299,0.040345542951134114,subject x session x manifest trial,DESCRIPTIVE_ONLY,False
pooled_descriptive,B0_TARGET_KEEP,DEPLOYMENT_TARGET_MODEL_NOT_SPECIFIED,10400,52,,,,,,,,,,subject x session x manifest trial,NOT_EVALUABLE_WITHOUT_NEW_PREDECLARATION,False
pooled_descriptive,I003_CROSS_RUN_PROTECTED_SAFE,DEPLOYMENT_OUTPUT_NOT_YET_DEFINED,10400,52,,,,,,,,,,subject x session x manifest trial,NOT_EVALUABLE_WITHOUT_NEW_PREDECLARATION,False
pooled_descriptive,I003_CROSS_RUN_FULL,DEPLOYMENT_OUTPUT_NOT_YET_DEFINED,10400,52,,,,,,,,,,subject x session x manifest trial,NOT_EVALUABLE_WITHOUT_NEW_PREDECLARATION,False
