pool,left_method,right_method,rescue_intersection,both_rescue,left_only_rescue,right_only_rescue,ensemble_only_rescue,i003_only_rescue,rescue_union,rescue_jaccard,harm_intersection,left_only_harm,right_only_harm,ensemble_only_harm,i003_only_harm,harm_union,harm_jaccard,unit,OUTER_TEST_USED
exploration,B6_ALL_RUN_LOGIT_MEAN,I003_CROSS_RUN_PROTECTED_SAFE,647,647,1132,141,1132.0,141.0,1920,0.33697916666666666,328,612,202,612.0,202.0,1142,0.287215411558669,target_run_trial,False
exploration,B6_ALL_RUN_LOGIT_MEAN,I003_CROSS_RUN_FULL,1400,1400,379,376,379.0,376.0,2155,0.6496519721577726,741,199,523,199.0,523.0,1463,0.5064935064935064,target_run_trial,False
exploration,I003_CROSS_RUN_PROTECTED_SAFE,I003_CROSS_RUN_FULL,788,788,0,988,,,1776,0.4436936936936937,530,0,734,,,1264,0.41930379746835444,target_run_trial,False
holdout,B6_ALL_RUN_LOGIT_MEAN,I003_CROSS_RUN_PROTECTED_SAFE,149,149,267,34,267.0,34.0,450,0.33111111111111113,78,176,38,176.0,38.0,292,0.2671232876712329,target_run_trial,False
holdout,B6_ALL_RUN_LOGIT_MEAN,I003_CROSS_RUN_FULL,326,326,90,89,90.0,89.0,505,0.6455445544554456,194,60,133,60.0,133.0,387,0.5012919896640827,target_run_trial,False
holdout,I003_CROSS_RUN_PROTECTED_SAFE,I003_CROSS_RUN_FULL,183,183,0,232,,,415,0.44096385542168676,116,0,211,,,327,0.3547400611620795,target_run_trial,False
pooled_descriptive,B6_ALL_RUN_LOGIT_MEAN,I003_CROSS_RUN_PROTECTED_SAFE,796,796,1399,175,1399.0,175.0,2370,0.3358649789029536,406,788,240,788.0,240.0,1434,0.28312412831241285,target_run_trial,False
pooled_descriptive,B6_ALL_RUN_LOGIT_MEAN,I003_CROSS_RUN_FULL,1726,1726,469,465,469.0,465.0,2660,0.6488721804511278,935,259,656,259.0,656.0,1850,0.5054054054054054,target_run_trial,False
pooled_descriptive,I003_CROSS_RUN_PROTECTED_SAFE,I003_CROSS_RUN_FULL,971,971,0,1220,,,2191,0.44317663167503424,646,0,945,,,1591,0.4060339409176619,target_run_trial,False
