pool,policy_family,method_id,subject_id,available_runs,balanced_accuracy,accuracy,macro_f1,OUTER_TEST_USED,delta_balanced_accuracy_vs_target_keep,delta_balanced_accuracy_vs_best_ensemble,delta_accuracy_vs_target_keep,delta_accuracy_vs_best_ensemble,delta_macro_f1_vs_target_keep,delta_macro_f1_vs_best_ensemble,analysis_role
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,10,2,0.7725,0.7725,0.7724128885684065,False,0.0,-0.02750000000000008,0.0,-0.02750000000000008,0.0,-0.027587111431593536,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,11,4,0.72,0.72,0.7197806753945992,False,0.026249999999999885,-0.040000000000000036,0.026249999999999996,-0.040000000000000036,0.026772440914264006,-0.04000313003028322,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,12,6,0.8275,0.8275,0.8273939452851558,False,0.035833333333333384,-0.007499999999999951,0.035833333333333384,-0.007499999999999951,0.03744241346402555,-0.007568921359839442,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,13,4,0.715,0.715,0.7113524701337648,False,0.028749999999999942,0.0050000000000000044,0.028749999999999942,0.0050000000000000044,0.030015227653803933,0.005589483120777783,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,15,6,0.895,0.895,0.8945467267813082,False,0.03583333333333327,-0.014999999999999791,0.03583333333333327,-0.015000000000000013,0.036605614542166265,-0.015227709308917259,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,16,2,0.8875,0.8875,0.8873946458036451,False,0.0,0.0024999999999999467,0.0,0.0024999999999999467,0.0,0.002420526626830344,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,18,4,0.8975,0.8975,0.8967770578248878,False,0.007499999999999951,-0.012499999999999956,0.007499999999999951,-0.012500000000000067,0.0075002562608667,-0.012643232030184692,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,19,2,0.8275,0.8275,0.8266419489983641,False,0.0,-0.022499999999999964,0.0,-0.022499999999999964,0.0,-0.022133129134512264,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,2,4,0.7875000000000001,0.7875000000000001,0.7874121934831384,False,0.021250000000000102,-0.03749999999999987,0.021250000000000102,-0.03749999999999987,0.0221570082703767,-0.03758343140748388,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,20,6,0.8949999999999999,0.895,0.8945950027141903,False,0.02833333333333321,-0.0050000000000000044,0.02833333333333332,-0.0050000000000000044,0.028698708965021913,-0.0051543707193936195,SEPARATE_POOL_AUDIT
