pool,policy_family,method_id,fold_id,seed_id,subjects,balanced_accuracy,accuracy,macro_f1,OUTER_TEST_USED,delta_balanced_accuracy_vs_target_keep,delta_balanced_accuracy_vs_best_ensemble,delta_accuracy_vs_target_keep,delta_accuracy_vs_best_ensemble,delta_macro_f1_vs_target_keep,delta_macro_f1_vs_best_ensemble,analysis_role
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,0,0,26,0.8348076923076923,0.8348076923076923,0.8336583444541564,False,0.0024999999999999467,-0.013076923076923208,0.0024999999999999467,-0.013076923076923208,0.002274469226167808,-0.013401765606915084,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,0,1,26,0.8367307692307692,0.8367307692307692,0.8358224496932964,False,0.0059615384615383515,-0.011153846153846292,0.0059615384615383515,-0.011153846153846292,0.006670403293020821,-0.01123766036777507,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,1,0,26,0.8444230769230768,0.8444230769230768,0.8431745689098837,False,0.009423076923076756,-0.010384615384615548,0.009423076923076756,-0.010384615384615548,0.009501754333442691,-0.010777799960811074,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,1,1,26,0.8526923076923077,0.8526923076923077,0.851821498548264,False,0.036346153846153806,-0.00211538461538463,0.036346153846153806,-0.00211538461538463,0.03739114435770863,-0.0021308703224308667,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,2,0,27,0.8412962962962963,0.8412962962962963,0.8394888080492743,False,0.04518518518518522,-0.0033333333333332993,0.04518518518518522,-0.0033333333333332993,0.04573724279341462,-0.003150498839855964,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C1_GATED_DIRECT_CONSENSUS,2,1,27,0.8287037037037037,0.8287037037037037,0.8272741012135348,False,0.0033333333333332993,-0.0159259259259259,0.0033333333333332993,-0.0159259259259259,0.0038512934662193743,-0.015365205675595406,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,0,0,26,0.8334615384615384,0.8334615384615385,0.8325951305113902,False,0.001153846153846061,-0.014423076923077094,0.001153846153846172,-0.014423076923076983,0.0012112552834016022,-0.01446497954968129,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,0,1,26,0.8386538461538462,0.8386538461538462,0.8376488953485423,False,0.007884615384615379,-0.009230769230769265,0.007884615384615379,-0.009230769230769265,0.008496848948266633,-0.009411214712529259,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,1,0,26,0.8465384615384616,0.8465384615384616,0.8455042139721761,False,0.011538461538461497,-0.008269230769230806,0.011538461538461497,-0.008269230769230806,0.011831399395735076,-0.00844815489851869,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,1,1,26,0.8475,0.8475,0.846443448480335,False,0.031153846153846088,-0.007307692307692348,0.031153846153846088,-0.007307692307692348,0.03201309428977972,-0.0075089203903597745,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,2,0,27,0.8324074074074075,0.8324074074074075,0.8302457462708249,False,0.03629629629629638,-0.012222222222222134,0.03629629629629638,-0.012222222222222134,0.036494181014965266,-0.012393560618305322,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C2_ACTION_MASKED_DIRECT_CONSENSUS_FULL,2,1,27,0.8340740740740741,0.8340740740740741,0.8325875401359538,False,0.008703703703703658,-0.01055555555555554,0.008703703703703658,-0.01055555555555554,0.009164732388638352,-0.010051766753176428,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,0,0,26,0.8392307692307692,0.8392307692307692,0.8384811714126705,False,0.006923076923076921,-0.008653846153846234,0.006923076923076921,-0.008653846153846234,0.007097296184681912,-0.00857893864840098,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,0,1,26,0.838076923076923,0.838076923076923,0.8364492315994052,False,0.007307692307692237,-0.009807692307692406,0.007307692307692237,-0.009807692307692406,0.0072971851991295855,-0.010610878461666307,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,1,0,26,0.8359615384615384,0.8359615384615384,0.8344464028516912,False,0.0009615384615383471,-0.018846153846153957,0.0009615384615383471,-0.018846153846153957,0.0007735882752502032,-0.019505966019003562,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,1,1,26,0.8303846153846154,0.8303846153846154,0.8289029735357369,False,0.014038461538461444,-0.024423076923076992,0.014038461538461444,-0.024423076923076992,0.014472619345181625,-0.02504939533495787,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,2,0,27,0.8105555555555556,0.8105555555555555,0.8086998284298119,False,0.014444444444444482,-0.034074074074074034,0.014444444444444371,-0.034074074074074145,0.014948263173952259,-0.03393947845931833,SEPARATE_POOL_AUDIT
exploration,DIRECT_CONSENSUS_CONTROL,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,2,1,27,0.8305555555555556,0.8305555555555556,0.8281559982312783,False,0.005185185185185182,-0.014074074074074017,0.005185185185185182,-0.014074074074074017,0.0047331904839628125,-0.014483308657851968,SEPARATE_POOL_AUDIT
exploration,FROZEN_V2_INTERVENTION,I003_CROSS_RUN_FULL,0,0,26,0.8334615384615384,0.8334615384615385,0.8325951305113902,False,0.001153846153846061,-0.014423076923077094,0.001153846153846172,-0.014423076923076983,0.0012112552834016022,-0.01446497954968129,SEPARATE_POOL_AUDIT
exploration,FROZEN_V2_INTERVENTION,I003_CROSS_RUN_FULL,0,1,26,0.8386538461538462,0.8386538461538462,0.8376488953485423,False,0.007884615384615379,-0.009230769230769265,0.007884615384615379,-0.009230769230769265,0.008496848948266633,-0.009411214712529259,SEPARATE_POOL_AUDIT
