dataset,fold,mean_delta_pp,seed_std_pp,positive_seeds,negative_seeds,negligible_seeds,seed_range_pp,sign_class
OpenBMI,0,4.166666666666655,1.3931877914417046,3,0,0,3.3749999999999947,SEED_CONSISTENT_POSITIVE
OpenBMI,1,1.3750000000000002,1.4469796128487764,2,1,0,3.3749999999999947,SEED_CONSISTENT_POSITIVE
OpenBMI,2,0.29166666666666413,2.731630567180633,1,2,0,6.500000000000017,SEED_UNSTABLE
OpenBMI,3,3.249999999999998,0.8897565210026069,3,0,0,2.0000000000000018,SEED_CONSISTENT_POSITIVE
OpenBMI,4,4.458333333333331,1.0622957319984931,3,0,0,2.499999999999991,SEED_CONSISTENT_POSITIVE
WBCIC,0,-1.4047619047619122,1.5761113488986003,1,2,0,3.6428571428571366,SEED_CONSISTENT_NEGATIVE
WBCIC,1,-3.4722222222222285,1.1331154474650604,0,3,0,2.6666666666666616,SEED_CONSISTENT_NEGATIVE
WBCIC,2,-0.36111111111110095,0.7338802674234911,1,2,0,1.6666666666666607,SEED_CONSISTENT_NEGATIVE
WBCIC,3,2.8423120089786793,0.4164739895391761,3,0,0,0.9184553872053858,SEED_CONSISTENT_POSITIVE
WBCIC,4,0.7777777777777847,0.9060836905722359,2,1,1,2.1666666666666945,SEED_CONSISTENT_POSITIVE
